Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,2023,3/2/2023,23:00,Newells Old Boys,Velez Sarsfield,1,0,H,2.89,2.93,2.89,2.9,3.07,2.98,2.71,2.92,2.85
Argentina,Liga Profesional,2023,3/2/2023,23:00,Tigre,Rosario Central,2,2,D,1.65,3.82,5.99,1.77,3.84,5.99,1.67,3.65,5.33
Argentina,Liga Profesional,2023,4/2/2023,20:00,Arsenal Sarandi,Estudiantes L.P.,1,1,D,3.92,3.11,2.19,3.92,3.25,2.33,3.65,3.08,2.16
Argentina,Liga Profesional,2023,4/2/2023,20:00,Sarmiento Junin,Barracas Central,3,5,A,1.88,3.3,4.96,2,3.45,5,1.9,3.24,4.46
Argentina,Liga Profesional,2023,4/2/2023,22:15,Belgrano,River Plate,2,1,H,4.62,3.47,1.88,4.75,3.6,1.95,4.29,3.38,1.88
Argentina,Liga Profesional,2023,5/2/2023,0:30,Argentinos Jrs,Racing Club,1,0,H,2.75,3.08,2.9,2.99,3.22,2.96,2.68,2.99,2.82
Argentina,Liga Profesional,2023,5/2/2023,0:30,Lanus,San Lorenzo,2,1,H,2.93,2.73,3.08,3.05,2.89,3.1,2.85,2.7,2.94
Argentina,Liga Profesional,2023,5/2/2023,20:00,Independiente,Platense,1,2,A,2.08,3.08,4.36,2.1,3.17,4.42,2.04,3.04,4.12
Argentina,Liga Profesional,2023,5/2/2023,22:15,Boca Juniors,Central Cordoba,0,0,D,1.53,4,7.41,1.56,4.1,8.23,1.52,3.91,6.84
Argentina,Liga Profesional,2023,6/2/2023,0:30,Atl. Tucuman,Talleres Cordoba,0,2,A,2.63,2.93,3.21,2.81,3.08,3.21,2.64,2.93,2.93
Argentina,Liga Profesional,2023,6/2/2023,0:30,Godoy Cruz,Colon Santa Fe,1,0,H,2.04,3.36,4.05,2.15,3.53,4.06,2.07,3.31,3.64
Argentina,Liga Profesional,2023,6/2/2023,0:30,Union de Santa Fe,Instituto,0,2,A,2.47,2.98,3.42,2.48,3.3,3.56,2.38,3.03,3.22
Argentina,Liga Profesional,2023,6/2/2023,21:00,Gimnasia L.P.,Defensa y Justicia,0,2,A,2.89,3.09,2.76,3.01,3.27,2.78,2.78,3.11,2.64
Argentina,Liga Profesional,2023,7/2/2023,0:30,Huracan,Banfield,3,2,H,1.93,3.23,4.79,2.02,3.41,5.19,1.94,3.21,4.28
Argentina,Liga Profesional,2023,11/2/2023,0:30,Central Cordoba,Belgrano,0,1,A,2.74,3.09,2.9,2.88,3.3,2.9,2.64,3.1,2.78
Argentina,Liga Profesional,2023,11/2/2023,0:30,Colon Santa Fe,Sarmiento Junin,0,2,A,2.06,3.33,4,2.18,3.45,4.09,2.03,3.31,3.76
Argentina,Liga Profesional,2023,11/2/2023,20:00,Defensa y Justicia,Newells Old Boys,1,0,H,2.43,3.08,3.37,2.44,3.17,3.48,2.36,3.02,3.26
Argentina,Liga Profesional,2023,11/2/2023,20:00,San Lorenzo,Godoy Cruz,1,0,H,2.23,3.01,3.95,2.32,3.16,4.12,2.18,3.01,3.69
Argentina,Liga Profesional,2023,11/2/2023,22:15,Platense,Atl. Tucuman,1,1,D,2.71,2.97,3.06,2.77,3.08,3.17,2.61,2.91,2.98
Argentina,Liga Profesional,2023,12/2/2023,0:30,Talleres Cordoba,Boca Juniors,2,1,H,2.62,2.92,3.22,2.72,3.08,3.25,2.55,2.9,3.09
Argentina,Liga Profesional,2023,12/2/2023,0:30,Velez Sarsfield,Independiente,0,0,D,2.29,3.09,3.66,2.39,3.15,3.75,2.26,3.01,3.5
Argentina,Liga Profesional,2023,12/2/2023,20:00,Banfield,Gimnasia L.P.,0,0,D,2,3.17,4.54,2.15,3.23,4.6,2.01,3.09,4.19
Argentina,Liga Profesional,2023,12/2/2023,20:00,Rosario Central,Arsenal Sarandi,2,1,H,1.71,3.59,5.73,1.83,3.66,5.73,1.75,3.43,5.07
Argentina,Liga Profesional,2023,12/2/2023,22:15,River Plate,Argentinos Jrs,2,1,H,1.85,3.47,4.81,1.98,3.5,5.2,1.87,3.35,4.39
Argentina,Liga Profesional,2023,13/2/2023,0:30,Instituto,Huracan,0,0,D,2.77,2.96,3,2.99,3.07,3.03,2.69,2.91,2.89
Argentina,Liga Profesional,2023,13/2/2023,0:30,Racing Club,Tigre,2,2,D,2.14,3.49,3.55,2.26,3.55,3.7,2.15,3.41,3.33
Argentina,Liga Profesional,2023,13/2/2023,20:00,Barracas Central,Union de Santa Fe,1,1,D,2.91,3.14,2.7,2.95,3.27,2.78,2.83,3.05,2.63
Argentina,Liga Profesional,2023,13/2/2023,23:00,Estudiantes L.P.,Lanus,0,2,A,2.25,3.32,3.47,2.28,3.45,3.7,2.19,3.28,3.36
Argentina,Liga Profesional,2023,17/2/2023,21:00,Gimnasia L.P.,Instituto,2,0,H,3.54,2.74,2.68,3.54,3.03,2.68,3.21,2.83,2.53
Argentina,Liga Profesional,2023,18/2/2023,0:30,Arsenal Sarandi,Racing Club,0,3,A,6.56,3.8,1.61,7,4,1.63,6.06,3.76,1.59
Argentina,Liga Profesional,2023,18/2/2023,0:30,Huracan,Barracas Central,2,0,H,1.54,4.03,7.07,1.55,4.2,7.2,1.53,3.97,6.44
Argentina,Liga Profesional,2023,18/2/2023,20:00,Lanus,Rosario Central,3,0,H,2.17,3.09,4.01,2.27,3.17,4.13,2.19,3,3.71
Argentina,Liga Profesional,2023,18/2/2023,21:00,Tigre,River Plate,0,1,A,3.13,3.39,2.39,3.26,3.52,2.48,3.02,3.29,2.34
Argentina,Liga Profesional,2023,18/2/2023,22:15,Argentinos Jrs,Belgrano,3,0,H,1.84,3.36,5.15,1.9,3.45,6,1.8,3.29,4.93
Argentina,Liga Profesional,2023,18/2/2023,22:15,Godoy Cruz,Estudiantes L.P.,0,1,A,2.48,3.12,3.23,2.51,3.35,3.29,2.41,3.12,3.07
Argentina,Liga Profesional,2023,19/2/2023,0:00,Newells Old Boys,Banfield,2,0,H,2.32,2.9,3.89,2.41,3.1,3.81,2.29,2.94,3.5
Argentina,Liga Profesional,2023,19/2/2023,20:00,Union de Santa Fe,Colon Santa Fe,1,1,D,2.25,3.14,3.71,2.27,3.31,4.42,2.17,3.08,3.64
Argentina,Liga Profesional,2023,19/2/2023,22:15,Boca Juniors,Platense,3,1,H,1.82,3.17,5.83,1.83,3.47,5.83,1.78,3.32,5.11
Argentina,Liga Profesional,2023,20/2/2023,0:30,Independiente,Defensa y Justicia,0,2,A,2.15,3.16,3.97,2.15,3.32,4.1,2.09,3.11,3.82
Argentina,Liga Profesional,2023,20/2/2023,0:30,Talleres Cordoba,Central Cordoba,2,0,H,1.63,3.69,6.58,1.65,3.98,7,1.6,3.7,6.07
Argentina,Liga Profesional,2023,20/2/2023,22:15,Sarmiento Junin,San Lorenzo,0,1,A,4.17,2.98,2.18,4.17,3.17,2.42,3.78,2.98,2.17
Argentina,Liga Profesional,2023,21/2/2023,0:30,Atl. Tucuman,Velez Sarsfield,1,1,D,2.54,2.86,3.45,2.59,3.04,3.5,2.45,2.86,3.3
Argentina,Liga Profesional,2023,25/2/2023,0:00,Belgrano,Tigre,0,2,A,2.91,3.14,2.7,2.97,3.25,2.73,2.83,3.1,2.59
Argentina,Liga Profesional,2023,25/2/2023,0:00,Rosario Central,Godoy Cruz,1,0,H,2.48,3.01,3.36,2.54,3.17,3.38,2.44,2.99,3.15
Argentina,Liga Profesional,2023,25/2/2023,20:00,San Lorenzo,Union de Santa Fe,1,0,H,2.25,3.01,3.9,2.3,3.1,4.13,2.23,2.95,3.65
Argentina,Liga Profesional,2023,25/2/2023,22:15,Estudiantes L.P.,Sarmiento Junin,1,1,D,1.75,3.51,5.58,1.77,3.7,6,1.71,3.53,5.25
Argentina,Liga Profesional,2023,25/2/2023,22:15,Platense,Talleres Cordoba,2,4,A,3.72,3.13,2.24,3.92,3.18,2.38,3.49,3.05,2.24
Argentina,Liga Profesional,2023,26/2/2023,0:30,Velez Sarsfield,Boca Juniors,1,2,A,2.54,2.89,3.41,2.57,3,3.47,2.48,2.86,3.24
Argentina,Liga Profesional,2023,26/2/2023,20:00,Colon Santa Fe,Huracan,1,1,D,2.43,3.09,3.38,2.5,3.2,3.45,2.4,3.03,3.17
Argentina,Liga Profesional,2023,26/2/2023,20:00,Defensa y Justicia,Atl. Tucuman,3,0,H,2.09,3.25,4.01,2.15,3.35,4.01,2.08,3.22,3.71
Argentina,Liga Profesional,2023,26/2/2023,22:15,River Plate,Arsenal Sarandi,1,2,A,1.2,6.65,16.04,1.23,7.2,17,1.2,6.43,14.15
Argentina,Liga Profesional,2023,27/2/2023,0:30,Banfield,Independiente,0,0,D,2.26,2.99,3.91,2.32,3.05,3.91,2.25,2.95,3.6
Argentina,Liga Profesional,2023,27/2/2023,0:30,Instituto,Newells Old Boys,3,1,H,2.53,2.81,3.56,2.58,3.08,3.63,2.45,2.81,3.38
Argentina,Liga Profesional,2023,27/2/2023,20:00,Barracas Central,Gimnasia L.P.,1,0,H,2.56,3.01,3.22,2.62,3.14,3.27,2.49,3,3.08
Argentina,Liga Profesional,2023,27/2/2023,22:15,Racing Club,Lanus,2,1,H,1.86,3.55,4.62,1.95,3.65,4.7,1.85,3.52,4.24
Argentina,Liga Profesional,2023,28/2/2023,0:30,Central Cordoba,Argentinos Jrs,1,0,H,4.84,3.35,1.88,4.9,3.41,1.95,4.47,3.28,1.88
Argentina,Liga Profesional,2023,3/3/2023,23:00,Sarmiento Junin,Rosario Central,4,1,H,2.85,3.05,2.82,2.92,3.16,2.91,2.73,2.96,2.77
Argentina,Liga Profesional,2023,3/3/2023,23:00,Union de Santa Fe,Estudiantes L.P.,2,0,H,2.51,3.08,3.23,2.51,3.14,3.45,2.39,2.99,3.21
Argentina,Liga Profesional,2023,4/3/2023,20:00,Gimnasia L.P.,Colon Santa Fe,0,0,D,2.44,3.09,3.34,2.51,3.18,3.37,2.4,3.02,3.15
Argentina,Liga Profesional,2023,4/3/2023,20:00,Platense,Central Cordoba,1,1,D,2.18,3.12,3.94,2.2,3.25,3.94,2.12,3.08,3.71
Argentina,Liga Profesional,2023,4/3/2023,22:15,Lanus,River Plate,0,2,A,4.18,3.33,2.02,4.42,3.48,2.05,3.93,3.25,1.99
Argentina,Liga Profesional,2023,5/3/2023,0:30,Atl. Tucuman,Banfield,1,0,H,2.45,3.01,3.41,2.51,3.1,3.41,2.42,2.93,3.2
Argentina,Liga Profesional,2023,5/3/2023,0:30,Newells Old Boys,Barracas Central,1,0,H,1.73,3.48,5.84,1.75,3.56,6.2,1.71,3.4,5.43
Argentina,Liga Profesional,2023,5/3/2023,20:00,Independiente,Instituto,2,2,D,2.44,2.95,3.52,2.45,3.26,3.55,2.36,2.93,3.34
Argentina,Liga Profesional,2023,5/3/2023,22:15,Huracan,San Lorenzo,1,1,D,2.45,2.76,3.81,2.45,3,3.89,2.34,2.78,3.58
Argentina,Liga Profesional,2023,6/3/2023,0:30,Talleres Cordoba,Velez Sarsfield,1,2,A,1.93,3.26,4.8,2.06,3.45,5.4,1.9,3.17,4.52
Argentina,Liga Profesional,2023,6/3/2023,0:30,Tigre,Argentinos Jrs,0,1,A,2.71,3.18,2.86,2.74,3.23,3.03,2.62,3.09,2.78
Argentina,Liga Profesional,2023,6/3/2023,20:00,Arsenal Sarandi,Belgrano,0,1,A,2.85,2.96,2.9,3.1,3.1,2.9,2.8,2.94,2.72
Argentina,Liga Profesional,2023,6/3/2023,20:00,Godoy Cruz,Racing Club,2,0,H,3.09,3.17,2.54,3.34,3.24,2.55,3.04,3.08,2.44
Argentina,Liga Profesional,2023,7/3/2023,0:00,Boca Juniors,Defensa y Justicia,0,0,D,1.8,3.44,5.27,1.87,3.6,5.42,1.79,3.38,4.79
Argentina,Liga Profesional,2023,10/3/2023,20:00,Barracas Central,Independiente,1,1,D,3.24,3.29,2.38,3.31,3.4,2.38,3.13,3.2,2.31
Argentina,Liga Profesional,2023,11/3/2023,0:00,Argentinos Jrs,Arsenal Sarandi,1,1,D,1.42,4.48,8.93,1.49,4.7,9.3,1.41,4.31,8.16
Argentina,Liga Profesional,2023,11/3/2023,0:00,Instituto,Atl. Tucuman,1,1,D,2.29,3.03,3.74,2.34,3.17,3.74,2.27,3,3.46
Argentina,Liga Profesional,2023,11/3/2023,20:00,San Lorenzo,Gimnasia L.P.,4,0,H,1.77,3.34,5.83,1.87,3.35,6.13,1.78,3.18,5.29
