Date,Home,Away
12/04/2023,Barracas Central,Platense
12/04/2023,Argentinos Jrs,Union de Santa Fe
12/04/2023,Central Cordoba,Lanus
12/04/2023,Instituto,Velez Sarsfield
12/04/2023,Banfield,Defensa y Justicia
13/04/2023,San Lorenzo,Boca Juniors
13/04/2023,Belgrano,Huracan
13/04/2023,Racing Club,Newells Old Boys
13/04/2023,Rosario Central,Independiente
13/04/2023,Estudiantes L.P.,Atl. Tucuman
14/04/2023,Arsenal Sarandi,Godoy Cruz
14/04/2023,Colon Santa Fe,Talleres Cordoba
14/04/2023,River Plate,Gimnasia L.P.
14/04/2023,Tigre,Sarmiento Junin
