Date,Home,Away,HG,AG,Res
16/04/2023,Ventforet Kofu,Tochigi,1,0,H
16/04/2023,Vegalta Sendai,Fagiano Okayama,1,1,D
16/04/2023,Blaublitz Akita,Omiya Ardija,2,1,H
16/04/2023,Montedio Yamagata,Zweigen Kanazawa,0,1,A
16/04/2023,Iwaki,ThespaKusatsu Gunma,2,1,H
16/04/2023,JEF United,Tokyo Verdy,1,0,H
16/04/2023,Machida Zelvia,Oita Trinita,3,1,H
16/04/2023,Renofa Yamaguchi,Shimizu S-Pulse,0,6,A
16/04/2023,Tokushima Vortis,V-Varen Nagasaki,0,4,A
16/04/2023,Mito Hollyhock,Fujieda MYFC,1,4,A
16/04/2023,Júbilo Iwata,Roasso Kumamoto,1,1,D
