Date,Home,Away,HG,AG,Res
7/1/2023,Ajax II,Eindhoven,1,1,D
7/1/2023,AZ II,Heracles,1,1,D
7/1/2023,Den Bosch,Utrecht II,1,4,A
7/1/2023,Dordrecht,ADO Den Haag,0,1,A
7/1/2023,MVV,De Graafschap,2,2,D
7/1/2023,NAC Breda,PSV II,2,1,H
7/1/2023,TOP Oss,Telstar,2,1,H
7/1/2023,PEC Zwolle,Almere City,3,2,H
7/1/2023,VVV,Helmond Sport,1,1,D
7/1/2023,Willem II,Roda JC,1,0,H
10/1/2023,Utrecht II,AZ II,0,2,A
14/1/2023,ADO Den Haag,MVV,2,1,H
14/1/2023,De Graafschap,Ajax II,3,0,H
14/1/2023,Helmond Sport,NAC Breda,2,2,D
14/1/2023,Roda JC,TOP Oss,1,1,D
14/1/2023,Telstar,AZ II,1,0,H
15/1/2023,Almere City,Willem II,1,0,H
15/1/2023,Heracles,PEC Zwolle,0,3,A
17/1/2023,Eindhoven,Den Bosch,4,1,H
17/1/2023,Utrecht II,Dordrecht,0,1,A
17/1/2023,TOP Oss,AZ II,1,3,A
21/1/2023,Almere City,De Graafschap,2,2,D
21/1/2023,Den Bosch,PSV II,1,0,H
21/1/2023,PEC Zwolle,VVV,2,0,H
21/1/2023,TOP Oss,NAC Breda,1,2,A
21/1/2023,Dordrecht,Telstar,0,0,D
22/1/2023,ADO Den Haag,Utrecht II,1,1,D
24/1/2023,Ajax II,Roda JC,1,2,A
24/1/2023,AZ II,Helmond Sport,1,1,D
24/1/2023,PSV II,VVV,1,2,A
25/1/2023,Telstar,MVV,5,3,H
28/1/2023,Den Bosch,MVV,3,3,D
28/1/2023,Eindhoven,Heracles,1,0,H
28/1/2023,Helmond Sport,Ajax II,1,1,D
28/1/2023,NAC Breda,AZ II,5,1,H
28/1/2023,PEC Zwolle,TOP Oss,4,1,H
28/1/2023,Roda JC,Dordrecht,1,0,H
28/1/2023,Telstar,Almere City,0,1,A
28/1/2023,VVV,ADO Den Haag,0,0,D
31/1/2023,PSV II,Willem II,3,2,H
31/1/2023,Utrecht II,De Graafschap,1,1,D
31/1/2023,Roda JC,PEC Zwolle,1,2,A
4/2/2023,ADO Den Haag,NAC Breda,2,1,H
4/2/2023,Almere City,PSV II,1,2,A
4/2/2023,Dordrecht,Eindhoven,4,0,H
4/2/2023,De Graafschap,Telstar,0,1,A
4/2/2023,Heracles,Utrecht II,6,1,H
4/2/2023,TOP Oss,Den Bosch,3,0,H
4/2/2023,Willem II,Helmond Sport,5,1,H
4/2/2023,AZ II,VVV,4,3,H
5/2/2023,Roda JC,MVV,2,1,H
7/2/2023,Ajax II,PEC Zwolle,0,0,D
7/2/2023,Willem II,Eindhoven,3,0,H
11/2/2023,Den Bosch,Ajax II,4,2,H
11/2/2023,Eindhoven,Almere City,0,1,A
11/2/2023,Helmond Sport,Roda JC,1,0,H
11/2/2023,MVV,TOP Oss,5,1,H
