Date,Home,Away,PredictResult,H,D,A
13/05/2023,Huracán,Godoy Cruz,Godoy Cruz,23.09%,28.75%,48.16%,0.80,1.29
13/05/2023,Atlético Tucumán,Argentinos Juniors,Atlético Tucumán,36.48%,32.08%,31.43%,0.98,0.89
14/05/2023,Independiente,Tigre,Independiente,39.33%,31.12%,29.54%,1.07,0.88
14/05/2023,Banfield,San Lorenzo,San Lorenzo,5.33%,43.81%,50.87%,0.12,0.80
14/05/2023,Instituto,Colón,Colón,11.64%,23.23%,65.13%,0.55,1.64
14/05/2023,Newell's Old Boys,Arsenal,Newell's Old Boys,52.94%,31.67%,15.39%,1.16,0.49
15/05/2023,Defensa y Justicia,Estudiantes,Draw,37.76%,42.88%,19.35%,0.70,0.42
15/05/2023,Platense,Racing Club,Racing Club,31.32%,26.26%,42.42%,1.17,1.40
15/05/2023,Boca Juniors,Belgrano,Belgrano,24.77%,36.76%,38.47%,0.62,0.85
15/05/2023,Talleres de Córdoba,River Plate,River Plate,13.49%,26.89%,59.62%,0.52,1.42
16/05/2023,Barracas Central,Central Córdoba SdE,Draw,34.78%,40.41%,24.81%,0.71,0.55
16/05/2023,Unión,Sarmiento,Sarmiento,14.73%,37.39%,47.88%,0.38,0.93
16/05/2023,Gimnasia La Plata,Lanús,Lanús,19.10%,22.42%,58.48%,0.96,1.81
16/05/2023,Vélez Sarsfield,Rosario Central,Rosario Central,22.81%,24.35%,52.84%,1.01,1.64
