Date,Home,Away,PredictResult,H,D,A
13/05/2023,Huracán,Godoy Cruz,Godoy Cruz,28.48%,31.97%,39.55%,0.83,1.03
13/05/2023,Atlético Tucumán,Argentinos Juniors,Argentinos Juniors,17.05%,39.43%,43.52%,0.41,0.84
14/05/2023,Independiente,Tigre,Tigre,26.47%,31.22%,42.31%,0.81,1.10
14/05/2023,Banfield,San Lorenzo,San Lorenzo,7.46%,38.27%,54.26%,0.19,0.94
14/05/2023,Instituto,Colón,Instituto,38.07%,36.14%,25.80%,0.86,0.65
14/05/2023,Newell's Old Boys,Arsenal,Newell's Old Boys,49.10%,31.07%,19.83%,1.17,0.63
15/05/2023,Defensa y Justicia,Estudiantes,Defensa y Justicia,56.41%,31.39%,12.19%,1.18,0.39
15/05/2023,Platense,Racing Club,Racing Club,30.69%,25.71%,43.61%,1.19,1.46
15/05/2023,Boca Juniors,Belgrano,Draw,26.61%,40.58%,32.81%,0.58,0.68
15/05/2023,Talleres de Córdoba,River Plate,River Plate,24.15%,22.47%,53.38%,1.21,1.84
16/05/2023,Barracas Central,Central Córdoba SdE,Draw,27.04%,37.78%,35.18%,0.64,0.78
16/05/2023,Unión,Sarmiento,Sarmiento,14.88%,31.32%,53.80%,0.48,1.18
16/05/2023,Gimnasia La Plata,Lanús,Lanús,9.87%,18.11%,72.02%,0.65,2.03
16/05/2023,Vélez Sarsfield,Rosario Central,Rosario Central,30.32%,27.75%,41.93%,1.06,1.29
