Date,Home,Away,PredictResult,H,D,A
29/04/2023,Blackpool,Millwall,Millwall,26.46%,35.43%,38.10%
29/04/2023,Bristol City,Burnley,Burnley,23.83%,18.42%,57.76%
29/04/2023,Coventry City,Birmingham City,Birmingham City,28.70%,26.74%,44.56%
29/04/2023,Hull City,Swansea City,Swansea City,28.60%,27.76%,43.64%
29/04/2023,Reading,Wigan Athletic,Reading,62.97%,19.99%,17.04%
29/04/2023,Sheffield United,Preston North End,Draw,38.19%,46.46%,15.35%
29/04/2023,Stoke City,Queens Park Rangers,Stoke City,42.66%,27.92%,29.42%
29/04/2023,Sunderland,Watford,Sunderland,45.15%,28.22%,26.63%
30/04/2023,West Bromwich Albion,Norwich City,Norwich City,23.51%,27.70%,48.79%
30/04/2023,Cardiff City,Huddersfield Town,Cardiff City,41.79%,32.31%,25.90%
01/05/2023,Rotherham United,Middlesbrough,Middlesbrough,31.37%,24.07%,44.57%
02/05/2023,Blackburn Rovers,Luton Town,Draw,36.42%,37.40%,26.19%
