Date,Home,Away,PredictResult,H,D,A
29/04/2023,Crystal Palace,West Ham United,West Ham United,23.28%,26.91%,49.81%
29/04/2023,Brentford,Nottingham Forest,Brentford,46.53%,27.53%,25.94%
29/04/2023,Brighton & Hove Albion,Wolverhampton Wanderers,Wolverhampton Wanderers,38.34%,21.48%,40.19%
30/04/2023,AFC Bournemouth,Leeds United,AFC Bournemouth,46.38%,25.63%,27.98%
30/04/2023,Fulham,Manchester City,Manchester City,6.57%,9.88%,83.55%
30/04/2023,Manchester United,Aston Villa,Aston Villa,17.61%,32.88%,49.51%
30/04/2023,Newcastle United,Southampton,Newcastle United,80.64%,16.17%,3.19%
30/04/2023,Liverpool,Tottenham Hotspur,Liverpool,41.31%,21.77%,36.92%
02/05/2023,Leicester City,Everton,Leicester City,57.29%,22.57%,20.14%
03/05/2023,Arsenal,Chelsea,Arsenal,74.72%,17.02%,8.26%
