Date,Home,Away,PredictResult,H,D,A
29/04/2023,Crystal Palace,West Ham United,West Ham United,30.44%,32.04%,37.52%
29/04/2023,Brentford,Nottingham Forest,Brentford,70.10%,19.30%,10.60%
29/04/2023,Brighton & Hove Albion,Wolverhampton Wanderers,Brighton & Hove Albion,73.47%,16.71%,9.82%
30/04/2023,AFC Bournemouth,Leeds United,Leeds United,18.01%,26.93%,55.06%
30/04/2023,Fulham,Manchester City,Manchester City,16.51%,16.23%,67.25%
30/04/2023,Manchester United,Aston Villa,Manchester United,63.02%,20.98%,16.00%
30/04/2023,Newcastle United,Southampton,Newcastle United,76.25%,15.29%,8.46%
30/04/2023,Liverpool,Tottenham Hotspur,Tottenham Hotspur,33.46%,22.20%,44.34%
02/05/2023,Leicester City,Everton,Leicester City,62.75%,24.50%,12.76%
03/05/2023,Arsenal,Chelsea,Arsenal,71.80%,20.18%,8.02%
