Date,Home,Away,PredictResult,H,D,A
22/04/2023,Angers,PSG,PSG,4.76%,11.01%,84.23%
22/04/2023,Auxerre,Lille,Lille,25.18%,29.53%,45.30%
23/04/2023,Lens,Monaco,Lens,45.59%,20.37%,34.04%
23/04/2023,Reims,Strasbourg,Reims,47.30%,28.24%,24.46%
23/04/2023,Ajaccio,Brest,Brest,6.11%,17.10%,76.80%
23/04/2023,Lorient,Toulouse,Toulouse,34.73%,26.96%,38.32%
23/04/2023,Nantes,Troyes,Nantes,72.51%,17.49%,10.00%
23/04/2023,Nice,Clermont,Nice,39.92%,31.93%,28.15%
23/04/2023,Montpellier,Rennes,Rennes,19.62%,30.49%,49.89%
24/04/2023,Lyon,Marseille,Lyon,39.83%,26.97%,33.19%
