Date,Home,Away,PredictResult,H,D,A
06/05/2023,Bordeaux,Caen,Bordeaux,41.08%,34.86%,24.07%,0.94,0.65
07/05/2023,Saint-Etienne,Guingamp,Saint-Etienne,54.38%,21.19%,24.43%,2.00,1.35
07/05/2023,Annecy,Dijon,Annecy,37.90%,34.69%,27.41%,0.91,0.72
07/05/2023,Laval,Bastia,Bastia,31.58%,26.19%,42.23%,1.19,1.40
07/05/2023,Paris FC,Grenoble Foot 38,Grenoble Foot 38,30.33%,31.71%,37.97%,0.88,1.02
07/05/2023,Amiens SC,Sochaux,Sochaux,19.39%,28.46%,52.15%,0.69,1.32
07/05/2023,Niort,Metz,Metz,12.90%,18.45%,68.65%,0.86,2.10
07/05/2023,Pau,Quevilly Rouen,Draw,30.61%,42.99%,26.40%,0.61,0.54
07/05/2023,Nîmes,Valenciennes,Valenciennes,17.55%,28.32%,54.13%,0.64,1.34
09/05/2023,Le Havre,Rodez,Le Havre,72.18%,22.11%,5.70%,1.61,0.27
