Date,Home,Away,PredictResult,H,D,A
29/04/2023,Lecce,Udinese,Udinese,13.27%,24.98%,61.76%
29/04/2023,Spezia,Monza,Monza,18.60%,27.18%,54.22%
30/04/2023,Roma,AC Milan,Roma,49.26%,30.51%,20.23%
30/04/2023,Torino,Atalanta,Torino,41.17%,31.71%,27.12%
30/04/2023,Inter Milan,Lazio,Lazio,19.55%,22.93%,57.52%
30/04/2023,Cremonese,Verona,Verona,14.92%,21.49%,63.59%
30/04/2023,Napoli,Salernitana,Napoli,73.54%,17.90%,8.56%
30/04/2023,Sassuolo,Empoli,Empoli,31.13%,34.19%,34.68%
01/05/2023,Fiorentina,Sampdoria,Fiorentina,52.95%,23.04%,24.01%
01/05/2023,Bologna,Juventus,Juventus,14.81%,24.85%,60.34%
