Date,Home,Away,PredictResult,H,D,A
04/05/2023,Atalanta,Spezia,Atalanta,57.17%,26.51%,16.32%,1.45,0.65
04/05/2023,Juventus,Lecce,Juventus,60.86%,26.93%,12.21%,1.41,0.47
04/05/2023,Sampdoria,Torino,Torino,7.72%,19.99%,72.29%,0.43,1.80
04/05/2023,Salernitana,Fiorentina,Fiorentina,26.74%,23.13%,50.13%,1.26,1.77
04/05/2023,Verona,Inter Milan,Inter Milan,20.96%,18.92%,60.12%,1.43,2.27
04/05/2023,Lazio,Sassuolo,Lazio,79.62%,15.77%,4.61%,2.01,0.33
04/05/2023,Monza,Roma,Monza,42.71%,30.79%,26.50%,1.13,0.82
04/05/2023,AC Milan,Cremonese,AC Milan,88.21%,8.36%,3.43%,2.54,0.58
05/05/2023,Empoli,Bologna,Bologna,25.16%,29.94%,44.90%,0.82,1.19
05/05/2023,Udinese,Napoli,Napoli,19.23%,17.70%,63.06%,1.49,2.40
