Date,Home,Away,PredictResult,H,D,A
21/4/2023,Roasso Kumamoto,JEF United,Roasso Kumamoto,57.92%,22.41%,19.67%
22/4/2023,Omiya Ardija,Shimizu S-Pulse,Draw,17.27%,64.28%,18.46%
22/4/2023,Ventforet Kofu,Machida Zelvia,Machida Zelvia,6.80%,33.53%,59.67%
22/4/2023,Fagiano Okayama,Renofa Yamaguchi,Fagiano Okayama,46.45%,28.30%,25.25%
22/4/2023,V-Varen Nagasaki,Blaublitz Akita,Draw,4.49%,59.94%,35.56%
22/4/2023,Tokyo Verdy,Montedio Yamagata,Tokyo Verdy,57.14%,32.84%,10.02%
23/4/2023,Tochigi,Iwaki,Draw,30.94%,36.41%,32.65%
23/4/2023,ThespaKusatsu Gunma,Tokushima Vortis,ThespaKusatsu Gunma,44.38%,30.94%,24.69%
23/4/2023,Zweigen Kanazawa,Júbilo Iwata,Júbilo Iwata,36.56%,22.23%,41.21%
23/4/2023,Fujieda MYFC,Vegalta Sendai,Vegalta Sendai,27.66%,28.69%,43.65%
23/4/2023,Oita Trinita,Mito Hollyhock,Oita Trinita,65.53%,20.99%,13.48%
