Date,Home,Away,PredictResult,H,D,A
06/05/2023,Dordrecht,Heracles,Heracles,5.92%,11.17%,82.91%,0.75,2.51
06/05/2023,De Graafschap,MVV,De Graafschap,55.02%,18.51%,26.47%,2.47,1.98
06/05/2023,Helmond Sport,VVV,Draw,27.90%,37.26%,34.84%,0.67,0.79
06/05/2023,Roda JC,Eindhoven,Eindhoven,13.27%,19.23%,67.50%,0.83,2.03
06/05/2023,Telstar,Willem II,Willem II,19.52%,27.67%,52.81%,0.72,1.38
07/05/2023,Almere City,NAC Breda,Almere City,53.62%,27.25%,19.12%,1.40,0.73
09/05/2023,Ajax II,ADO Den Haag,ADO Den Haag,23.51%,28.16%,48.33%,0.84,1.32
09/05/2023,AZ II,TOP Oss,AZ II,66.34%,18.99%,14.67%,2.10,0.95
09/05/2023,PSV II,PEC Zwolle,PEC Zwolle,4.73%,7.62%,87.65%,1.26,1.98
09/05/2023,Utrecht II,Den Bosch,Draw,25.72%,37.49%,36.79%,0.62,0.81
