Date,Home,Away,PredictResult,H,D,A
06/05/2023,Dordrecht,Heracles,Heracles,9.71%,13.60%,76.70%,1.03,2.49
06/05/2023,De Graafschap,MVV,MVV,20.54%,19.11%,60.35%,1.37,2.23
06/05/2023,Helmond Sport,VVV,VVV,10.77%,16.87%,72.36%,0.80,2.19
06/05/2023,Roda JC,Eindhoven,Eindhoven,13.31%,26.69%,60.00%,0.52,1.43
06/05/2023,Telstar,Willem II,Willem II,24.00%,23.68%,52.32%,1.10,1.71
07/05/2023,Almere City,NAC Breda,Almere City,57.40%,29.24%,13.36%,1.28,0.47
09/05/2023,Ajax II,ADO Den Haag,ADO Den Haag,19.99%,27.55%,52.47%,0.75,1.38
09/05/2023,AZ II,TOP Oss,AZ II,70.39%,17.95%,11.66%,2.11,0.80
09/05/2023,PSV II,PEC Zwolle,PEC Zwolle,10.94%,13.02%,76.04%,1.36,2.54
09/05/2023,Utrecht II,Den Bosch,Den Bosch,20.90%,31.51%,47.58%,0.65,1.14
