Date,Home,Away,PredictResult,H,D,A
29/04/2023,Osasuna,Real Sociedad,Draw,34.94%,41.56%,23.51%
29/04/2023,Elche,Rayo Vallecano,Rayo Vallecano,6.54%,15.25%,78.22%
30/04/2023,Real Madrid,Almeria,Real Madrid,59.55%,17.98%,22.47%
30/04/2023,Barcelona,Real Betis,Draw,35.79%,43.98%,20.22%
30/04/2023,Cadiz,Valencia,Valencia,29.44%,34.11%,36.45%
30/04/2023,Villarreal,Celta Vigo,Celta Vigo,33.07%,31.07%,35.87%
01/05/2023,Espanyol,Getafe,Getafe,32.21%,25.67%,42.12%
01/05/2023,Real Valladolid,Atletico Madrid,Atletico Madrid,4.03%,16.64%,79.33%
02/05/2023,Mallorca,Athletic Bilbao,Athletic Bilbao,23.58%,34.67%,41.76%
02/05/2023,Sevilla,Girona,Sevilla,44.05%,24.90%,31.04%
