Date,Home,Away,PredictResult,H,D,A
nan,Sporting Gijon,Lugo,Sporting Gijon,44.04%,32.99%,22.97%
29/04/2023,Racing Santander,Ibiza,Racing Santander,43.34%,38.41%,18.25%
29/04/2023,Levante,Alaves,Levante,53.69%,29.25%,17.06%
30/04/2023,Albacete,FC Cartagena,Albacete,44.56%,24.50%,30.95%
30/04/2023,Tenerife,Leganes,Leganes,31.84%,30.34%,37.83%
30/04/2023,FC Andorra,Mirandes,FC Andorra,37.73%,32.44%,29.83%
30/04/2023,Real Oviedo,Ponferradina,Draw,38.58%,42.63%,18.79%
01/05/2023,Granada,Eibar,Eibar,16.16%,29.48%,54.36%
01/05/2023,Real Zaragoza,Las Palmas,Las Palmas,13.13%,41.24%,45.63%
02/05/2023,Malaga,Huesca,Huesca,17.01%,40.88%,42.11%
02/05/2023,Burgos,Villarreal II,Burgos,58.06%,31.94%,10.00%
