Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Copa de la Liga Profesional,2021,12/2/2021,22:15,Banfield,Racing Club,2,0,H,2.32,3.11,3.43,2.37,3.34,3.5,2.26,3.05,3.23
Argentina,Copa de la Liga Profesional,2021,13/2/2021,0:30,Central Cordoba,Colon Santa FE,0,3,A,2.91,2.92,2.79,2.96,3.14,2.79,2.78,2.93,2.66
Argentina,Copa de la Liga Profesional,2021,13/2/2021,0:30,Union de Santa Fe,Atl. Tucuman,2,2,D,2.28,3.21,3.4,2.28,3.52,3.4,2.21,3.21,3.19
Argentina,Copa de la Liga Profesional,2021,13/2/2021,20:10,Aldosivi,Godoy Cruz,1,2,A,2.43,3.32,3.02,2.49,3.48,3.02,2.4,3.2,2.88
Argentina,Copa de la Liga Profesional,2021,13/2/2021,20:10,Talleres Cordoba,Patronato,1,0,H,1.68,3.59,5.72,1.73,3.7,5.78,1.67,3.46,5.33
Argentina,Copa de la Liga Profesional,2021,13/2/2021,22:20,Velez Sarsfield,Newells Old Boys,1,0,H,2.04,3.37,3.87,2.26,3.4,4.04,2.05,3.22,3.59
Argentina,Copa de la Liga Profesional,2021,14/2/2021,0:30,San Lorenzo,Arsenal Sarandi,2,1,H,2.23,3.12,3.63,2.23,3.48,4.09,2.14,3.2,3.38
Argentina,Copa de la Liga Profesional,2021,14/2/2021,20:10,Defensa y Justicia,Huracan,3,2,H,1.76,3.7,4.76,1.83,3.72,5,1.74,3.5,4.55
Argentina,Copa de la Liga Profesional,2021,14/2/2021,22:20,Boca Juniors,Gimnasia L.P.,2,2,D,1.65,3.79,5.66,1.68,3.84,6,1.63,3.62,5.32
Argentina,Copa de la Liga Profesional,2021,15/2/2021,0:30,Estudiantes L.P.,River Plate,2,1,H,5.79,3.78,1.63,5.79,3.78,1.83,5.1,3.52,1.67
Argentina,Copa de la Liga Profesional,2021,15/2/2021,22:15,Rosario Central,Argentinos Jrs,2,1,H,2.27,3.16,3.47,2.3,3.25,3.8,2.16,3.07,3.47
Argentina,Copa de la Liga Profesional,2021,16/2/2021,0:30,Independiente,Lanus,0,1,A,2.53,3.24,2.94,2.53,3.46,3,2.41,3.21,2.85
Argentina,Copa de la Liga Profesional,2021,19/2/2021,22:15,Gimnasia L.P.,Talleres Cordoba,3,0,H,2.63,3,3.03,2.79,3.18,3.06,2.54,2.94,2.9
Argentina,Copa de la Liga Profesional,2021,20/2/2021,0:30,Arsenal Sarandi,Banfield,0,2,A,4.76,3.64,1.78,4.87,3.75,1.8,4.52,3.55,1.74
Argentina,Copa de la Liga Profesional,2021,20/2/2021,20:10,Godoy Cruz,Estudiantes L.P.,0,2,A,3.58,3.16,2.23,3.58,3.36,2.25,3.33,3.14,2.17
Argentina,Copa de la Liga Profesional,2021,20/2/2021,20:10,Lanus,Defensa y Justicia,2,1,H,3.04,3.23,2.46,3.1,3.44,2.47,2.93,3.21,2.36
Argentina,Copa de la Liga Profesional,2021,20/2/2021,22:20,Racing Club,Aldosivi,2,2,D,1.71,3.68,5.15,1.75,3.85,5.5,1.69,3.62,4.77
Argentina,Copa de la Liga Profesional,2021,21/2/2021,0:30,River Plate,Rosario Central,3,0,H,1.32,5.54,8.92,1.35,5.75,10,1.31,5.26,8.34
Argentina,Copa de la Liga Profesional,2021,21/2/2021,20:10,Argentinos Jrs,Platense,0,1,A,2.63,2.89,3.15,2.63,3.2,3.32,2.43,2.97,3.03
Argentina,Copa de la Liga Profesional,2021,21/2/2021,20:10,Sarmiento Junin,Velez Sarsfield,1,2,A,4,3.33,2.02,4,3.51,2.11,3.71,3.27,1.99
Argentina,Copa de la Liga Profesional,2021,21/2/2021,22:20,Patronato,Independiente,0,1,A,3.59,3.2,2.2,3.77,3.3,2.2,3.57,3.1,2.1
Argentina,Copa de la Liga Profesional,2021,22/2/2021,0:30,Newells Old Boys,Boca Juniors,0,1,A,4.42,3.4,1.9,4.5,3.5,2.08,3.93,3.29,1.93
Argentina,Copa de la Liga Profesional,2021,22/2/2021,22:15,Atl. Tucuman,Central Cordoba,1,2,A,2.39,3.21,3.19,2.42,3.44,3.25,2.28,3.21,3.05
