Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5,AHCh,B365CAHH,B365CAHA
D2,26/7/2019,Stuttgart,Hannover,2,1,H,2,1,H,14,7,7,2,4,3,1,1,1.75,3.75,4.33,1.65,2.2,-0.75,1.98,1.88,1.72,3.8,4.5,1.65,2.2,-0.75,1.95,1.9
F2,26/7/2019,Ajaccio,Le Havre,2,2,D,1,0,H,12,12,4,3,5,8,0,1,2.9,3,2.55,2.7,1.44,0,2.05,1.8,2.9,3,2.55,2.7,1.44,0,2.05,1.8
F2,26/7/2019,Chambly,Valenciennes,1,0,H,0,0,D,14,9,5,0,2,5,0,0,2.5,3,2.8,2.1,1.7,-0.25,2.15,1.67,2.25,3,3.2,2.25,1.61,-0.25,2.05,1.75
F2,26/7/2019,Clermont,Chateauroux,3,0,H,1,0,H,11,11,7,5,8,3,0,1,1.75,3.5,4.75,2.1,1.7,-0.75,2.02,1.77,1.61,3.8,5.75,2.25,1.61,-0.75,1.85,2
F2,26/7/2019,Guingamp,Grenoble,3,3,D,2,0,H,22,5,8,3,8,1,0,0,1.66,3.6,5.25,2.2,1.65,-0.75,1.95,1.9,1.85,3.3,4.2,2.4,1.53,-0.5,1.93,1.93
F2,26/7/2019,Nancy,Orleans,0,0,D,0,0,D,8,6,1,3,6,2,0,0,2.1,3.2,3.6,2.25,1.61,-0.25,1.9,1.95,2.2,3.2,3.5,2.25,1.61,-0.25,1.98,1.88
F2,26/7/2019,Niort,Troyes,0,2,A,0,1,A,4,14,2,5,1,5,0,0,3.25,3,2.37,2.3,1.6,0.25,1.85,2,3.5,3,2.25,2.35,1.57,0.25,1.88,1.98
F2,26/7/2019,Rodez,Auxerre,2,0,H,2,0,H,10,17,3,4,4,3,0,0,2.7,3,2.8,2.4,1.53,0,2.02,1.83,3,3,2.5,2.5,1.5,0,2.02,1.83
F2,26/7/2019,Sochaux,Caen,0,0,D,0,0,D,11,3,0,0,3,5,0,0,2.75,3,2.5,3.1,1.36,0,2.02,1.83,2.7,3,2.6,3.1,1.36,0,1.93,1.93
B1,26/7/2019,Genk,Kortrijk,2,1,H,0,1,A,10,8,2,4,6,2,0,0,1.36,4.75,8.5,1.53,2.4,-1.5,2.07,1.72,1.45,4.75,6.5,1.5,2.5,-1.25,1.98,1.88
D2,27/7/2019,Dresden,Nurnberg,0,1,A,0,0,D,16,5,3,2,12,1,0,0,3,3.25,2.37,1.85,1.95,0,2.13,1.75,2.55,3.25,2.75,1.95,1.85,0,1.9,1.95
D2,27/7/2019,Holstein Kiel,Sandhausen,1,1,D,0,1,A,21,15,3,3,5,7,0,0,2,3.6,3.5,1.65,2.2,-0.5,2.05,1.75,1.75,3.75,4.33,1.61,2.25,-0.5,1.77,2.1
D2,27/7/2019,Osnabruck,Heidenheim,1,3,A,0,0,D,9,9,2,6,6,6,1,0,2.4,3.25,2.9,2,1.8,0,1.8,2.05,2.5,3.25,2.75,1.85,1.95,0,1.83,2.02
F2,27/7/2019,Le Mans,Lens,1,2,A,1,0,H,21,14,4,5,5,2,0,0,3,3.2,2.37,2.5,1.5,0,2.13,1.75,3.8,3.2,2.1,2.15,1.66,0.25,2.02,1.83
B1,27/7/2019,Cercle Brugge,Standard,0,2,A,0,0,D,13,14,5,9,3,7,1,0,3.75,3.75,1.85,1.75,2.05,0.5,1.93,1.93,3.75,3.8,1.85,1.61,2.25,0.5,1.88,1.98
B1,27/7/2019,St Truiden,Mouscron,0,1,A,0,1,A,10,10,4,6,5,5,0,0,1.9,3.75,3.75,1.8,2,-0.5,1.98,1.88,2,3.5,3.6,1.7,2.1,-0.25,1.83,2.02
B1,27/7/2019,Waregem,Mechelen,0,2,A,0,1,A,7,10,2,5,4,2,0,0,2.15,3.6,3.1,1.66,2.15,-0.25,1.93,1.93,2.8,3.4,2.5,1.6,2.3,0.25,1.72,2.07
B1,27/7/2019,Waasland-Beveren,Club Brugge,1,3,A,1,1,D,7,25,2,22,1,14,0,0,6.5,4,1.5,1.57,2.35,1,1.98,1.88,12,5.75,1.25,1.44,2.7,1.5,2.2,1.7
D2,28/7/2019,Hamburg,Darmstadt,1,1,D,0,0,D,24,8,7,4,7,2,0,0,1.7,3.5,5.25,1.95,1.85,-0.75,1.95,1.9,1.55,3.75,6.5,1.8,2,-1,2,1.8
D2,28/7/2019,Greuther Furth,Erzgebirge Aue,0,2,A,0,1,A,23,12,7,7,9,2,0,0,2.2,3.3,3.3,2,1.8,-0.25,1.9,1.95,2.15,3.4,3.25,2.07,1.72,-0.25,1.88,1.98
D2,28/7/2019,Regensburg,Bochum,3,1,H,1,0,H,17,16,6,4,5,3,0,0,2.3,3.4,3,1.7,2.1,-0.25,2.02,1.83,2.2,3.4,3.2,1.65,2.2,-0.25,1.95,1.9
D2,28/7/2019,Wehen,Karlsruhe,1,2,A,0,1,A,16,12,4,4,5,4,0,0,2.37,3.25,3,1.85,1.95,-0.25,2.1,1.77,2.4,3.25,2.9,1.8,2,0,1.75,2.05
B1,28/7/2019,Anderlecht,Oostende,1,2,A,1,1,D,15,8,6,6,5,2,0,0,1.36,4.5,9,1.6,2.3,-1.25,1.85,2,1.4,4.75,7,1.57,2.35,-1.25,1.93,1.93
B1,28/7/2019,Charleroi,Gent,1,1,D,0,0,D,7,5,4,4,5,6,0,0,3.1,3.25,2.3,1.8,2,0.25,1.83,2.02,3.1,3.3,2.25,1.66,2.15,0.25,1.83,2.02
B1,28/7/2019,Eupen,Antwerp,1,4,A,1,1,D,12,14,3,8,3,10,0,0,3.8,3.3,1.95,1.8,2,0.25,2.1,1.7,3.5,3.25,2.1,1.85,1.95,0.25,1.98,1.88
D2,29/7/2019,Bielefeld,St Pauli,1,1,D,0,1,A,22,5,5,3,8,0,0,0,2.15,3.4,3.25,1.72,2.07,-0.25,1.9,1.95,1.85,3.75,3.9,1.8,2,-0.75,2.07,1.72
F2,29/7/2019,Lorient,Paris FC,3,0,H,1,0,H,13,3,4,2,8,2,0,1,2,3.2,4,2.7,1.44,-0.5,2.05,1.8,1.85,3.2,4.75,2.7,1.44,-0.5,1.9,1.95
E1,2/8/2019,Luton,Middlesbrough,3,3,D,2,2,D,12,17,4,8,8,11,0,0,2.37,3.3,3.3,2,1.8,-0.25,2.01,1.89,2.3,3.4,3.4,2,1.8,-0.25,1.94,1.96
SC1,2/8/2019,Dunfermline,Dundee,2,2,D,2,1,H,11,11,3,3,10,4,0,0,2.87,3.4,2.37,2.2,1.65,0.25,1.75,2.05,2.87,3.4,2.37,2.2,1.65,0,2.1,1.77
D2,2/8/2019,Bochum,Bielefeld,3,3,D,0,0,D,19,15,8,7,4,5,0,0,2.8,3.4,2.4,1.7,2.1,0,2,1.85,2.9,3.4,2.37,1.65,2.2,0,2.1,1.77
D2,2/8/2019,Sandhausen,Osnabruck,0,1,A,0,0,D,13,18,4,4,5,2,0,0,2,3.4,3.75,1.95,1.85,-0.5,2.02,1.83,2.2,3.4,3.3,1.95,1.85,-0.25,1.93,1.93
D2,2/8/2019,St Pauli,Greuther Furth,1,3,A,1,2,A,15,6,5,5,7,1,0,0,2,3.5,3.6,1.9,1.9,-0.25,1.8,2.05,2.05,3.5,3.4,1.85,1.95,-0.25,1.88,1.98
F2,2/8/2019,Auxerre,Le Mans,2,0,H,0,0,D,20,6,6,3,2,4,0,0,1.75,3.4,5,2.15,1.66,-0.75,2.02,1.77,1.66,3.5,5.5,2.1,1.7,-0.75,1.93,1.93
F2,2/8/2019,Chateauroux,Rodez,0,0,D,0,0,D,10,10,2,0,1,3,0,0,3,3,2.5,2.5,1.5,0,2.05,1.8,3.4,3,2.3,2.5,1.5,0.25,1.85,2
F2,2/8/2019,Grenoble,Ajaccio,0,1,A,0,0,D,7,11,0,5,3,2,0,0,2.05,3.1,4,2.4,1.53,-0.25,1.85,2,2.15,3.1,3.75,2.4,1.53,-0.25,1.9,1.95
F2,2/8/2019,Le Havre,Niort,1,1,D,0,1,A,14,8,4,2,5,3,0,0,1.72,3.4,5.25,2.15,1.66,-0.75,1.95,1.9,1.66,3.5,5.5,2.15,1.66,-0.75,2,1.85
F2,2/8/2019,Orleans,Chambly,0,1,A,0,1,A,15,9,4,2,7,4,1,1,2.1,3.1,3.75,2.4,1.53,-0.25,1.85,2,2.5,3.1,2.9,2.35,1.57,-0.25,2,1.85
F2,2/8/2019,Paris FC,Sochaux,1,1,D,1,0,H,9,6,2,1,7,1,0,0,2.2,2.7,4.2,3.4,1.33,-0.25,1.83,2.02,2.15,2.7,4.33,3.5,1.3,-0.25,1.85,2
