Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2021/2022,23/7/2021,3:00,Queretaro,Club America,0,0,D,3.83,3.26,2.17,3.99,3.5,2.21,3.67,3.16,2.09
Mexico,Liga MX,2021/2022,24/7/2021,1:00,Necaxa,Santos Laguna,0,3,A,2.94,3.26,2.63,3.19,3.26,2.65,2.81,3.11,2.54
Mexico,Liga MX,2021/2022,24/7/2021,3:00,Juarez,Toluca,1,3,A,2.57,3.36,2.94,2.72,3.4,2.95,2.49,3.2,2.79
Mexico,Liga MX,2021/2022,24/7/2021,22:00,Pachuca,Club Leon,4,0,H,2.33,3.53,3.17,2.38,3.65,3.3,2.26,3.39,3.01
Mexico,Liga MX,2021/2022,25/7/2021,3:00,Guadalajara Chivas,Atl. San Luis,1,2,A,1.87,3.35,5.11,1.95,3.6,5.27,1.82,3.23,4.74
Mexico,Liga MX,2021/2022,25/7/2021,18:00,U.N.A.M.- Pumas,Atlas,0,0,D,3.7,3.42,2.15,3.79,3.43,2.2,3.45,3.22,2.13
Mexico,Liga MX,2021/2022,26/7/2021,1:06,Monterrey,Puebla,1,1,D,1.75,3.72,5.23,1.77,3.82,6.08,1.72,3.58,4.79
Mexico,Liga MX,2021/2022,26/7/2021,3:06,Club Tijuana,U.A.N.L.- Tigres,1,2,A,2.52,3.22,3.13,2.53,3.32,3.15,2.42,3.14,2.96
Mexico,Liga MX,2021/2022,27/7/2021,2:00,Cruz Azul,Mazatlan FC,0,2,A,1.43,4.49,8.87,1.47,4.55,8.91,1.41,4.24,7.84
Mexico,Liga MX,2021/2022,31/7/2021,1:00,Mazatlan FC,Pachuca,2,1,H,3.69,3.14,2.28,3.75,3.42,2.32,3.45,3.11,2.19
Mexico,Liga MX,2021/2022,31/7/2021,3:05,Puebla,Guadalajara Chivas,0,2,A,2.11,3.17,4.2,2.13,3.3,4.21,2.05,3.1,3.86
Mexico,Liga MX,2021/2022,31/7/2021,23:00,Club Leon,Club Tijuana,2,1,H,1.54,4.3,6.72,1.61,4.5,6.72,1.54,4.06,5.75
Mexico,Liga MX,2021/2022,1/8/2021,1:00,Club America,Necaxa,2,1,H,1.53,4.24,7.06,1.58,4.27,7.06,1.53,3.95,6.19
Mexico,Liga MX,2021/2022,1/8/2021,3:00,Monterrey,U.N.A.M.- Pumas,2,0,H,1.45,4.6,7.98,1.47,4.75,8.18,1.42,4.41,7.19
Mexico,Liga MX,2021/2022,1/8/2021,3:05,Atlas,Juarez,2,0,H,1.49,4.37,7.63,1.5,4.37,8,1.46,4.11,7.05
Mexico,Liga MX,2021/2022,1/8/2021,18:00,Toluca,U.A.N.L.- Tigres,3,1,H,2.12,3.54,3.65,2.2,3.54,3.84,2.09,3.35,3.4
Mexico,Liga MX,2021/2022,2/8/2021,0:00,Santos Laguna,Cruz Azul,1,1,D,2.17,3.33,3.74,2.18,3.38,3.81,2.1,3.19,3.55
Mexico,Liga MX,2021/2022,3/8/2021,3:00,Atl. San Luis,Queretaro,1,1,D,2.36,3.15,3.49,2.38,3.25,3.5,2.28,3.03,3.31
Mexico,Liga MX,2021/2022,6/8/2021,3:05,Queretaro,Club Leon,0,1,A,3.68,3.45,2.14,3.9,3.5,2.25,3.4,3.31,2.12
Mexico,Liga MX,2021/2022,7/8/2021,1:00,Mazatlan FC,Monterrey,1,1,D,3.61,3.31,2.23,3.64,3.55,2.23,3.39,3.28,2.14
Mexico,Liga MX,2021/2022,7/8/2021,3:05,Necaxa,Cruz Azul,1,2,A,3.27,3.21,2.44,3.32,3.21,2.45,3.09,3.07,2.38
Mexico,Liga MX,2021/2022,7/8/2021,3:06,Club Tijuana,Toluca,0,2,A,2,3.65,3.92,2.25,3.65,3.93,1.98,3.45,3.66
Mexico,Liga MX,2021/2022,7/8/2021,23:00,Guadalajara Chivas,Juarez,2,2,D,1.85,3.34,5.29,1.88,3.6,5.5,1.78,3.32,4.91
Mexico,Liga MX,2021/2022,8/8/2021,1:00,Club America,Puebla,2,0,H,1.91,3.51,4.52,1.93,3.6,4.61,1.86,3.36,4.31
Mexico,Liga MX,2021/2022,8/8/2021,3:00,U.A.N.L.- Tigres,Santos Laguna,1,1,D,2.19,3.28,3.75,2.25,3.36,3.75,2.13,3.16,3.54
Mexico,Liga MX,2021/2022,8/8/2021,18:00,U.N.A.M.- Pumas,Atl. San Luis,1,3,A,2.41,3.31,3.22,2.44,3.4,3.25,2.33,3.15,3.1
Mexico,Liga MX,2021/2022,10/8/2021,3:00,Pachuca,Atlas,0,1,A,2.61,2.9,3.35,2.73,3.3,3.35,2.57,2.9,3
Mexico,Liga MX,2021/2022,13/8/2021,3:00,Atl. San Luis,Necaxa,0,2,A,2.89,3.32,2.64,3,3.51,2.65,2.75,3.23,2.52
Mexico,Liga MX,2021/2022,14/8/2021,1:00,Puebla,U.A.N.L.- Tigres,1,1,D,2.56,3.19,3.09,2.58,3.21,3.15,2.45,3.09,2.97
Mexico,Liga MX,2021/2022,14/8/2021,3:00,Juarez,Club Tijuana,1,1,D,2.88,3.27,2.67,2.92,3.29,2.72,2.76,3.1,2.61
Mexico,Liga MX,2021/2022,14/8/2021,23:00,U.N.A.M.- Pumas,Queretaro,0,0,D,2.77,3.12,2.89,2.78,3.22,2.89,2.67,3.02,2.75
Mexico,Liga MX,2021/2022,15/8/2021,1:00,Club Leon,Mazatlan FC,3,0,H,1.6,4,6.46,1.66,4.25,6.5,1.59,3.91,5.56
Mexico,Liga MX,2021/2022,15/8/2021,3:00,Cruz Azul,Toluca,4,0,H,2.06,3.28,4.21,2.12,3.48,4.4,2.01,3.18,3.91
Mexico,Liga MX,2021/2022,15/8/2021,3:06,Monterrey,Pachuca,3,1,H,1.85,3.56,4.8,1.87,3.8,4.85,1.81,3.44,4.39
Mexico,Liga MX,2021/2022,15/8/2021,23:00,Atlas,Club America,0,1,A,2.36,3.23,3.39,2.58,3.23,3.5,2.39,3,3.15
Mexico,Liga MX,2021/2022,16/8/2021,1:06,Santos Laguna,Guadalajara Chivas,0,0,D,2.09,3.32,4.02,2.14,3.47,4.08,2.05,3.25,3.64
Mexico,Liga MX,2021/2022,17/8/2021,23:00,Toluca,Mazatlan FC,2,2,D,1.72,3.98,5.03,1.73,4,5.03,1.69,3.8,4.71
Mexico,Liga MX,2021/2022,18/8/2021,1:00,U.A.N.L.- Tigres,Queretaro,3,0,H,1.81,3.59,5.07,1.82,3.6,5.23,1.77,3.43,4.74
Mexico,Liga MX,2021/2022,18/8/2021,3:00,Necaxa,U.N.A.M.- Pumas,3,0,H,1.82,3.75,4.69,1.88,3.75,4.82,1.8,3.58,4.3
Mexico,Liga MX,2021/2022,18/8/2021,3:06,Club Tijuana,Puebla,1,1,D,2.02,3.48,4.06,2.07,3.5,4.21,1.99,3.32,3.8
Mexico,Liga MX,2021/2022,19/8/2021,1:00,Cruz Azul,Monterrey,1,1,D,2.27,3.28,3.55,2.28,3.3,3.67,2.2,3.15,3.36
Mexico,Liga MX,2021/2022,19/8/2021,1:00,Santos Laguna,Atlas,1,1,D,2.67,3.03,3.1,2.67,3.18,3.2,2.54,2.97,2.96
Mexico,Liga MX,2021/2022,19/8/2021,3:00,Guadalajara Chivas,Club Leon,0,3,A,2.74,3.37,2.74,2.74,3.51,2.77,2.6,3.26,2.64
Mexico,Liga MX,2021/2022,19/8/2021,3:00,Juarez,Club America,1,2,A,4.31,3.37,2,4.31,3.43,2.05,3.99,3.28,1.95
Mexico,Liga MX,2021/2022,21/8/2021,3:00,Mazatlan FC,U.A.N.L.- Tigres,0,3,A,3.26,3.27,2.41,3.26,3.4,2.43,3.08,3.15,2.35
Mexico,Liga MX,2021/2022,21/8/2021,23:00,Atlas,Toluca,0,0,D,1.75,3.8,5.1,1.8,3.8,5.2,1.73,3.55,4.78
Mexico,Liga MX,2021/2022,22/8/2021,1:00,Club Leon,Santos Laguna,1,1,D,1.97,3.57,4.13,2,3.66,4.13,1.94,3.44,3.8
Mexico,Liga MX,2021/2022,22/8/2021,3:00,Atl. San Luis,Cruz Azul,0,0,D,3.7,3.12,2.29,3.7,3.45,2.31,3.41,3.09,2.21
Mexico,Liga MX,2021/2022,22/8/2021,3:36,Monterrey,Guadalajara Chivas,0,0,D,1.58,4.09,6.42,1.64,4.1,6.5,1.57,3.86,5.86
Mexico,Liga MX,2021/2022,22/8/2021,18:00,U.N.A.M.- Pumas,Puebla,2,0,H,3.04,3.14,2.63,3.2,3.17,2.63,2.92,3.03,2.52
Mexico,Liga MX,2021/2022,22/8/2021,23:00,Club America,Club Tijuana,2,0,H,1.43,4.96,7.51,1.5,4.96,8,1.43,4.47,6.94
Mexico,Liga MX,2021/2022,23/8/2021,1:00,Necaxa,Juarez,1,0,H,1.71,3.86,5.33,1.77,3.86,5.5,1.7,3.64,4.88
Mexico,Liga MX,2021/2022,23/8/2021,3:00,Queretaro,Pachuca,0,2,A,3.56,3.2,2.3,3.61,3.35,2.3,3.37,3.1,2.22
Mexico,Liga MX,2021/2022,28/8/2021,1:00,Mazatlan FC,Atl. San Luis,2,2,D,2.43,3.15,3.34,2.45,3.4,3.34,2.37,3.06,3.15
Mexico,Liga MX,2021/2022,28/8/2021,3:00,Puebla,Queretaro,1,0,H,2.22,3.26,3.7,2.25,3.4,3.7,2.17,3.13,3.49
