Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2020/2021,25/7/2020,1:30,Necaxa,U.A.N.L.- Tigres,0,3,A,4.42,3.44,1.92,5,3.5,1.97,4.15,3.34,1.89
Mexico,Liga MX,2020/2021,26/7/2020,1:00,Guadalajara Chivas,Club Leon,0,0,D,2.9,3.49,2.45,3.05,3.58,2.62,2.81,3.37,2.39
Mexico,Liga MX,2020/2021,26/7/2020,3:00,Club Tijuana,Atlas,3,1,H,1.88,3.61,4.38,1.95,3.66,4.6,1.84,3.48,4.18
Mexico,Liga MX,2020/2021,26/7/2020,3:00,Cruz Azul,Santos Laguna,2,0,H,1.85,3.86,4.15,1.89,3.95,4.5,1.82,3.69,3.99
Mexico,Liga MX,2020/2021,26/7/2020,18:00,U.N.A.M.- Pumas,Queretaro,3,2,H,2.09,3.5,3.62,2.17,3.64,3.84,2.05,3.41,3.48
Mexico,Liga MX,2020/2021,28/7/2020,0:00,Atl. San Luis,Juarez,1,1,D,1.8,3.43,5.16,1.88,3.67,5.55,1.78,3.41,4.69
Mexico,Liga MX,2020/2021,28/7/2020,2:00,Pachuca,Club America,1,2,A,2.77,3.37,2.61,2.84,3.48,2.75,2.65,3.29,2.56
Mexico,Liga MX,2020/2021,28/7/2020,4:00,Mazatlan FC,Puebla,1,4,A,2.28,3.28,3.37,2.4,3.32,3.52,2.22,3.17,3.26
Mexico,Liga MX,2020/2021,29/7/2020,1:00,Monterrey,Toluca,3,1,H,1.44,4.8,7.2,1.49,5.15,7.34,1.42,4.64,6.68
Mexico,Liga MX,2020/2021,1/8/2020,1:30,Puebla,Cruz Azul,1,1,D,4.33,3.41,1.95,4.49,3.9,1.97,4.06,3.42,1.88
Mexico,Liga MX,2020/2021,1/8/2020,3:30,Juarez,Necaxa,1,0,H,2.56,3.27,2.92,2.68,3.34,3.04,2.48,3.17,2.83
Mexico,Liga MX,2020/2021,2/8/2020,1:00,U.A.N.L.- Tigres,Pachuca,1,1,D,1.54,4.44,6.04,1.61,4.5,6.3,1.53,4.16,5.66
Mexico,Liga MX,2020/2021,2/8/2020,3:00,Club America,Club Tijuana,4,0,H,2.02,3.6,3.78,2.1,4,4.2,1.94,3.58,3.65
Mexico,Liga MX,2020/2021,2/8/2020,18:00,Toluca,Atl. San Luis,3,2,H,2.39,3.48,2.99,2.47,3.72,3.05,2.36,3.34,2.87
Mexico,Liga MX,2020/2021,2/8/2020,23:00,Queretaro,Mazatlan FC,1,1,D,2.6,3.36,2.79,2.63,3.5,3,2.48,3.29,2.76
Mexico,Liga MX,2020/2021,3/8/2020,1:06,Santos Laguna,Guadalajara Chivas,2,0,H,2.42,3.3,3.09,2.49,3.44,3.24,2.35,3.25,2.94
Mexico,Liga MX,2020/2021,4/8/2020,1:00,Atlas,U.N.A.M.- Pumas,1,2,A,2.56,3.35,2.85,2.63,3.58,2.92,2.49,3.32,2.72
Mexico,Liga MX,2020/2021,4/8/2020,3:00,Club Leon,Monterrey,1,0,H,2.25,3.65,3.1,2.37,4.35,3.1,2.2,3.59,2.96
Mexico,Liga MX,2020/2021,7/8/2020,1:00,Pachuca,Queretaro,1,0,H,2.04,3.33,4.05,2.1,3.58,4.2,1.99,3.32,3.79
Mexico,Liga MX,2020/2021,7/8/2020,3:06,Club Tijuana,U.A.N.L.- Tigres,0,0,D,3.71,3.46,2.08,4.05,3.5,2.15,3.63,3.33,2.02
Mexico,Liga MX,2020/2021,8/8/2020,1:30,Necaxa,Club America,1,1,D,3.54,3.51,2.12,3.74,3.58,2.2,3.39,3.41,2.08
Mexico,Liga MX,2020/2021,8/8/2020,3:30,Mazatlan FC,Toluca,2,1,H,2.38,3.56,2.95,2.48,3.85,3,2.32,3.45,2.86
