Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,-38,60
I2,24/9/2019,Cosenza,Livorno,1,1,Draw,Draw,1,1.9,2.4,2.9,3.3,-0.25,Livorno,0,2.02,1.83,,
I2,24/9/2019,Crotone,Juve Stabia,2,0,Crotone,Crotone,1,0.85,1.85,3.4,4.33,-0.75,Crotone,0.8,1.8,2.05,,
I2,24/9/2019,Perugia,Frosinone,3,1,Perugia,Perugia,1,1.3,2.3,3.2,3.2,0,Perugia,0.88,1.88,1.98,,
I2,24/9/2019,Pisa,Empoli,2,3,Empoli,Pisa,0,-1,2.5,3.2,2.87,0,Empoli,-1,1.9,1.95,,
I2,24/9/2019,Pordenone,Benevento,1,1,Draw,Benevento,0,-1,3.1,3,2.45,0.25,Pordenone,0,1.8,2.05,,
I2,24/9/2019,Virtus Entella,Venezia,0,2,Venezia,Virtus Entella,0,-1,1.85,3.4,4.33,-0.25,Venezia,-1,1.77,2.02,,
F1,24/9/2019,Dijon,Marseille,0,0,Draw,Marseille,0,-1,3.6,3.5,2,0.25,Dijon,0,1.96,1.97,,
F1,24/9/2019,Monaco,Nice,3,1,Monaco,Nice,0,-1,2,3.5,3.8,-0.5,Monaco,-1,1.9,2.03,,
SP1,25/9/2019,Leganes,Ath Bilbao,1,1,Draw,Ath Bilbao,0,-1,2.87,3,2.7,0,Draw,0,2.02,1.91,,
SP1,25/9/2019,Mallorca,Ath Madrid,0,2,Ath Madrid,Ath Madrid,1,0.61,6.5,3.6,1.61,0.75,Ath Madrid,0.89,2.04,1.89,,
SP1,25/9/2019,Valencia,Getafe,3,3,Draw,Getafe,0,-1,1.9,3.3,4.5,-0.25,Getafe,0,2.03,1.9,,
SP1,25/9/2019,Real Madrid,Osasuna,2,0,Real Madrid,Real Madrid,1,0.2,1.2,7,13,-1.25,Real Madrid,0.47,1.94,1.99,,
I1,25/9/2019,Roma,Atalanta,0,2,Atalanta,Roma,0,-1,2.2,3.8,3,-0.25,Atalanta,-1,2.11,1.82,,
I1,25/9/2019,Fiorentina,Sampdoria,2,1,Fiorentina,Fiorentina,1,0.7,1.7,4,4.75,-1,Draw,0,2.05,1.88,,
I1,25/9/2019,Genoa,Bologna,0,0,Draw,Bologna,0,-1,2.37,3.5,2.87,-0.25,Bologna,0,2.13,1.81,,
I1,25/9/2019,Inter,Lazio,1,0,Inter,Inter,1,1,2,3.5,3.75,-0.5,Inter,1.06,2.06,1.87,,
I1,25/9/2019,Napoli,Cagliari,0,1,Cagliari,Napoli,0,-1,1.2,7,13,-2,Cagliari,-1,1.79,2.15,,
I1,25/9/2019,Parma,Sassuolo,1,0,Parma,Sassuolo,0,-1,2.5,3.5,2.75,0,Parma,-1,2.04,1.89,,
I1,25/9/2019,Spal,Lecce,1,3,Lecce,Spal,0,-1,1.95,3.6,4,-0.25,Lecce,-1,1.77,2.02,,
I2,25/9/2019,Trapani,Cremonese,0,0,Draw,Cremonese,0,-1,2.75,3,2.75,0,Draw,0,2.1,1.77,,
I2,25/9/2019,Salernitana,Chievo,1,1,Draw,Chievo,0,-1,2.4,3.2,3,0,Draw,0,1.77,2.1,,
F1,25/9/2019,Amiens,Bordeaux,1,3,Bordeaux,Bordeaux,1,2.2,2.5,3,3.2,0,Bordeaux,1.09,1.84,2.09,,
F1,25/9/2019,Brest,Lyon,2,2,Draw,Lyon,0,-1,4.75,3.8,1.72,0.75,Brest,0,1.92,2.01,,
F1,25/9/2019,Lille,Strasbourg,2,0,Lille,Lille,1,0.83,1.83,3.4,4.75,-0.75,Lille,1.1,2.1,1.83,,
F1,25/9/2019,Montpellier,Nimes,1,0,Montpellier,Draw,0,-1,1.9,3.4,4.33,-0.5,Montpellier,-1,2.1,1.83,,
F1,25/9/2019,Nantes,Rennes,1,0,Nantes,Rennes,0,-1,2.3,3.1,3.4,-0.25,Nantes,-0.5,2.15,1.79,,
F1,25/9/2019,St Etienne,Metz,0,1,Metz,St Etienne,0,-1,1.8,3.5,4.75,-0.5,Metz,-1,2.02,1.91,,
F1,25/9/2019,Toulouse,Angers,0,2,Angers,Angers,1,1.75,2.75,3.1,2.75,0,Angers,0.98,1.95,1.98,,
F1,25/9/2019,Paris SG,Reims,0,2,Reims,Draw,0,-1,1.14,8,19,-1.5,Reims,-1,1.96,1.97,,
N1,25/9/2019,PSV Eindhoven,Groningen,3,1,PSV Eindhoven,PSV Eindhoven,1,0.25,1.25,6,10,-1.25,PSV Eindhoven,0.445,1.89,2.01,,
N1,25/9/2019,Ajax,For Sittard,5,0,Ajax,Ajax,1,0.03,1.03,15,34,-4,Ajax,0.9,1.9,1.9,,
SP1,26/9/2019,Eibar,Sevilla,3,2,Eibar,Sevilla,0,-1,3.5,3.3,2.15,0.25,Eibar,-1,2.01,1.92,,
SP1,26/9/2019,Celta,Espanol,1,1,Draw,Celta,0,-1,1.85,3.5,4.2,-0.75,Espanol,0,2.05,1.75,,
SP1,26/9/2019,Sociedad,Alaves,3,0,Sociedad,Sociedad,1,0.6,1.6,4,5.5,-1,Sociedad,0.94,1.94,1.99,,
I1,26/9/2019,Torino,Milan,2,1,Torino,Milan,0,-1,2.3,3.25,3.1,0,Torino,-1,1.88,2.05,,
N1,26/9/2019,Feyenoord,AZ Alkmaar,0,3,AZ Alkmaar,AZ Alkmaar,1,2.2,2.15,3.5,3.2,-0.25,AZ Alkmaar,1,1.9,2,,
E1,27/9/2019,Fulham,Wigan,2,0,Fulham,Fulham,1,0.44,1.44,4.5,7,-1,Fulham,0.8,1.8,2.1,,
E1,27/9/2019,Stoke,Nott'm Forest,2,3,Nott'm Forest,Nott'm Forest,1,2.2,2.4,3.1,3.2,-0.25,Nott'm Forest,0.98,1.92,1.98,,
E2,27/9/2019,Blackpool,Lincoln,2,1,Blackpool,Blackpool,1,1.3,2.3,3.5,3.25,-0.25,Blackpool,0.5,2,1.85,,
SC1,27/9/2019,Queen of Sth,Dundee,1,1,Draw,Draw,1,2.3,2.9,3.3,2.37,0.25,Queen of Sth,0,1.75,2.05,,
D1,27/9/2019,Union Berlin,Ein Frankfurt,1,2,Ein Frankfurt,Ein Frankfurt,1,1.3,3,3.5,2.3,0.25,Ein Frankfurt,0.565,1.81,2.13,,
D2,27/9/2019,Bielefeld,Stuttgart,0,1,Stuttgart,Stuttgart,1,1.4,2.8,3.5,2.4,0,Stuttgart,0.88,1.98,1.88,,
D2,27/9/2019,Wehen,Osnabruck,2,0,Wehen,Osnabruck,0,-1,3,3.6,2.2,0.25,Wehen,-1,1.85,2,,
SP1,27/9/2019,Villarreal,Betis,5,1,Villarreal,Villarreal,1,0.83,1.83,3.8,4.1,-0.75,Villarreal,1.03,2.03,1.9,,
SP2,27/9/2019,Las Palmas,Albacete,3,2,Las Palmas,Draw,0,-1,1.95,3.2,4.2,-0.75,Las Palmas,-0.5,2,1.8,,
I2,27/9/2019,Pescara,Crotone,0,3,Crotone,Crotone,1,1.6,2.7,3.2,2.6,0.25,Crotone,1.02,1.83,2.02,,
F2,27/9/2019,Ajaccio,Valenciennes,2,0,Ajaccio,Valenciennes,0,-1,2.05,3,4,-0.25,Ajaccio,-1,1.72,2.07,,
F2,27/9/2019,Chambly,Lorient,0,1,Lorient,Lorient,1,1.25,3.5,3,2.25,0.25,Lorient,0.465,1.93,1.93,,
F2,27/9/2019,Clermont,Nancy,2,2,Draw,Nancy,0,-1,2.05,3.2,3.75,-0.25,Nancy,0,1.95,1.9,,
F2,27/9/2019,Grenoble,Caen,1,0,Grenoble,Grenoble,1,0.95,1.95,3.2,3.75,-0.5,Grenoble,1.05,2.05,1.8,,
F2,27/9/2019,Le Havre,Chateauroux,0,1,Chateauroux,Le Havre,0,-1,1.53,3.8,6.5,-0.75,Chateauroux,-1,1.83,2.02,,
F2,27/9/2019,Niort,Auxerre,2,2,Draw,Auxerre,0,-1,3.75,3.1,2.1,0.5,Niort,0,1.85,2,,
F2,27/9/2019,Rodez,Sochaux,0,2,Sochaux,Sochaux,1,2.1,2.37,3.1,3.1,-0.25,Sochaux,0.83,2.02,1.83,,
F2,27/9/2019,Troyes,Orleans,1,2,Orleans,Troyes,0,-1,1.7,3.3,6,-0.75,Orleans,-1,2.05,1.8,,
N1,27/9/2019,FC Emmen,Den Haag,3,0,FC Emmen,Den Haag,0,-1,2,3.75,3.4,-0.25,FC Emmen,-1,1.86,2.04,,
P1,27/9/2019,Boavista,Tondela,0,0,Draw,Boavista,0,-1,2.05,3.25,3.75,-0.25,Tondela,0,1.81,2.09,,
T1,27/9/2019,Buyuksehyr,Rizespor,5,0,Buyuksehyr,Rizespor,0,-1,1.6,3.75,6,-0.75,Buyuksehyr,-1,1.75,2.05,,
E0,28/9/2019,Sheffield United,Liverpool,0,1,Liverpool,Liverpool,1,0.33,9,5.25,1.33,1.5,Sheffield United,-1,1.75,2.05,,
E0,28/9/2019,Aston Villa,Burnley,2,2,Draw,Burnley,0,-1,2.3,3.4,3.1,-0.25,Burnley,0,2.04,1.89,,
E0,28/9/2019,Bournemouth,West Ham,2,2,Draw,West Ham,0,-1,2.5,3.5,2.75,-0.25,West Ham,0,2.1,1.83,,
E0,28/9/2019,Chelsea,Brighton,2,0,Chelsea,Chelsea,1,0.4,1.4,4.75,8,-1.25,Chelsea,0.515,2.03,1.9,,
E0,28/9/2019,Crystal Palace,Norwich,2,0,Crystal Palace,Crystal Palace,1,0.9,1.9,3.75,3.75,-0.5,Crystal Palace,0.9,1.9,2.03,,
E0,28/9/2019,Tottenham,Southampton,2,1,Tottenham,Tottenham,1,0.4,1.4,4.75,8,-1.25,Southampton,-0.5,1.8,2.14,,
E0,28/9/2019,Wolves,Watford,2,0,Wolves,Wolves,1,0.85,1.85,3.4,4.5,-0.5,Wolves,0.95,1.95,1.98,,
E0,28/9/2019,Everton,Man City,1,3,Man City,Man City,1,0.3,10,5.5,1.3,1.5,Man City,1.07,1.72,2.07,,
E1,28/9/2019,QPR,West Brom,0,2,West Brom,West Brom,1,1.7,2.6,3.4,2.7,0,West Brom,0.95,1.95,1.95,,
E1,28/9/2019,Blackburn,Luton,1,2,Luton,Blackburn,0,-1,1.8,3.75,4.33,-1,Luton,-1,2.06,1.84,,
E1,28/9/2019,Charlton,Leeds,1,0,Charlton,Leeds,0,-1,6.5,4.75,1.45,1,Charlton,-1,2,1.9,,
E1,28/9/2019,Derby,Birmingham,3,2,Derby,Birmingham,0,-1,2.2,3.3,3.4,-0.25,Derby,-0.5,2.03,1.87,,
E1,28/9/2019,Huddersfield,Millwall,1,1,Draw,Millwall,0,-1,2.5,3.2,3,0,Draw,0,1.97,1.93,,
E1,28/9/2019,Hull,Cardiff,2,2,Draw,Hull,0,-1,2.5,3.25,2.9,-0.25,Cardiff,0,2.11,1.79,,
E1,28/9/2019,Middlesbrough,Sheffield Weds,1,4,Sheffield Weds,Sheffield Weds,1,2.25,2.4,3.1,3.25,0,Sheffield Weds,1,1.9,2,,
E1,28/9/2019,Preston,Bristol City,3,3,Draw,Preston,0,-1,2.05,3.5,3.6,-0.5,Bristol City,0,1.9,2,,
E1,28/9/2019,Swansea,Reading,1,1,Draw,Swansea,0,-1,1.85,3.5,4.33,-0.5,Reading,0,1.93,1.97,,
E2,28/9/2019,Bristol Rvs,Rotherham,1,0,Bristol Rvs,Bristol Rvs,1,1.8,2.8,3.5,2.6,0,Bristol Rvs,1.1,2.1,1.77,,
E2,28/9/2019,Coventry,Doncaster,1,1,Draw,Doncaster,0,-1,2.25,3.4,3.5,-0.25,Doncaster,0,1.93,1.93,,
E2,28/9/2019,Ipswich,Tranmere,4,1,Ipswich,Ipswich,1,0.61,1.61,4.2,6,-1,Ipswich,1.07,2.07,1.72,,
E2,28/9/2019,Oxford,Gillingham,3,0,Oxford,Gillingham,0,-1,1.9,3.75,4.2,-0.75,Oxford,-1,1.98,1.88,,
E2,28/9/2019,Peterboro,AFC Wimbledon,3,2,Peterboro,Peterboro,1,0.53,1.53,4.5,6.5,-1,Draw,0,1.8,2.05,,
E2,28/9/2019,Portsmouth,Bolton,1,0,Portsmouth,Portsmouth,1,0.28,1.28,5.5,10,-1.75,Bolton,-0.5,1,1,,
E2,28/9/2019,Rochdale,Wycombe,0,3,Wycombe,Wycombe,1,1.45,3,3.5,2.45,0.25,Wycombe,1.05,1.8,2.05,,
E2,28/9/2019,Shrewsbury,Fleetwood Town,0,3,Fleetwood Town,Fleetwood Town,1,1.45,3,3.5,2.45,0.25,Fleetwood Town,1.05,1.75,2.05,,
E2,28/9/2019,Southend,Accrington,0,1,Accrington,Accrington,1,1.4,3,3.6,2.4,0.25,Accrington,0.49,1.88,1.98,,
E2,28/9/2019,Sunderland,Milton Keynes Dons,2,1,Sunderland,Sunderland,1,0.66,1.66,3.8,6,-0.75,Sunderland,0.375,1.75,2.05,,
E3,28/9/2019,Carlisle,Oldham,1,0,Carlisle,Oldham,0,-1,2.4,3.4,3.2,0,Carlisle,-1,1.88,1.98,,
E3,28/9/2019,Cheltenham,Crewe,1,1,Draw,Cheltenham,0,-1,3.1,3.5,2.37,0.25,Cheltenham,0,1.85,2,,
E3,28/9/2019,Crawley Town,Walsall,2,3,Walsall,Crawley Town,0,-1,2.4,3.5,3.1,-0.25,Walsall,-1,2.1,1.77,,
E3,28/9/2019,Exeter,Grimsby,1,3,Grimsby,Exeter,0,-1,1.85,3.75,4.5,-0.75,Grimsby,-1,1.9,1.95,,
E3,28/9/2019,Leyton Orient,Port Vale,3,3,Draw,Port Vale,0,-1,2.8,3.5,2.62,0,Draw,0,1.95,1.9,,
E3,28/9/2019,Macclesfield,Colchester,1,1,Draw,Colchester,0,-1,3.25,3.5,2.3,0.25,Macclesfield,0,1.85,2,,
E3,28/9/2019,Mansfield,Plymouth,0,1,Plymouth,Plymouth,1,2.2,2.3,3.6,3.2,-0.25,Plymouth,0.83,2.02,1.83,,
E3,28/9/2019,Morecambe,Northampton,2,2,Draw,Northampton,0,-1,3.4,3.6,2.2,0.25,Morecambe,0,2,1.85,,
E3,28/9/2019,Salford,Forest Green,0,4,Forest Green,Forest Green,1,2.4,2.2,3.6,3.4,-0.25,Forest Green,1,1.85,2,,
E3,28/9/2019,Scunthorpe,Bradford,1,1,Draw,Bradford,0,-1,2.75,3.4,2.7,0,Draw,0,1.98,1.88,,
E3,28/9/2019,Stevenage,Cambridge,1,1,Draw,Cambridge,0,-1,2.6,3.5,2.8,-0.25,Cambridge,0,2.02,1.83,,
E3,28/9/2019,Swindon,Newport County,0,2,Newport County,Swindon,0,-1,1.9,3.75,4.33,-0.5,Newport County,-1,1.9,1.95,,
EC,28/9/2019,Barnet,Solihull,0,0,Draw,Solihull,0,-1,2.6,3.4,2.6,0.25,Barnet,0,1.92,1.87,,
EC,28/9/2019,Barrow,Maidenhead,2,0,Barrow,Barrow,1,1.3,2.3,3.4,2.9,-0.75,Barrow,0.87,1.87,1.92,,
EC,28/9/2019,Chesterfield,Aldershot,2,1,Chesterfield,Aldershot,0,-1,1.75,3.6,4.6,-0.5,Chesterfield,-1,1.85,1.95,,
EC,28/9/2019,Dag and Red,Chorley,0,0,Draw,Dag and Red,0,-1,1.65,3.5,5.75,-0.75,Chorley,0,1.98,1.83,,
EC,28/9/2019,Eastleigh,Hartlepool,1,1,Draw,Eastleigh,0,-1,2.3,3.5,3,-0.25,Hartlepool,0,2,1.8,,
EC,28/9/2019,Harrogate,Sutton,2,0,Harrogate,Draw,0,-1,2.1,3.4,3.4,-0.5,Harrogate,-1,1.93,1.88,,
EC,28/9/2019,Notts County,Fylde,2,0,Notts County,Notts County,1,1.05,2.05,3.4,3.5,-0.25,Notts County,0.83,1.83,1.98,,
EC,28/9/2019,Stockport,Torquay,0,4,Torquay,Torquay,1,1.62,2.55,3.4,2.62,0,Torquay,0.97,1.82,1.97,,
EC,28/9/2019,Woking,Boreham Wood,1,2,Boreham Wood,Woking,0,-1,2.05,3.6,3.4,-0.25,Boreham Wood,-1,2.08,1.73,,
EC,28/9/2019,Wrexham,Ebbsfleet,1,0,Wrexham,Ebbsfleet,0,-1,1.75,3.5,4.75,-0.75,Wrexham,-0.5,2.02,1.77,,
EC,28/9/2019,Yeovil,Bromley,3,1,Yeovil,Yeovil,1,1.6,2.6,3.3,2.7,-0.25,Yeovil,1.07,2.07,1.72,,
EC,28/9/2019,Dover Athletic,Halifax,0,2,Halifax,Dover Athletic,0,-1,1.95,3.5,3.75,-0.25,Halifax,-1,1.7,2.1,,
SC0,28/9/2019,Hibernian,Celtic,1,1,Draw,Celtic,0,-1,9,5,1.33,1.5,Hibernian,0,2.02,1.83,,
SC0,28/9/2019,Hamilton,Livingston,2,1,Hamilton,Livingston,0,-1,3.5,3.6,2,0.25,Hamilton,-1,1.85,2,,
SC0,28/9/2019,Kilmarnock,Ross County,0,0,Draw,Ross County,0,-1,1.8,3.6,4.33,-0.5,Ross County,0,1.9,1.95,,
SC0,28/9/2019,Rangers,Aberdeen,5,0,Rangers,Rangers,1,0.3,1.3,5.25,9.5,-1.5,Rangers,1.02,2.02,1.83,,
SC0,28/9/2019,St Johnstone,Motherwell,0,1,Motherwell,Motherwell,1,1.37,2.8,3.4,2.37,0,Motherwell,0.8,2.05,1.8,,
SC0,28/9/2019,St Mirren,Hearts,0,0,Draw,Hearts,0,-1,3.5,3.5,2.05,0,Draw,0,2,1.85,,
SC1,28/9/2019,Arbroath,Ayr,0,3,Ayr,Ayr,1,1.25,3,3.5,2.25,0.25,Ayr,0.95,1.9,1.95,,
SC1,28/9/2019,Dundee United,Morton,6,0,Dundee United,Dundee United,1,0.5,1.5,4.33,6,-1.25,Dundee United,1.02,2.02,1.77,,
SC1,28/9/2019,Dunfermline,Alloa,1,1,Draw,Dunfermline,0,-1,1.72,3.6,4.75,-1,Alloa,0,1.95,1.85,,
SC1,28/9/2019,Inverness C,Partick,1,3,Partick,Inverness C,0,-1,1.66,3.6,5.25,-0.75,Partick,-1,1.85,2,,
SC2,28/9/2019,Airdrie Utd,Stranraer,2,2,Draw,Airdrie Utd,0,-1,1.8,3.75,4.2,-1,Stranraer,0,2.02,1.77,,
SC2,28/9/2019,Dumbarton,Clyde,1,2,Clyde,Clyde,1,1.9,2.4,3.25,2.9,0,Clyde,0.88,1.98,1.88,,
SC2,28/9/2019,Falkirk,East Fife,0,0,Draw,Falkirk,0,-1,1.55,4.2,5.5,-0.75,East Fife,0,1.85,2,,
