Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
F1,25/1/2020,Montpellier,Dijon,2,1,Montpellier,Montpellier,1,0.61,1.61,3.8,5.5,-0.75,-0.75,Montpellier,0.42,1.84,2.09,0.532197228,-0.75
F1,25/1/2020,Reims,Metz,0,1,Metz,Draw,0,-1,1.9,3.2,4.75,-0.5,-0.5,Metz,0,1.99,1.94,0.345403564,0.5
F1,25/1/2020,St Etienne,Nimes,2,1,St Etienne,St Etienne,1,0.75,1.75,3.75,4.75,-0.75,-0.75,St Etienne,0.485,1.97,1.96,0.468990993,-0.75
F2,25/1/2020,Lens,Clermont,1,1,Draw,Lens,0,-1,1.95,3.1,4.33,-0.5,-0.5,Clermont,-1,1.83,2.02,0.510141613,-0.5
B1,25/1/2020,Mouscron,St Truiden,1,3,St Truiden,Mouscron,0,-1,1.9,3.6,3.75,-0.5,-0.5,St Truiden,-1,2.05,1.8,0.430758184,-0.5
B1,25/1/2020,Waasland-Beveren,Eupen,0,1,Eupen,Eupen,1,1.75,2.5,3.3,2.75,0,0,Eupen,1.1,1.77,2.1,0.377893319,0
B1,25/1/2020,Gent,Genk,4,1,Gent,Gent,1,0.83,1.83,3.75,4,-0.75,-0.5,Gent,1.02,2.02,1.77,0.630750189,-0.75
N1,25/1/2020,Heerenveen,AZ Alkmaar,1,2,AZ Alkmaar,AZ Alkmaar,1,0.72,4.75,3.8,1.72,0.5,0.75,AZ Alkmaar,0.97,1.93,1.97,0.628364116,-0.5
N1,25/1/2020,Heracles,Feyenoord,2,3,Feyenoord,Feyenoord,1,1,3.5,3.75,2,0.75,0.5,Feyenoord,0.455,1.99,1.91,0.565902727,-0.75
N1,25/1/2020,Waalwijk,VVV Venlo,1,2,VVV Venlo,Waalwijk,0,-1,1.95,3.5,3.75,-0.5,-0.5,VVV Venlo,-1,2.01,1.89,0.423599036,-0.5
N1,25/1/2020,Sparta Rotterdam,For Sittard,1,1,Draw,Sparta Rotterdam,0,-1,1.5,4.33,6,-1,-1,For Sittard,-1,2.05,1.75,0.586659772,-1
T1,25/1/2020,Kayserispor,Ankaragucu,1,1,Draw,Ankaragucu,0,-1,2.75,3.6,2.37,-0.25,0,Ankaragucu,0,1,1,0.459274564,0.25
