Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
SC0,6/11/2020,St Johnstone,Kilmarnock,1,0,St Johnstone,Kilmarnock,0,-1,2.0,3.2,4.0,-0.5,-0.5,St Johnstone,-1,2.02,1.83,0.3793316472433383,0.5
SC0,6/11/2020,St Mirren,Dundee United,0,0,Draw,St Mirren,0,-1,2.7,3.3,2.55,-0.25,0.0,Dundee United,-0.5,2.05,1.8,0.3921478020000662,-0.25
SC1,6/11/2020,Alloa,Dundee,3,3,Draw,Alloa,0,-1,3.8,3.5,1.9,0.5,0.5,Alloa,0.95,1.95,1.9,0.388008087717133,0.5
D1,6/11/2020,Werder Bremen,FC Koln,1,1,Draw,Werder Bremen,0,-1,2.37,3.6,2.87,0.0,-0.25,Draw,0,2.01,1.89,0.47227141077966034,0.0
D2,6/11/2020,Heidenheim,Wurzburger Kickers,4,1,Heidenheim,Heidenheim,1,0.6499999999999999,1.65,3.8,5.25,-0.75,-0.75,Heidenheim,0.8999999999999999,1.9,1.95,0.49530793239171966,-0.75
D2,6/11/2020,Sandhausen,Braunschweig,2,2,Draw,Sandhausen,0,-1,2.0,3.4,3.8,-0.5,-0.5,Braunschweig,-1,1.98,1.88,0.4471930368492218,-0.5
SP1,6/11/2020,Elche,Celta,1,1,Draw,Elche,0,-1,4.0,3.3,1.95,0.75,0.5,Elche,0.42000000000000004,1.84,2.06,0.49513476568480563,0.75
SP2,6/11/2020,Albacete,Leganes,0,0,Draw,Albacete,0,-1,4.0,2.9,2.1,0.25,0.25,Albacete,0.51,2.02,1.83,0.3573674123145443,0.25
I1,6/11/2020,Sassuolo,Udinese,0,0,Draw,Sassuolo,0,-1,2.15,3.8,3.1,-0.25,-0.25,Udinese,-0.5,2.09,1.81,0.5643396454785847,-0.25
I2,6/11/2020,Spal,Salernitana,2,0,Spal,Spal,1,1.0,2.0,3.1,4.2,-0.25,-0.5,Spal,0.8,1.8,2.05,0.36366989451826254,-0.25
F1,6/11/2020,Strasbourg,Marseille,0,1,Marseille,Marseille,1,1.4500000000000002,2.87,3.3,2.45,0.0,0.25,Marseille,1.1,1.7,2.1,0.38893187001080626,-0.0
B1,6/11/2020,Mechelen,Charleroi,3,3,Draw,Charleroi,0,-1,3.0,3.4,2.3,0.25,0.25,Mechelen,-0.5,1.9,1.95,0.45218987203674316,-0.25
N1,6/11/2020,For Sittard,Zwolle,2,2,Draw,For Sittard,0,-1,2.8,3.6,2.37,0.0,0.0,Draw,0,2.04,1.86,0.4005451408688478,0.0
P1,6/11/2020,Belenenses,Rio Ave,0,0,Draw,Belenenses,0,-1,3.5,3.2,2.15,0.25,0.25,Belenenses,0.48,1.96,1.94,0.3692205379947501,0.25
T1,6/11/2020,Gaziantep,Besiktas,3,1,Gaziantep,Gaziantep,1,2.8,3.8,3.6,1.9,0.5,0.5,Gaziantep,1.02,2.02,1.83,0.4285089210297482,0.5
E0,7/11/2020,Everton,Man United,1,3,Man United,Everton,0,-1,2.9,3.5,2.37,0.25,0.25,Man United,-1,2.0,1.93,0.4685702413777563,0.25
