Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
E2,2/10/2021,Wycombe,Morecambe,4,3,Wycombe,Morecambe,0,-1,1.61,4.0,5.5,-1.0,Draw,0,2.05,1.75,0.37192517039315715,1.0
E3,2/10/2021,Bradford,Rochdale,2,0,Bradford,Rochdale,0,-1,2.15,3.5,3.3,-0.25,Bradford,-1,2.0,1.85,0.3614713108716006,0.25
E3,2/10/2021,Bristol Rvs,Swindon,1,3,Swindon,Swindon,1,2.1,2.37,3.3,3.1,0.0,Swindon,0.8500000000000001,2.0,1.85,0.4338582446930304,-0.0
E3,2/10/2021,Carlisle,Forest Green,0,2,Forest Green,Forest Green,1,1.1,3.6,3.4,2.1,0.25,Forest Green,0.75,2.13,1.75,0.7016201323187065,-0.25
E3,2/10/2021,Colchester,Salford,0,2,Salford,Colchester,0,-1,3.1,3.4,2.3,0.25,Salford,-1,1.73,2.08,0.3412362396202605,0.25
E3,2/10/2021,Exeter,Walsall,2,2,Draw,Exeter,0,-1,1.75,3.5,5.0,-0.75,Walsall,-0.5,1.98,1.88,0.5875578320728615,-0.75
E3,2/10/2021,Mansfield,Barrow,0,1,Barrow,Barrow,1,2.3,2.25,3.3,3.3,-0.25,Barrow,0.8,2.05,1.8,0.42507086164329205,0.25
E3,2/10/2021,Newport County,Scunthorpe,3,0,Newport County,Newport County,1,0.7,1.7,3.6,5.25,-0.75,Newport County,0.95,1.95,1.9,0.48735855499250785,-0.75
E3,2/10/2021,Northampton,Sutton,0,2,Sutton,Sutton,1,2.4,2.2,3.3,3.4,0.0,Sutton,0.95,1.9,1.95,0.3664038750554556,-0.0
E3,2/10/2021,Oldham,Harrogate,1,2,Harrogate,Harrogate,1,1.15,3.25,3.5,2.15,0.25,Harrogate,0.475,1.9,1.95,0.516302226981271,-0.25
E3,2/10/2021,Port Vale,Leyton Orient,3,2,Port Vale,Draw,0,-1,2.3,3.1,3.4,-0.25,Port Vale,0,1.93,1.93,0.28103992880335804,0.25
E3,2/10/2021,Stevenage,Hartlepool,2,0,Stevenage,Hartlepool,0,-1,2.25,3.2,3.4,-0.25,Stevenage,-1,1.93,1.93,0.4082231239728157,0.25
E3,2/10/2021,Tranmere,Crawley Town,2,1,Tranmere,Draw,0,-1,2.25,3.25,3.3,-0.25,Tranmere,0,1.9,1.95,0.23060345609581728,0.25
EC,2/10/2021,Barnet,Halifax,0,0,Draw,Halifax,0,-1,3.6,3.5,2.0,0.25,Barnet,-0.5,1.93,1.88,0.686729352495941,-0.25
EC,2/10/2021,Dag and Red,Altrincham,2,3,Altrincham,Dag and Red,0,-1,1.55,4.0,6.0,-1.0,Altrincham,-1,1.77,2.02,0.47634274050359143,-1.0
EC,2/10/2021,Grimsby,Dover Athletic,6,0,Grimsby,Grimsby,1,0.3999999999999999,1.4,4.33,7.5,-1.25,Grimsby,0.95,1.95,1.85,0.49163993223359337,-1.25
EC,2/10/2021,Maidenhead,King?™s Lynn,2,3,King?™s Lynn,Maidenhead,0,-1,2.05,3.4,3.5,-0.25,King?™s Lynn,-1,2.0,1.8,0.47820993810327195,-0.25
EC,2/10/2021,Notts County,Woking,1,4,Woking,Woking,1,3.0,1.9,3.5,4.0,-0.5,Woking,0.8300000000000001,1.98,1.83,0.4272414520080162,0.5
EC,2/10/2021,Solihull,Southend,2,0,Solihull,Solihull,1,1.0,2.0,3.5,3.6,-0.25,Solihull,0.8799999999999999,1.88,1.93,0.5041913730603317,-0.25
EC,2/10/2021,Torquay,Wealdstone,5,0,Torquay,Wealdstone,0,-1,1.7,4.0,4.33,-1.0,Torquay,-1,1.83,1.98,0.446071455881367,1.0
EC,2/10/2021,Weymouth,Stockport,1,2,Stockport,Stockport,1,0.5700000000000001,5.5,4.0,1.57,0.75,Stockport,0.43999999999999995,1.93,1.88,0.45167378163880545,-0.75
EC,2/10/2021,Eastleigh,Boreham Wood,1,1,Draw,Boreham Wood,0,-1,2.9,3.4,2.3,0.25,Eastleigh,-0.5,1.98,1.83,0.5268539998034385,-0.25
SC0,2/10/2021,Dundee United,Ross County,1,0,Dundee United,Dundee United,1,1.1,2.1,3.2,3.75,-0.5,Dundee United,1.0499999999999998,2.05,1.8,0.43853679373871846,-0.5
SC0,2/10/2021,Hearts,Motherwell,2,0,Hearts,Hearts,1,0.5700000000000001,1.57,3.8,6.0,-1.0,Hearts,0.8799999999999999,1.88,1.98,0.41973023885838356,-1.0
SC0,2/10/2021,Livingston,St Mirren,0,1,St Mirren,St Mirren,1,2.2,2.45,3.0,3.2,0.0,St Mirren,0.8500000000000001,2.0,1.85,0.47058669060392505,-0.0
SC0,2/10/2021,St Johnstone,Dundee,3,1,St Johnstone,Draw,0,-1,2.0,3.1,4.33,-0.5,St Johnstone,0,2.02,1.83,0.18496526332244223,0.5
SC1,2/10/2021,Hamilton,Inverness C,2,1,Hamilton,Inverness C,0,-1,3.4,3.3,1.95,0.25,Hamilton,-1,1.85,2.0,0.6560001978373179,-0.25
SC1,2/10/2021,Kilmarnock,Raith Rvs,1,3,Raith Rvs,Kilmarnock,0,-1,1.7,3.3,4.5,-0.5,Raith Rvs,-1,1.88,1.98,0.5456371593501548,-0.5
SC1,2/10/2021,Morton,Arbroath,2,2,Draw,Arbroath,0,-1,3.25,3.25,2.0,0.25,Morton,-0.5,1.68,2.15,0.7035965177515178,-0.25
SC1,2/10/2021,Partick,Ayr,4,0,Partick,Partick,1,0.8500000000000001,1.85,3.2,3.8,-0.5,Partick,0.9299999999999999,1.93,1.93,0.44165345042068005,-0.5
SC1,2/10/2021,Queen of Sth,Dunfermline,1,0,Queen of Sth,Queen of Sth,1,1.2999999999999998,2.3,3.2,2.75,0.0,Queen of Sth,0.73,1.73,2.08,0.46830210270148653,0.0
SC2,2/10/2021,Airdrie Utd,Clyde,2,1,Airdrie Utd,Airdrie Utd,1,0.8,1.8,3.5,3.8,-0.5,Airdrie Utd,0.8999999999999999,1.9,1.95,0.46464900762504346,-0.5
SC2,2/10/2021,Alloa,Cove Rangers,1,3,Cove Rangers,Alloa,0,-1,3.2,3.6,1.9,0.25,Cove Rangers,-1,2.0,1.85,0.3683153222074794,0.25
SC2,2/10/2021,Falkirk,East Fife,2,1,Falkirk,Falkirk,1,0.43999999999999995,1.44,4.2,5.75,-1.25,East Fife,-0.5,1.9,1.95,0.6733264232945294,-1.25
SC2,2/10/2021,Peterhead,Dumbarton,5,0,Peterhead,Dumbarton,0,-1,2.1,3.5,2.9,-0.25,Peterhead,-1,2.02,1.83,0.6760313664916527,0.25
SC3,2/10/2021,Elgin,Stirling,0,2,Stirling,Stirling,1,1.15,2.87,3.4,2.15,0.25,Stirling,0.8500000000000001,2.0,1.85,0.5927588080379712,-0.25
SC3,2/10/2021,Kelty Hearts,Annan Athletic,2,1,Kelty Hearts,Kelty Hearts,1,0.44999999999999996,1.45,4.2,5.25,-1.0,Draw,0,1.93,1.93,0.5539848200085258,-1.0
SC3,2/10/2021,Stenhousemuir,Forfar,1,1,Draw,Forfar,0,-1,3.2,3.75,1.9,0.5,Stenhousemuir,-1,2.0,1.85,0.5702174723774948,-0.5
SC3,2/10/2021,Stranraer,Albion Rvs,1,0,Stranraer,Stranraer,1,0.95,1.95,3.6,3.3,-0.75,Stranraer,0.49,1.98,1.88,0.4544676027118129,-0.75
D1,2/10/2021,Dortmund,Augsburg,2,1,Dortmund,Dortmund,1,0.21999999999999997,1.22,6.5,12.0,-2.0,Augsburg,-1,2.0,1.93,0.6078679439565434,-2.0
D1,2/10/2021,Hertha,Freiburg,1,2,Freiburg,Freiburg,1,1.4,2.9,3.4,2.4,0.25,Freiburg,0.55,1.83,2.1,0.7302266451716952,-0.25
