Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
31/10/2020,Necaxa,Toluca,3,2,Necaxa,Draw,0,-1,2.29,3.33,3.0,Necaxa,Necaxa,-1
31/10/2020,Club Tijuana,Pachuca,0,2,Pachuca,Pachuca,1,1.63,2.67,3.18,2.63,Pachuca,Pachuca,1
31/10/2020,Juarez,Queretaro,1,0,Juarez,Juarez,1,1.54,2.54,3.24,2.72,Juarez,Juarez,1
31/10/2020,Atlas,Puebla,0,1,Puebla,Atlas,0,-1,2.22,3.33,3.14,Atlas,Draw,0
1/11/2020,U.N.A.M.- Pumas,Guadalajara Chivas,2,2,Draw,U.N.A.M.- Pumas,0,-1,2.29,3.26,3.05,U.N.A.M.- Pumas,U.N.A.M.- Pumas,1
1/11/2020,Monterrey,Cruz Azul,1,0,Monterrey,Cruz Azul,0,-1,2.52,3.42,2.62,Monterrey,Monterrey,0
1/11/2020,Club America,U.A.N.L.- Tigres,3,1,Club America,U.A.N.L.- Tigres,0,-1,2.65,3.43,2.5,U.A.N.L.- Tigres,Club America,0
3/11/2020,Club Leon,Santos Laguna,2,1,Club Leon,Club Leon,1,0.8999999999999999,1.9,3.72,3.6,Club Leon,Club Leon,1
7/11/2020,Puebla,Atl. San Luis,1,0,Puebla,Puebla,1,0.6799999999999999,1.68,3.95,4.53,Puebla,Puebla,1
7/11/2020,Juarez,Club America,1,1,Draw,Club America,0,-1,3.08,3.5,2.18,Club America,Club America,1
7/11/2020,Guadalajara Chivas,Monterrey,3,1,Guadalajara Chivas,Monterrey,0,-1,2.84,3.32,2.41,Monterrey,Guadalajara Chivas,0
7/11/2020,Pachuca,Necaxa,0,1,Necaxa,Pachuca,0,-1,2.9,3.16,2.43,Necaxa,Necaxa,0
8/11/2020,U.A.N.L.- Tigres,Atlas,1,1,Draw,U.A.N.L.- Tigres,0,-1,1.47,4.17,6.74,U.A.N.L.- Tigres,U.A.N.L.- Tigres,1
8/11/2020,Cruz Azul,U.N.A.M.- Pumas,1,2,U.N.A.M.- Pumas,U.N.A.M.- Pumas,1,3.45,1.72,3.8,4.45,Cruz Azul,Draw,0
8/11/2020,Toluca,Club Leon,2,2,Draw,Club Leon,0,-1,3.46,3.74,1.95,Club Leon,Club Leon,1
9/11/2020,Santos Laguna,Mazatlan FC,4,0,Santos Laguna,Mazatlan FC,0,-1,1.56,4.21,5.26,Santos Laguna,Santos Laguna,0
9/11/2020,Queretaro,Club Tijuana,2,2,Draw,Queretaro,0,-1,1.99,3.57,3.5,Queretaro,Queretaro,1
22/11/2020,Santos Laguna,Pachuca,0,3,Pachuca,Santos Laguna,0,-1,2.17,3.19,3.35,Santos Laguna,Pachuca,0
22/11/2020,Guadalajara Chivas,Necaxa,1,0,Guadalajara Chivas,Necaxa,0,-1,2.33,3.08,3.14,Guadalajara Chivas,Guadalajara Chivas,0
23/11/2020,U.A.N.L.- Tigres,Toluca,2,1,U.A.N.L.- Tigres,U.A.N.L.- Tigres,1,0.55,1.55,4.17,5.27,U.A.N.L.- Tigres,U.A.N.L.- Tigres,1
23/11/2020,Monterrey,Puebla,2,2,Draw,Monterrey,0,-1,1.51,4.26,5.65,Monterrey,Monterrey,1
26/11/2020,Puebla,Club Leon,2,1,Puebla,Club Leon,0,-1,4.55,3.75,1.71,Club Leon,Draw,0
26/11/2020,Guadalajara Chivas,Club America,1,0,Guadalajara Chivas,Club America,0,-1,2.44,3.07,2.95,Guadalajara Chivas,Guadalajara Chivas,0
27/11/2020,U.A.N.L.- Tigres,Cruz Azul,1,3,Cruz Azul,U.A.N.L.- Tigres,0,-1,2.4,3.19,2.92,U.A.N.L.- Tigres,Cruz Azul,0
27/11/2020,Pachuca,U.N.A.M.- Pumas,0,1,U.N.A.M.- Pumas,Pachuca,0,-1,1.89,3.35,4.1,Pachuca,Draw,0
29/11/2020,Club Leon,Puebla,2,0,Club Leon,Club Leon,1,0.32000000000000006,1.32,5.1,8.55,Club Leon,Club Leon,1
29/11/2020,Club America,Guadalajara Chivas,1,2,Guadalajara Chivas,Guadalajara Chivas,1,3.04,1.9,3.35,4.04,Club America,Draw,0
29/11/2020,U.N.A.M.- Pumas,Pachuca,0,0,Draw,U.N.A.M.- Pumas,0,-1,3.63,3.46,1.97,Pachuca,Pachuca,0
30/11/2020,Cruz Azul,U.A.N.L.- Tigres,0,1,U.A.N.L.- Tigres,Cruz Azul,0,-1,2.32,3.51,2.81,Cruz Azul,Draw,0
3/12/2020,Guadalajara Chivas,Club Leon,1,1,Draw,Guadalajara Chivas,0,-1,3.07,3.27,2.28,Club Leon,Club Leon,0
4/12/2020,Cruz Azul,U.N.A.M.- Pumas,4,0,Cruz Azul,U.N.A.M.- Pumas,0,-1,1.67,3.78,4.78,Cruz Azul,Cruz Azul,0
6/12/2020,Club Leon,Guadalajara Chivas,1,0,Club Leon,Guadalajara Chivas,0,-1,1.71,3.69,4.61,Club Leon,Club Leon,0
7/12/2020,U.N.A.M.- Pumas,Cruz Azul,4,0,U.N.A.M.- Pumas,Cruz Azul,0,-1,2.96,3.46,2.24,Cruz Azul,U.N.A.M.- Pumas,0
11/12/2020,U.N.A.M.- Pumas,Club Leon,1,1,Draw,Club Leon,0,-1,3.72,3.28,2.01,Club Leon,Club Leon,1
15/12/2020,Club Leon,U.N.A.M.- Pumas,2,0,Club Leon,Club Leon,1,0.5900000000000001,1.59,3.98,5.18,Club Leon,Club Leon,1
9/1/2021,Puebla,Guadalajara Chivas,1,1,Draw,Guadalajara Chivas,0,-1,2.87,3.03,2.54,Guadalajara Chivas,Guadalajara Chivas,1
9/1/2021,Club Tijuana,U.N.A.M.- Pumas,0,0,Draw,U.N.A.M.- Pumas,0,-1,1.98,3.42,3.62,Club Tijuana,Club Tijuana,0
9/1/2021,Mazatlan FC,Necaxa,3,2,Mazatlan FC,Necaxa,0,-1,2.04,3.31,3.59,Mazatlan FC,Mazatlan FC,0
9/1/2021,Atlas,Monterrey,0,2,Monterrey,Monterrey,1,0.97,3.55,3.55,1.97,Monterrey,Monterrey,1
10/1/2021,U.A.N.L.- Tigres,Club Leon,2,0,U.A.N.L.- Tigres,Club Leon,0,-1,1.98,3.46,3.65,U.A.N.L.- Tigres,U.A.N.L.- Tigres,0
10/1/2021,Club America,Atl. San Luis,2,1,Club America,Club America,1,0.6499999999999999,1.65,3.84,4.88,Club America,Club America,1
10/1/2021,Toluca,Queretaro,3,1,Toluca,Toluca,1,1.23,2.23,3.42,3.01,Toluca,Toluca,1
11/1/2021,Santos Laguna,Cruz Azul,1,0,Santos Laguna,Santos Laguna,1,1.5099999999999998,2.51,3.35,2.67,Santos Laguna,Santos Laguna,1
12/1/2021,Pachuca,Juarez,1,1,Draw,Draw,1,2.94,1.55,3.94,5.79,Pachuca,Pachuca,-1
16/1/2021,Necaxa,Atl. San Luis,1,0,Necaxa,Necaxa,1,0.9199999999999999,1.92,3.51,3.76,Necaxa,Necaxa,1
16/1/2021,Juarez,Club Tijuana,0,0,Draw,Juarez,0,-1,2.57,3.25,2.67,Juarez,Juarez,1
16/1/2021,Guadalajara Chivas,Toluca,1,1,Draw,Guadalajara Chivas,0,-1,1.85,3.52,4.06,Guadalajara Chivas,Guadalajara Chivas,1
17/1/2021,Cruz Azul,Puebla,0,1,Puebla,Cruz Azul,0,-1,1.7,3.62,4.88,Cruz Azul,Draw,0
17/1/2021,Monterrey,Club America,1,0,Monterrey,Monterrey,1,0.6699999999999999,1.67,3.9,4.65,Monterrey,Monterrey,1
17/1/2021,U.N.A.M.- Pumas,Mazatlan FC,3,0,U.N.A.M.- Pumas,U.N.A.M.- Pumas,1,1.1099999999999999,2.11,3.46,3.25,U.N.A.M.- Pumas,U.N.A.M.- Pumas,1
18/1/2021,Santos Laguna,U.A.N.L.- Tigres,2,0,Santos Laguna,U.A.N.L.- Tigres,0,-1,2.47,3.27,2.77,Santos Laguna,Santos Laguna,0
18/1/2021,Queretaro,Atlas,1,0,Queretaro,Atlas,0,-1,2.41,3.23,2.89,Queretaro,Queretaro,0
19/1/2021,Club Leon,Pachuca,0,0,Draw,Draw,1,2.36,2.06,3.36,3.47,Club Leon,Club Leon,-1
22/1/2021,Atl. San Luis,Guadalajara Chivas,3,1,Atl. San Luis,Guadalajara Chivas,0,-1,3.63,3.23,2.05,Guadalajara Chivas,Atl. San Luis,0
23/1/2021,Puebla,Club Tijuana,0,1,Club Tijuana,Puebla,0,-1,2.26,3.13,3.25,Puebla,Draw,0
23/1/2021,Mazatlan FC,Santos Laguna,0,0,Draw,Santos Laguna,0,-1,3.02,3.42,2.24,Santos Laguna,Santos Laguna,1
