Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
6/10/2019,Krasnodar,Spartak Moscow,2,1,Krasnodar,Krasnodar,1,0.78,1.78,3.72,4.28,Krasnodar,Krasnodar,1
18/10/2019,Akhmat Grozny,Lokomotiv Moscow,0,2,Lokomotiv Moscow,Lokomotiv Moscow,1,1.69,2.67,3.12,2.69,Akhmat Grozny,Lokomotiv Moscow,1
19/10/2019,Tambov,Ural,1,2,Ural,Ural,1,1.67,2.68,3.13,2.67,Ural,Ural,1
19/10/2019,Spartak Moscow,Rubin Kazan,0,0,Draw,Spartak Moscow,0,-1,1.6,3.9,5.4,Spartak Moscow,Spartak Moscow,1
19/10/2019,Zenit,FK Rostov,6,1,Zenit,Zenit,1,0.45999999999999996,1.46,4.3,6.72,Zenit,Zenit,1
20/10/2019,Orenburg,Krylya Sovetov,0,1,Krylya Sovetov,Krylya Sovetov,1,2.15,2.26,3.27,3.15,Orenburg,Draw,0
20/10/2019,Ufa,CSKA Moscow,1,1,Draw,CSKA Moscow,0,-1,5.03,3.39,1.75,CSKA Moscow,CSKA Moscow,1
20/10/2019,Arsenal Tula,Sochi,1,1,Draw,Sochi,0,-1,2.11,3.27,3.47,Arsenal Tula,Arsenal Tula,0
20/10/2019,Dynamo Moscow,Krasnodar,1,1,Draw,Krasnodar,0,-1,2.6,3.24,2.67,Dynamo Moscow,Dynamo Moscow,0
25/10/2019,Rubin Kazan,Ural,0,0,Draw,Ural,0,-1,2.19,3.31,3.26,Rubin Kazan,Rubin Kazan,0
26/10/2019,Tambov,Ufa,3,0,Tambov,Ufa,0,-1,2.66,2.86,2.91,Tambov,Tambov,0
26/10/2019,Akhmat Grozny,Arsenal Tula,1,1,Draw,Arsenal Tula,0,-1,2.31,3.18,3.11,Akhmat Grozny,Akhmat Grozny,0
26/10/2019,FK Rostov,Sochi,2,0,FK Rostov,FK Rostov,1,0.6000000000000001,1.6,3.81,5.64,FK Rostov,FK Rostov,1
27/10/2019,Krylya Sovetov,Zenit,0,2,Zenit,Zenit,1,0.72,4.8,3.63,1.72,Zenit,Zenit,1
27/10/2019,CSKA Moscow,Dynamo Moscow,0,1,Dynamo Moscow,CSKA Moscow,0,-1,1.87,3.44,4.18,CSKA Moscow,Draw,0
27/10/2019,Lokomotiv Moscow,Spartak Moscow,0,3,Spartak Moscow,Lokomotiv Moscow,0,-1,1.95,3.36,3.87,Lokomotiv Moscow,Spartak Moscow,0
27/10/2019,Krasnodar,Orenburg,1,1,Draw,Krasnodar,0,-1,1.56,4.08,5.52,Krasnodar,Krasnodar,1
2/11/2019,Dynamo Moscow,Akhmat Grozny,1,1,Draw,Draw,1,2.46,1.7,3.46,5.27,Dynamo Moscow,Dynamo Moscow,-1
2/11/2019,Ufa,Lokomotiv Moscow,1,1,Draw,Lokomotiv Moscow,0,-1,3.9,3.06,2.06,Lokomotiv Moscow,Lokomotiv Moscow,1
2/11/2019,Sochi,Tambov,1,2,Tambov,Tambov,1,2.96,1.97,3.24,3.96,Sochi,Draw,0
2/11/2019,Zenit,CSKA Moscow,1,1,Draw,Zenit,0,-1,1.6,3.85,5.35,Zenit,Zenit,1
3/11/2019,Krasnodar,FK Rostov,2,2,Draw,FK Rostov,0,-1,1.82,3.64,4.1,Krasnodar,Krasnodar,0
4/11/2019,Ural,Orenburg,1,2,Orenburg,Orenburg,1,1.67,2.58,3.28,2.67,Ural,Draw,0
4/11/2019,Krylya Sovetov,Rubin Kazan,0,0,Draw,Krylya Sovetov,0,-1,2.26,3.12,3.29,Krylya Sovetov,Krylya Sovetov,1
4/11/2019,Spartak Moscow,Arsenal Tula,0,1,Arsenal Tula,Spartak Moscow,0,-1,1.72,3.52,4.94,Spartak Moscow,Draw,0
8/11/2019,Akhmat Grozny,Ural,0,0,Draw,Ural,0,-1,1.86,3.41,4.24,Akhmat Grozny,Akhmat Grozny,0
9/11/2019,Rubin Kazan,Dynamo Moscow,0,1,Dynamo Moscow,Draw,0,-1,3.14,2.85,2.52,Dynamo Moscow,Dynamo Moscow,-1
9/11/2019,FK Rostov,Tambov,1,2,Tambov,FK Rostov,0,-1,1.65,3.69,5.34,FK Rostov,Draw,0
9/11/2019,Spartak Moscow,Krylya Sovetov,2,0,Spartak Moscow,Draw,0,-1,1.66,3.71,5.12,Spartak Moscow,Spartak Moscow,-1
10/11/2019,Orenburg,Ufa,0,0,Draw,Orenburg,0,-1,2.11,3.05,3.78,Orenburg,Orenburg,1
10/11/2019,Arsenal Tula,Zenit,0,1,Zenit,Zenit,1,0.54,6.09,3.98,1.54,Zenit,Zenit,1
10/11/2019,Sochi,CSKA Moscow,2,3,CSKA Moscow,CSKA Moscow,1,0.8700000000000001,4.2,3.41,1.87,CSKA Moscow,CSKA Moscow,1
10/11/2019,Lokomotiv Moscow,Krasnodar,1,1,Draw,Krasnodar,0,-1,2.43,3.28,2.87,Lokomotiv Moscow,Lokomotiv Moscow,0
22/11/2019,Tambov,Lokomotiv Moscow,2,3,Lokomotiv Moscow,Lokomotiv Moscow,1,0.94,4.18,3.22,1.94,Lokomotiv Moscow,Lokomotiv Moscow,1
23/11/2019,Orenburg,Akhmat Grozny,1,2,Akhmat Grozny,Orenburg,0,-1,2.08,3.2,3.66,Orenburg,Draw,0
