Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
I2,24/9/2019,Cosenza,Livorno,1,1,Draw,Draw,1,1.9,2.4,2.9,3.3,-0.25,Livorno,0,2.02,1.83,0.294067998,0.389650361,0.316281641
I2,24/9/2019,Crotone,Juve Stabia,2,0,Crotone,Crotone,1,0.85,1.85,3.4,4.33,-0.75,Crotone,0.8,1.8,2.05,0.455889985,0.322579099,0.221530916
I2,24/9/2019,Perugia,Frosinone,3,1,Perugia,Perugia,1,1.3,2.3,3.2,3.2,0,Perugia,0.88,1.88,1.98,0.444511204,0.304466731,0.251022065
I2,24/9/2019,Pisa,Empoli,2,3,Empoli,Pisa,0,-1,2.5,3.2,2.87,0,Empoli,-1,1.9,1.95,0.378879978,0.3298056,0.291314422
I2,24/9/2019,Pordenone,Benevento,1,1,Draw,Benevento,0,-1,3.1,3,2.45,0.25,Pordenone,0,1.8,2.05,0.211520857,0.285429197,0.503049946
I2,24/9/2019,Virtus Entella,Venezia,0,2,Venezia,Virtus Entella,0,-1,1.85,3.4,4.33,-0.25,Venezia,-1,1.77,2.02,0.477882556,0.346316678,0.175800766
F1,24/9/2019,Dijon,Marseille,0,0,Draw,Marseille,0,-1,3.6,3.5,2,0.25,Dijon,0,1.96,1.97,0.157724866,0.298416138,0.543858996
F1,24/9/2019,Monaco,Nice,3,1,Monaco,Nice,0,-1,2,3.5,3.8,-0.5,Monaco,-1,1.9,2.03,0.235881234,0.202316342,0.561802424
SP1,25/9/2019,Leganes,Ath Bilbao,1,1,Draw,Ath Bilbao,0,-1,2.87,3,2.7,0,Draw,0,2.02,1.91,0.093645598,0.280259293,0.626095109
SP1,25/9/2019,Mallorca,Ath Madrid,0,2,Ath Madrid,Ath Madrid,1,0.61,6.5,3.6,1.61,0.75,Ath Madrid,0.89,2.04,1.89,0.267298441,0.322549401,0.410152158
SP1,25/9/2019,Valencia,Getafe,3,3,Draw,Getafe,0,-1,1.9,3.3,4.5,-0.25,Getafe,0,2.03,1.9,0.309506831,0.266335434,0.424157735
SP1,25/9/2019,Real Madrid,Osasuna,2,0,Real Madrid,Real Madrid,1,0.2,1.2,7,13,-1.25,Real Madrid,0.47,1.94,1.99,0.428244754,0.324318189,0.247437057
I1,25/9/2019,Roma,Atalanta,0,2,Atalanta,Roma,0,-1,2.2,3.8,3,-0.25,Atalanta,-1,2.11,1.82,0.464765227,0.216501444,0.318733329
I1,25/9/2019,Fiorentina,Sampdoria,2,1,Fiorentina,Fiorentina,1,0.7,1.7,4,4.75,-1,Draw,0,2.05,1.88,0.480162763,0.294373851,0.225463385
I1,25/9/2019,Genoa,Bologna,0,0,Draw,Bologna,0,-1,2.37,3.5,2.87,-0.25,Bologna,0,2.13,1.81,0.298462359,0.243247919,0.458289722
I1,25/9/2019,Inter,Lazio,1,0,Inter,Inter,1,1,2,3.5,3.75,-0.5,Inter,1.06,2.06,1.87,0.462008108,0.304959928,0.233031964
I1,25/9/2019,Napoli,Cagliari,0,1,Cagliari,Napoli,0,-1,1.2,7,13,-2,Cagliari,-1,1.79,2.15,0.409249282,0.227682187,0.363068531
I1,25/9/2019,Parma,Sassuolo,1,0,Parma,Sassuolo,0,-1,2.5,3.5,2.75,0,Parma,-1,2.04,1.89,0.187201591,0.213715709,0.5990827
I1,25/9/2019,Spal,Lecce,1,3,Lecce,Spal,0,-1,1.95,3.6,4,-0.25,Lecce,-1,1.77,2.02,0.374935701,0.285387263,0.339677037
I2,25/9/2019,Trapani,Cremonese,0,0,Draw,Cremonese,0,-1,2.75,3,2.75,0,Draw,0,2.1,1.77,0.167056052,0.2648088,0.568135148
I2,25/9/2019,Salernitana,Chievo,1,1,Draw,Chievo,0,-1,2.4,3.2,3,0,Draw,0,1.77,2.1,0.320541529,0.293481417,0.385977054
F1,25/9/2019,Amiens,Bordeaux,1,3,Bordeaux,Bordeaux,1,2.2,2.5,3,3.2,0,Bordeaux,1.09,1.84,2.09,0.24590884,0.236331457,0.517759703
F1,25/9/2019,Brest,Lyon,2,2,Draw,Lyon,0,-1,4.75,3.8,1.72,0.75,Brest,0,1.92,2.01,0.240231506,0.310795897,0.448972597
F1,25/9/2019,Lille,Strasbourg,2,0,Lille,Lille,1,0.83,1.83,3.4,4.75,-0.75,Lille,1.1,2.1,1.83,0.417362748,0.301256825,0.281380427
F1,25/9/2019,Montpellier,Nimes,1,0,Montpellier,Draw,0,-1,1.9,3.4,4.33,-0.5,Montpellier,-1,2.1,1.83,0.341282129,0.356253765,0.302464107
F1,25/9/2019,Nantes,Rennes,1,0,Nantes,Rennes,0,-1,2.3,3.1,3.4,-0.25,Nantes,-0.5,2.15,1.79,0.30964004,0.339540115,0.350819845
F1,25/9/2019,St Etienne,Metz,0,1,Metz,St Etienne,0,-1,1.8,3.5,4.75,-0.5,Metz,-1,2.02,1.91,0.399828365,0.276729963,0.323441672
F1,25/9/2019,Toulouse,Angers,0,2,Angers,Angers,1,1.75,2.75,3.1,2.75,0,Angers,0.98,1.95,1.98,0.208339813,0.242347908,0.549312279
F1,25/9/2019,Paris SG,Reims,0,2,Reims,Draw,0,-1,1.14,8,19,-1.5,Reims,-1,1.96,1.97,0.435826327,0.438184818,0.125988855
N1,25/9/2019,PSV Eindhoven,Groningen,3,1,PSV Eindhoven,PSV Eindhoven,1,0.25,1.25,6,10,-1.25,PSV Eindhoven,0.445,1.89,2.01,0.560808103,0.281082427,0.158109471
N1,25/9/2019,Ajax,For Sittard,5,0,Ajax,Ajax,1,0.03,1.03,15,34,-4,Ajax,0.9,1.9,1.9,0.821512843,0.107634258,0.070852899
SP1,26/9/2019,Eibar,Sevilla,3,2,Eibar,Sevilla,0,-1,3.5,3.3,2.15,0.25,Eibar,-1,2.01,1.92,0.202314676,0.362490728,0.435194596
SP1,26/9/2019,Celta,Espanol,1,1,Draw,Celta,0,-1,1.85,3.5,4.2,-0.75,Espanol,0,2.05,1.75,0.396438625,0.336093605,0.267467771
SP1,26/9/2019,Sociedad,Alaves,3,0,Sociedad,Sociedad,1,0.6,1.6,4,5.5,-1,Sociedad,0.94,1.94,1.99,0.510473819,0.313527733,0.175998448
I1,26/9/2019,Torino,Milan,2,1,Torino,Milan,0,-1,2.3,3.25,3.1,0,Torino,-1,1.88,2.05,0.271815442,0.322987442,0.405197117
N1,26/9/2019,Feyenoord,AZ Alkmaar,0,3,AZ Alkmaar,AZ Alkmaar,1,2.2,2.15,3.5,3.2,-0.25,AZ Alkmaar,1,1.9,2,0.208168569,0.261287496,0.530543934
