Date,Home,Away,HG,AG,Res
01/05/2023,Talleres de Córdoba,Rosario Central,3,1,H
01/05/2023,Unión,Lanús,2,0,H
01/05/2023,Independiente,Belgrano,2,0,H
01/05/2023,Defensa y Justicia,Colón,2,0,H
30/04/2023,Boca Juniors,Racing Club,3,1,H
30/04/2023,Banfield,Barracas Central,0,0,D
30/04/2023,Instituto,Central Córdoba SdE,0,2,A
30/04/2023,Gimnasia La Plata,Tigre,1,1,D
30/04/2023,Vélez Sarsfield,San Lorenzo,0,0,D
29/04/2023,Atlético Tucumán,River Plate,1,1,D
29/04/2023,Huracán,Arsenal,2,1,H
29/04/2023,Newell's Old Boys,Argentinos Juniors,0,0,D
28/04/2023,Sarmiento,Godoy Cruz,1,1,D
28/04/2023,Platense,Estudiantes,1,2,A
26/04/2023,Tigre,Huracán,1,0,H
25/04/2023,Argentinos Juniors,Gimnasia La Plata,2,4,A
25/04/2023,Racing Club,Atlético Tucumán,1,3,A
25/04/2023,Barracas Central,Defensa y Justicia,0,2,A
24/04/2023,River Plate,Independiente,2,0,H
24/04/2023,Estudiantes,Talleres de Córdoba,1,0,H
24/04/2023,Instituto,Banfield,1,1,D
24/04/2023,Rosario Central,Boca Juniors,2,2,D
23/04/2023,San Lorenzo,Platense,1,0,H
23/04/2023,Belgrano,Newell's Old Boys,1,0,H
23/04/2023,Central Córdoba SdE,Godoy Cruz,0,2,A
23/04/2023,Arsenal,Unión,2,1,H
23/04/2023,Lanús,Sarmiento,2,1,H
22/04/2023,Colón,Vélez Sarsfield,2,1,H
18/04/2023,Godoy Cruz,Lanús,4,4,D
18/04/2023,Atlético Tucumán,Rosario Central,2,2,D
18/04/2023,Sarmiento,Arsenal,1,0,H
18/04/2023,Banfield,Central Córdoba SdE,1,0,H
18/04/2023,Platense,Colón,0,0,D
17/04/2023,Talleres de Córdoba,San Lorenzo,0,0,D
17/04/2023,Newell's Old Boys,River Plate,0,1,A
17/04/2023,Independiente,Racing Club,1,1,D
17/04/2023,Unión,Tigre,0,0,D
17/04/2023,Vélez Sarsfield,Barracas Central,0,0,D
16/04/2023,Huracán,Argentinos Juniors,0,0,D
16/04/2023,Gimnasia La Plata,Belgrano,0,2,A
16/04/2023,Boca Juniors,Estudiantes,0,1,A
16/04/2023,Defensa y Justicia,Instituto,1,0,H
14/4/2023,Tigre,Sarmiento,1,0,H
14/4/2023,River Plate,Gimnasia La Plata,3,0,H
14/4/2023,Colón,Talleres de Córdoba,2,2,D
14/4/2023,Arsenal,Godoy Cruz,2,3,A
13/4/2023,Estudiantes,Atlético Tucumán,0,0,D
13/4/2023,Rosario Central,Independiente,1,0,H
13/4/2023,Racing Club,Newell's Old Boys,0,1,A
13/4/2023,Belgrano,Huracán,2,0,H
13/4/2023,San Lorenzo,Boca Juniors,1,0,H
12/4/2023,Banfield,Defensa y Justicia,0,3,A
12/4/2023,Instituto,Vélez Sarsfield,1,0,H
12/4/2023,Central Córdoba SdE,Lanús,1,1,D
12/4/2023,Argentinos Juniors,Unión,5,1,H
12/4/2023,Barracas Central,Platense,1,0,H
10/4/2023,Boca Juniors,Colón,1,2,A
10/4/2023,Huracán,River Plate,0,3,A
10/4/2023,Newell's Old Boys,Rosario Central,0,0,D
10/4/2023,Godoy Cruz,Tigre,1,1,D
10/4/2023,Independiente,Estudiantes,1,2,A
9/4/2023,Atlético Tucumán,San Lorenzo,1,3,A
9/4/2023,Defensa y Justicia,Central Córdoba SdE,1,2,A
9/4/2023,Unión,Belgrano,0,3,A
9/4/2023,Gimnasia La Plata,Racing Club,3,1,H
9/4/2023,Sarmiento,Argentinos Juniors,2,0,H
8/4/2023,Talleres de Córdoba,Barracas Central,3,0,H
8/4/2023,Vélez Sarsfield,Banfield,3,3,D
8/4/2023,Lanús,Arsenal,3,0,H
8/4/2023,Platense,Instituto,1,0,H
4/4/2023,Central Córdoba SdE,Arsenal,1,0,H
4/4/2023,Belgrano,Sarmiento,0,0,D
3/4/2023,Banfield,Platense,0,2,A
3/4/2023,Colón,Atlético Tucumán,0,0,D
3/4/2023,Instituto,Talleres de Córdoba,0,3,A
2/4/2023,Tigre,Lanús,2,1,H
2/4/2023,Racing Club,Huracán,2,1,H
2/4/2023,San Lorenzo,Independiente,0,0,D
2/4/2023,Barracas Central,Boca Juniors,0,3,A
1/4/2023,River Plate,Unión,1,0,H
1/4/2023,Estudiantes,Newell's Old Boys,3,0,H
1/4/2023,Rosario Central,Gimnasia La Plata,3,1,H
31/3/2023,Argentinos Juniors,Godoy Cruz,3,0,H
31/3/2023,Defensa y Justicia,Vélez Sarsfield,0,0,D
22/3/2023,Vélez Sarsfield,Central Córdoba SdE,4,0,H
21/3/2023,Lanús,Argentinos Juniors,0,0,D
21/3/2023,Huracán,Rosario Central,0,2,A
21/3/2023,Newell's Old Boys,San Lorenzo,1,0,H
20/3/2023,Sarmiento,River Plate,0,2,A
20/3/2023,Talleres de Córdoba,Banfield,0,1,A
20/3/2023,Boca Juniors,Instituto,2,3,A
20/3/2023,Gimnasia La Plata,Estudiantes,2,1,H
19/3/2023,Godoy Cruz,Belgrano,3,1,H
19/3/2023,Atlético Tucumán,Barracas Central,1,1,D
19/3/2023,Independiente,Colón,2,2,D
19/3/2023,Platense,Defensa y Justicia,1,0,H
19/3/2023,Arsenal,Tigre,2,0,H
18/3/2023,Unión,Racing Club,1,3,A
14/3/2023,Vélez Sarsfield,Platense,1,1,D
14/3/2023,Colón,Newell's Old Boys,1,1,D
13/3/2023,Banfield,Boca Juniors,1,0,H
13/3/2023,Rosario Central,Unión,1,1,D
13/3/2023,Estudiantes,Huracán,2,1,H
13/3/2023,River Plate,Godoy Cruz,3,0,H
13/3/2023,Racing Club,Sarmiento,1,0,H
12/3/2023,Belgrano,Lanús,0,0,D
12/3/2023,Central Córdoba SdE,Tigre,2,0,H
12/3/2023,Defensa y Justicia,Talleres de Córdoba,1,1,D
12/3/2023,San Lorenzo,Gimnasia La Plata,4,0,H
11/3/2023,Instituto,Atlético Tucumán,1,1,D
11/3/2023,Argentinos Juniors,Arsenal,1,1,D
11/3/2023,Barracas Central,Independiente,1,1,D
7/3/2023,Boca Juniors,Defensa y Justicia,0,0,D
7/3/2023,Arsenal,Belgrano,0,1,A
7/3/2023,Godoy Cruz,Racing Club,2,0,H
6/3/2023,Tigre,Argentinos Juniors,0,1,A
6/3/2023,Talleres de Córdoba,Vélez Sarsfield,1,2,A
6/3/2023,Huracán,San Lorenzo,1,1,D
6/3/2023,Independiente,Instituto,2,2,D
5/3/2023,Newell's Old Boys,Barracas Central,1,0,H
5/3/2023,Atlético Tucumán,Banfield,1,0,H
5/3/2023,Lanús,River Plate,0,2,A
5/3/2023,Gimnasia La Plata,Colón,0,0,D
5/3/2023,Platense,Central Córdoba SdE,1,1,D
4/3/2023,Sarmiento,Rosario Central,4,1,H
4/3/2023,Unión,Estudiantes,2,0,H
28/2/2023,Central Córdoba SdE,Argentinos Juniors,1,0,H
28/2/2023,Racing Club,Lanús,2,1,H
28/2/2023,Barracas Central,Gimnasia La Plata,1,0,H
27/2/2023,Banfield,Independiente,0,0,D
27/2/2023,Instituto,Newell's Old Boys,3,1,H
27/2/2023,River Plate,Arsenal,1,2,A
27/2/2023,Defensa y Justicia,Atlético Tucumán,3,0,H
27/2/2023,Colón,Huracán,1,1,D
26/2/2023,Vélez Sarsfield,Boca Juniors,1,2,A
26/2/2023,Platense,Talleres de Córdoba,2,4,A
26/2/2023,Estudiantes,Sarmiento,1,1,D
26/2/2023,San Lorenzo,Unión,1,0,H
25/2/2023,Rosario Central,Godoy Cruz,1,0,H
25/2/2023,Belgrano,Tigre,0,2,A
21/2/2023,Atlético Tucumán,Vélez Sarsfield,1,1,D
21/2/2023,Sarmiento,San Lorenzo,0,1,A
20/2/2023,Independiente,Defensa y Justicia,0,2,A
20/2/2023,Talleres de Córdoba,Central Córdoba SdE,2,0,H
20/2/2023,Boca Juniors,Platense,3,1,H
20/2/2023,Unión,Colón,1,1,D
19/2/2023,Newell's Old Boys,Banfield,2,0,H
19/2/2023,Argentinos Juniors,Belgrano,3,0,H
19/2/2023,Godoy Cruz,Estudiantes,0,1,A
19/2/2023,Tigre,River Plate,0,1,A
19/2/2023,Lanús,Rosario Central,3,0,H
18/2/2023,Arsenal,Racing Club,0,3,A
18/2/2023,Huracán,Barracas Central,2,0,H
18/2/2023,Gimnasia La Plata,Instituto,2,0,H
14/2/2023,Estudiantes,Lanús,0,2,A
14/2/2023,Barracas Central,Unión,1,1,D
13/2/2023,Instituto,Huracán,0,0,D
13/2/2023,Racing Club,Tigre,2,2,D
13/2/2023,River Plate,Argentinos Juniors,2,1,H
13/2/2023,Banfield,Gimnasia La Plata,0,0,D
13/2/2023,Rosario Central,Arsenal,2,1,H
12/2/2023,Talleres de Córdoba,Boca Juniors,2,1,H
12/2/2023,Vélez Sarsfield,Independiente,0,0,D
12/2/2023,Platense,Atlético Tucumán,1,1,D
12/2/2023,Defensa y Justicia,Newell's Old Boys,1,0,H
12/2/2023,San Lorenzo,Godoy Cruz,1,0,H
11/2/2023,Colón,Sarmiento,0,2,A
11/2/2023,Central Córdoba SdE,Belgrano,0,1,A
7/2/2023,Huracán,Banfield,3,2,H
7/2/2023,Gimnasia La Plata,Defensa y Justicia,0,2,A
6/2/2023,Godoy Cruz,Colón,1,0,H
6/2/2023,Unión,Instituto,0,2,A
6/2/2023,Atlético Tucumán,Talleres de Córdoba,0,2,A
6/2/2023,Boca Juniors,Central Córdoba SdE,0,0,D
6/2/2023,Independiente,Platense,1,2,A
5/2/2023,Argentinos Juniors,Racing Club,1,0,H
5/2/2023,Lanús,San Lorenzo,2,1,H
5/2/2023,Belgrano,River Plate,2,1,H
5/2/2023,Arsenal,Estudiantes,1,1,D
5/2/2023,Sarmiento,Barracas Central,3,5,A
4/2/2023,Tigre,Rosario Central,2,2,D
4/2/2023,Newell's Old Boys,Vélez Sarsfield,1,0,H
31/1/2023,Vélez Sarsfield,Gimnasia La Plata,3,1,H
31/1/2023,Banfield,Unión,0,0,D
31/1/2023,Barracas Central,Godoy Cruz,0,1,A
30/1/2023,Boca Juniors,Atlético Tucumán,1,0,H
30/1/2023,Instituto,Sarmiento,0,0,D
30/1/2023,Colón,Lanús,1,2,A
30/1/2023,Racing Club,Belgrano,0,0,D
30/1/2023,Platense,Newell's Old Boys,2,2,D
29/1/2023,Central Córdoba SdE,River Plate,0,2,A
29/1/2023,Talleres de Córdoba,Independiente,0,1,A
29/1/2023,Estudiantes,Tigre,1,2,A
29/1/2023,San Lorenzo,Arsenal,1,0,H
28/1/2023,Defensa y Justicia,Huracán,2,4,A
28/1/2023,Rosario Central,Argentinos Juniors,1,0,H
