Date,Home,Away,HG,AG,Res
10/4/2023,Melbourne City,Wellington Phoenix,4,1,H
9/4/2023,Melbourne Victory,Perth Glory,0,0,D
8/4/2023,Macarthur,Western Sydney Wanderers,2,2,D
8/4/2023,Brisbane Roar,Newcastle Jets,3,0,H
7/4/2023,Adelaide United,Sydney,1,1,D
7/4/2023,Western United,Central Coast Mariners,0,3,A
5/4/2023,Melbourne City,Melbourne Victory,2,1,H
2/4/2023,Melbourne City,Newcastle Jets,1,1,D
1/4/2023,Perth Glory,Macarthur,2,1,H
1/4/2023,Sydney,Western United,3,3,D
1/4/2023,Central Coast Mariners,Brisbane Roar,4,1,H
1/4/2023,Wellington Phoenix,Melbourne Victory,1,2,A
31/3/2023,Western Sydney Wanderers,Adelaide United,2,3,A
19/3/2023,Macarthur,Melbourne City,1,1,D
19/3/2023,Melbourne Victory,Central Coast Mariners,2,0,H
18/3/2023,Sydney,Western Sydney Wanderers,0,4,A
18/3/2023,Brisbane Roar,Western United,1,0,H
18/3/2023,Newcastle Jets,Perth Glory,2,2,D
17/3/2023,Adelaide United,Wellington Phoenix,5,1,H
13/3/2023,Melbourne Victory,Western United,1,2,A
12/3/2023,Melbourne City,Brisbane Roar,2,1,H
12/3/2023,Wellington Phoenix,Sydney,1,0,H
11/3/2023,Newcastle Jets,Adelaide United,2,4,A
11/3/2023,Central Coast Mariners,Macarthur,4,1,H
10/3/2023,Perth Glory,Western Sydney Wanderers,1,0,H
5/3/2023,Macarthur,Brisbane Roar,3,2,H
4/3/2023,Sydney,Melbourne Victory,1,0,H
4/3/2023,Western Sydney Wanderers,Central Coast Mariners,2,0,H
4/3/2023,Western United,Perth Glory,2,1,H
4/3/2023,Wellington Phoenix,Newcastle Jets,2,1,H
3/3/2023,Adelaide United,Melbourne City,4,2,H
26/2/2023,Brisbane Roar,Perth Glory,2,1,H
26/2/2023,Melbourne Victory,Adelaide United,1,1,D
25/2/2023,Western Sydney Wanderers,Macarthur,4,0,H
25/2/2023,Melbourne City,Sydney,3,2,H
25/2/2023,Newcastle Jets,Western United,1,3,A
24/2/2023,Central Coast Mariners,Wellington Phoenix,1,1,D
19/2/2023,Adelaide United,Western Sydney Wanderers,4,4,D
18/2/2023,Perth Glory,Central Coast Mariners,2,2,D
18/2/2023,Melbourne Victory,Melbourne City,3,2,H
18/2/2023,Macarthur,Newcastle Jets,0,1,A
18/2/2023,Sydney,Brisbane Roar,1,1,D
17/2/2023,Western United,Wellington Phoenix,0,3,A
12/2/2023,Macarthur,Wellington Phoenix,2,1,H
12/2/2023,Newcastle Jets,Melbourne Victory,2,1,H
11/2/2023,Perth Glory,Melbourne City,2,4,A
11/2/2023,Western Sydney Wanderers,Sydney,0,1,A
11/2/2023,Western United,Adelaide United,2,3,A
10/2/2023,Brisbane Roar,Central Coast Mariners,1,2,A
5/2/2023,Western Sydney Wanderers,Western United,1,0,H
4/2/2023,Perth Glory,Newcastle Jets,2,2,D
4/2/2023,Adelaide United,Brisbane Roar,2,1,H
4/2/2023,Sydney,Central Coast Mariners,3,2,H
4/2/2023,Melbourne City,Macarthur,6,1,H
3/2/2023,Melbourne Victory,Wellington Phoenix,3,1,H
