Date,Home,Away,HG,AG,Res
23/7/2021,Schalke 04,Hamburg,1,3,A
23/7/2021,Standard,Genk,1,1,D
24/7/2021,Darmstadt,Regensburg,0,2,A
24/7/2021,Dresden,Ingolstadt,3,0,H
24/7/2021,Hansa Rostock,Karlsruhe,1,3,A
24/7/2021,Heidenheim,Paderborn,0,0,D
24/7/2021,Werder Bremen,Hannover,1,1,D
24/7/2021,Bastia,Nimes,1,1,D
24/7/2021,Amiens,Auxerre,1,2,A
24/7/2021,Caen,Rodez,4,0,H
24/7/2021,Dunkerque,Quevilly Rouen,1,1,D
24/7/2021,Grenoble,Paris FC,0,4,A
24/7/2021,Le Havre,Guingamp,0,0,D
24/7/2021,Pau FC,Nancy,2,1,H
24/7/2021,Toulouse,Ajaccio,2,2,D
24/7/2021,Valenciennes,Niort,0,0,D
24/7/2021,Oud-Heverlee Leuven,Waregem,1,1,D
24/7/2021,Kortrijk,Seraing,2,0,H
24/7/2021,Oostende,Charleroi,0,3,A
25/7/2021,Nurnberg,Erzgebirge Aue,0,0,D
25/7/2021,Sandhausen,Fortuna Dusseldorf,0,2,A
25/7/2021,St Pauli,Holstein Kiel,3,0,H
25/7/2021,Mechelen,Antwerp,3,2,H
25/7/2021,Club Brugge,Eupen,2,2,D
25/7/2021,Anderlecht,St. Gilloise,1,3,A
25/7/2021,St Truiden,Gent,2,1,H
26/7/2021,Dijon,Sochaux,1,3,A
27/7/2021,Beerschot VA,Cercle Brugge,0,1,A
30/7/2021,Karlsruhe,Darmstadt,3,0,H
30/7/2021,Paderborn,Nurnberg,2,2,D
30/7/2021,Genk,Oostende,3,4,A
31/7/2021,Rangers,Livingston,3,0,H
31/7/2021,Dundee,St Mirren,2,2,D
31/7/2021,Ross County,St Johnstone,0,0,D
31/7/2021,Hearts,Celtic,2,1,H
31/7/2021,Arbroath,Inverness C,0,1,A
31/7/2021,Morton,Dunfermline,2,2,D
31/7/2021,Partick,Queen of Sth,3,2,H
31/7/2021,Raith Rvs,Hamilton,4,4,D
31/7/2021,Airdrie Utd,Montrose,0,3,A
31/7/2021,Clyde,Dumbarton,0,3,A
31/7/2021,Cove Rangers,Falkirk,1,1,D
31/7/2021,East Fife,Queens Park,1,1,D
31/7/2021,Peterhead,Alloa,2,0,H
31/7/2021,Albion Rvs,Edinburgh City,2,0,H
31/7/2021,Annan Athletic,Forfar,0,2,A
31/7/2021,Elgin,Stranraer,1,1,D
31/7/2021,Kelty Hearts,Cowdenbeath,2,0,H
31/7/2021,Stenhousemuir,Stirling,0,1,A
31/7/2021,Hannover,Hansa Rostock,0,3,A
31/7/2021,Ingolstadt,Heidenheim,1,2,A
31/7/2021,Regensburg,Sandhausen,3,0,H
31/7/2021,Fortuna Dusseldorf,Werder Bremen,2,3,A
31/7/2021,Nimes,Dijon,2,1,H
31/7/2021,Ajaccio,Amiens,3,1,H
31/7/2021,Guingamp,Valenciennes,1,1,D
31/7/2021,Nancy,Toulouse,0,4,A
31/7/2021,Niort,Caen,0,1,A
31/7/2021,Paris FC,Dunkerque,2,1,H
31/7/2021,Rodez,Pau FC,1,0,H
31/7/2021,Sochaux,Le Havre,0,2,A
31/7/2021,Charleroi,St Truiden,0,0,D
31/7/2021,Cercle Brugge,Oud-Heverlee Leuven,1,1,D
31/7/2021,Seraing,Mechelen,1,0,H
31/7/2021,Eupen,Anderlecht,1,1,D
1/8/2021,Aberdeen,Dundee United,2,0,H
1/8/2021,Motherwell,Hibernian,2,3,A
1/8/2021,Erzgebirge Aue,St Pauli,0,0,D
1/8/2021,Hamburg,Dresden,1,1,D
1/8/2021,Holstein Kiel,Schalke 04,0,3,A
1/8/2021,St. Gilloise,Club Brugge,0,1,A
1/8/2021,Waregem,Standard,1,2,A
1/8/2021,Gent,Beerschot VA,2,2,D
1/8/2021,Antwerp,Kortrijk,0,1,A
2/8/2021,Kilmarnock,Ayr,2,0,H
2/8/2021,Auxerre,Grenoble,3,0,H
6/8/2021,Bournemouth,West Brom,2,2,D
6/8/2021,Monaco,Nantes,1,1,D
6/8/2021,Club Brugge,Cercle Brugge,1,1,D
6/8/2021,Sp Lisbon,Vizela,3,0,H
7/8/2021,Blackburn,Swansea,2,1,H
7/8/2021,Bristol City,Blackpool,1,1,D
7/8/2021,Cardiff,Barnsley,1,1,D
7/8/2021,Derby,Huddersfield,1,1,D
7/8/2021,Luton,Peterboro,3,0,H
7/8/2021,Preston,Hull,1,4,A
7/8/2021,QPR,Millwall,1,1,D
7/8/2021,Stoke,Reading,3,2,H
7/8/2021,Sheffield United,Birmingham,0,1,A
7/8/2021,Bolton,Milton Keynes Dons,3,3,D
7/8/2021,Cambridge,Oxford,1,1,D
7/8/2021,Crewe,Cheltenham,1,1,D
7/8/2021,Doncaster,AFC Wimbledon,1,2,A
7/8/2021,Fleetwood Town,Portsmouth,0,1,A
7/8/2021,Gillingham,Lincoln,1,1,D
7/8/2021,Ipswich,Morecambe,2,2,D
7/8/2021,Rotherham,Plymouth,2,0,H
7/8/2021,Shrewsbury,Burton,0,1,A
7/8/2021,Sunderland,Wigan,2,1,H
7/8/2021,Wycombe,Accrington,2,1,H
7/8/2021,Charlton,Sheffield Weds,0,0,D
7/8/2021,Carlisle,Colchester,0,0,D
7/8/2021,Exeter,Bradford,0,0,D
7/8/2021,Forest Green,Sutton,2,1,H
7/8/2021,Harrogate,Rochdale,3,2,H
7/8/2021,Hartlepool,Crawley Town,1,0,H
7/8/2021,Mansfield,Bristol Rvs,2,1,H
7/8/2021,Northampton,Port Vale,1,0,H
7/8/2021,Oldham,Newport County,0,1,A
7/8/2021,Salford,Leyton Orient,1,1,D
7/8/2021,Scunthorpe,Swindon,1,3,A
7/8/2021,Stevenage,Barrow,1,0,H
7/8/2021,Tranmere,Walsall,1,0,H
7/8/2021,Dundee United,Rangers,1,0,H
7/8/2021,St Mirren,Hearts,1,2,A
7/8/2021,Ayr,Arbroath,2,2,D
7/8/2021,Dunfermline,Partick,0,3,A
7/8/2021,Hamilton,Morton,0,1,A
7/8/2021,Inverness C,Raith Rvs,1,0,H
7/8/2021,Queen of Sth,Kilmarnock,0,1,A
7/8/2021,Alloa,East Fife,3,1,H
7/8/2021,Dumbarton,Airdrie Utd,2,2,D
7/8/2021,Falkirk,Peterhead,2,1,H
7/8/2021,Montrose,Clyde,2,2,D
7/8/2021,Queens Park,Cove Rangers,2,0,H
7/8/2021,Albion Rvs,Stenhousemuir,2,2,D
7/8/2021,Cowdenbeath,Elgin,3,1,H
7/8/2021,Forfar,Edinburgh City,2,0,H
7/8/2021,Stirling,Kelty Hearts,1,3,A
7/8/2021,Stranraer,Annan Athletic,0,3,A
7/8/2021,Lyon,Brest,1,1,D
7/8/2021,Troyes,Paris SG,1,2,A
7/8/2021,Caen,Sochaux,1,2,A
7/8/2021,Amiens,Quevilly Rouen,1,3,A
7/8/2021,Auxerre,Ajaccio,0,0,D
7/8/2021,Dijon,Rodez,1,1,D
7/8/2021,Dunkerque,Niort,1,2,A
7/8/2021,Grenoble,Guingamp,0,0,D
7/8/2021,Le Havre,Paris FC,1,2,A
7/8/2021,Pau FC,Toulouse,0,1,A
7/8/2021,Valenciennes,Nimes,0,3,A
7/8/2021,Beerschot VA,St. Gilloise,0,3,A
7/8/2021,Mechelen,Eupen,1,3,A
7/8/2021,St Truiden,Waregem,1,3,A
7/8/2021,Kortrijk,Genk,1,2,A
