Date,Home,Away,HG,AG,Res
30/07/2022,Walsall,Hartlepool United,4,0,H
30/07/2022,Tranmere Rovers,Stevenage,1,2,A
30/07/2022,Sutton United,Newport County,1,1,D
30/07/2022,Stockport County,Barrow,2,3,A
30/07/2022,Salford City,Mansfield Town,2,0,H
30/07/2022,Rochdale,Crewe Alexandra,1,2,A
30/07/2022,Northampton Town,Colchester United,3,2,H
30/07/2022,Leyton Orient,Grimsby Town,2,0,H
30/07/2022,Harrogate Town,Swindon Town,3,0,H
30/07/2022,Carlisle United,Crawley Town,1,0,H
30/07/2022,Bradford City,Doncaster Rovers,0,0,D
30/07/2022,AFC Wimbledon,Gillingham,2,0,H
13/08/2022,Walsall,Stevenage,1,1,D
13/08/2022,Tranmere Rovers,Gillingham,3,0,H
13/08/2022,Sutton United,Barrow,1,0,H
13/08/2022,Stockport County,Colchester United,1,0,H
13/08/2022,Salford City,Crewe Alexandra,3,0,H
13/08/2022,Rochdale,Grimsby Town,0,1,A
13/08/2022,Northampton Town,Hartlepool United,2,1,H
13/08/2022,Leyton Orient,Mansfield Town,1,0,H
13/08/2022,Harrogate Town,Crawley Town,0,0,D
13/08/2022,Carlisle United,Swindon Town,1,1,D
13/08/2022,Bradford City,Newport County,2,0,H
13/08/2022,AFC Wimbledon,Doncaster Rovers,2,2,D
20/08/2022,Swindon Town,Rochdale,3,0,H
20/08/2022,Stevenage,Carlisle United,2,1,H
20/08/2022,Newport County,Tranmere Rovers,2,1,H
20/08/2022,Mansfield Town,Stockport County,2,1,H
20/08/2022,Grimsby Town,Sutton United,0,0,D
20/08/2022,Gillingham,Walsall,0,0,D
20/08/2022,Doncaster Rovers,Salford City,2,1,H
20/08/2022,Crewe Alexandra,Northampton Town,2,2,D
20/08/2022,Crawley Town,AFC Wimbledon,0,2,A
20/08/2022,Colchester United,Leyton Orient,1,3,A
20/08/2022,Barrow,Harrogate Town,1,0,H
20/08/2022,Hartlepool United,Bradford City,1,3,A
03/09/2022,Sutton United,Harrogate Town,2,1,H
03/09/2022,Stockport County,AFC Wimbledon,1,0,H
03/09/2022,Salford City,Crawley Town,2,2,D
03/09/2022,Northampton Town,Barrow,3,1,H
03/09/2022,Newport County,Grimsby Town,0,2,A
03/09/2022,Leyton Orient,Tranmere Rovers,2,0,H
03/09/2022,Gillingham,Swindon Town,0,0,D
03/09/2022,Doncaster Rovers,Mansfield Town,1,3,A
03/09/2022,Crewe Alexandra,Stevenage,1,2,A
03/09/2022,Colchester United,Hartlepool United,1,1,D
03/09/2022,Carlisle United,Rochdale,3,3,D
03/09/2022,Bradford City,Walsall,2,1,H
14/09/2022,Walsall,Colchester United,1,1,D
14/09/2022,Tranmere Rovers,Bradford City,1,2,A
14/09/2022,Swindon Town,Sutton United,3,2,H
14/09/2022,Stevenage,Newport County,1,0,H
14/09/2022,Rochdale,Leyton Orient,0,1,A
14/09/2022,Mansfield Town,Carlisle United,0,0,D
14/09/2022,Hartlepool United,Crewe Alexandra,1,1,D
14/09/2022,Harrogate Town,Salford City,0,1,A
14/09/2022,Grimsby Town,Gillingham,1,1,D
14/09/2022,Crawley Town,Stockport County,3,2,H
14/09/2022,Barrow,Doncaster Rovers,2,0,H
14/09/2022,AFC Wimbledon,Northampton Town,0,2,A
24/09/2022,Walsall,Tranmere Rovers,0,1,A
24/09/2022,Sutton United,Salford City,1,2,A
24/09/2022,Stevenage,Harrogate Town,1,0,H
24/09/2022,Newport County,Carlisle United,1,1,D
24/09/2022,Hartlepool United,Gillingham,0,0,D
24/09/2022,Grimsby Town,Swindon Town,1,2,A
24/09/2022,Doncaster Rovers,Crawley Town,4,1,H
24/09/2022,Crewe Alexandra,Mansfield Town,1,2,A
24/09/2022,Colchester United,Rochdale,0,1,A
