Date,Home,Away,HG,AG,Res
22/04/2023,Angers,PSG,,,D
22/04/2023,Auxerre,Lille,,,D
23/04/2023,Lens,Monaco,,,D
23/04/2023,Reims,Strasbourg,,,D
23/04/2023,Ajaccio,Brest,,,D
23/04/2023,Lorient,Toulouse,,,D
23/04/2023,Nantes,Troyes,,,D
23/04/2023,Nice,Clermont,,,D
23/04/2023,Montpellier,Rennes,,,D
24/04/2023,Lyon,Marseille,,,D
15/04/2023,Toulouse,Lyon,1,2,A
15/04/2023,Rennes,Reims,3,0,H
16/04/2023,PSG,Lens,3,1,H
16/04/2023,Lille,Montpellier,2,1,H
16/04/2023,Auxerre,Nantes,2,1,H
16/04/2023,Clermont,Angers,2,1,H
16/04/2023,Strasbourg,Ajaccio,3,1,H
16/04/2023,Brest,Nice,1,0,H
16/04/2023,Monaco,Lorient,3,1,H
17/04/2023,Marseille,Troyes,3,1,H
08/04/2023,Lens,Strasbourg,2,1,H
08/04/2023,Angers,Lille,1,0,H
09/04/2023,Nice,PSG,0,2,A
09/04/2023,Lyon,Rennes,3,1,H
09/04/2023,Ajaccio,Auxerre,0,3,A
09/04/2023,Montpellier,Toulouse,1,2,A
09/04/2023,Reims,Brest,1,1,D
09/04/2023,Troyes,Clermont,0,2,A
09/04/2023,Nantes,Monaco,2,2,D
10/04/2023,Lorient,Marseille,0,0,D
01/04/2023,Marseille,Montpellier,1,1,D
01/04/2023,Auxerre,Troyes,1,0,H
02/04/2023,Rennes,Lens,0,1,A
02/04/2023,Lille,Lorient,3,1,H
02/04/2023,Angers,Nice,1,1,D
02/04/2023,Clermont,Ajaccio,2,1,H
02/04/2023,Nantes,Reims,0,3,A
02/04/2023,Brest,Toulouse,3,1,H
02/04/2023,Monaco,Strasbourg,4,3,H
03/04/2023,PSG,Lyon,0,1,A
18/03/2023,Lyon,Nantes,1,1,D
19/03/2023,Toulouse,Lille,0,2,A
19/03/2023,Lens,Angers,3,0,H
19/03/2023,Ajaccio,Monaco,0,2,A
19/03/2023,Montpellier,Clermont,2,1,H
19/03/2023,Nice,Lorient,1,1,D
19/03/2023,Strasbourg,Auxerre,2,0,H
19/03/2023,Troyes,Brest,2,2,D
20/03/2023,PSG,Rennes,0,2,A
20/03/2023,Reims,Marseille,1,2,A
11/03/2023,Lille,Lyon,3,3,D
12/03/2023,Auxerre,Rennes,0,0,D
12/03/2023,Brest,PSG,1,2,A
12/03/2023,Clermont,Lens,0,4,A
12/03/2023,Ajaccio,Montpellier,0,1,A
12/03/2023,Angers,Toulouse,0,2,A
12/03/2023,Lorient,Troyes,2,0,H
12/03/2023,Nantes,Nice,2,2,D
13/03/2023,Monaco,Reims,0,1,A
13/03/2023,Marseille,Strasbourg,2,2,D
04/03/2023,Nice,Auxerre,1,1,D
05/03/2023,Lens,Lille,1,1,D
05/03/2023,PSG,Nantes,4,2,H
05/03/2023,Troyes,Monaco,2,2,D
05/03/2023,Montpellier,Angers,5,0,H
05/03/2023,Strasbourg,Brest,0,1,A
05/03/2023,Reims,Ajaccio,1,0,H
05/03/2023,Toulouse,Clermont,0,1,A
06/03/2023,Lyon,Lorient,0,0,D
06/03/2023,Rennes,Marseille,0,1,A
25/02/2023,Lille,Brest,2,1,H
26/02/2023,Angers,Lyon,1,3,A
26/02/2023,Montpellier,Lens,1,1,D
26/02/2023,Lorient,Auxerre,0,1,A
26/02/2023,Ajaccio,Troyes,2,1,H
26/02/2023,Clermont,Strasbourg,1,1,D
26/02/2023,Nantes,Rennes,0,1,A
26/02/2023,Reims,Toulouse,3,0,H
27/02/2023,Monaco,Nice,0,3,A
27/02/2023,Marseille,PSG,0,3,A
18/02/2023,Auxerre,Lyon,2,1,H
19/02/2023,Nice,Reims,0,0,D
19/02/2023,Strasbourg,Angers,2,1,H
19/02/2023,PSG,Lille,4,3,H
19/02/2023,Lorient,Ajaccio,3,0,H
19/02/2023,Brest,Monaco,1,2,A
19/02/2023,Rennes,Clermont,2,0,H
19/02/2023,Troyes,Montpellier,0,1,A
20/02/2023,Lens,Nantes,3,1,H
20/02/2023,Toulouse,Marseille,2,3,A
11/02/2023,Nice,Ajaccio,3,0,H
12/02/2023,Monaco,PSG,3,1,H
12/02/2023,Clermont,Marseille,0,2,A
12/02/2023,Toulouse,Rennes,3,1,H
12/02/2023,Angers,Auxerre,1,1,D
12/02/2023,Lille,Strasbourg,2,0,H
12/02/2023,Montpellier,Brest,3,0,H
12/02/2023,Reims,Troyes,4,0,H
13/02/2023,Nantes,Lorient,1,0,H
13/02/2023,Lyon,Lens,2,1,H
05/02/2023,PSG,Toulouse,2,1,H
05/02/2023,Troyes,Lyon,1,3,A
05/02/2023,Rennes,Lille,1,3,A
05/02/2023,Clermont,Monaco,0,2,A
05/02/2023,Ajaccio,Nantes,0,2,A
05/02/2023,Auxerre,Reims,0,0,D
05/02/2023,Lorient,Angers,0,0,D
05/02/2023,Strasbourg,Montpellier,2,0,H
06/02/2023,Brest,Lens,1,1,D
06/02/2023,Marseille,Nice,1,3,A
02/02/2023,Angers,Ajaccio,1,2,A
02/02/2023,Nantes,Marseille,0,2,A
02/02/2023,Lille,Clermont,0,0,D
02/02/2023,Reims,Lorient,4,2,H
02/02/2023,Toulouse,Troyes,4,1,H
02/02/2023,Monaco,Auxerre,3,2,H
02/02/2023,Montpellier,PSG,1,3,A
02/02/2023,Lyon,Brest,0,0,D
02/02/2023,Lens,Nice,0,1,A
02/02/2023,Rennes,Strasbourg,3,0,H
28/01/2023,Lorient,Rennes,2,1,H
29/01/2023,Troyes,Lens,1,1,D
29/01/2023,Marseille,Monaco,1,1,D
29/01/2023,Nice,Lille,1,0,H
29/01/2023,Auxerre,Montpellier,0,2,A
29/01/2023,Clermont,Nantes,0,0,D
29/01/2023,Strasbourg,Toulouse,1,2,A
29/01/2023,Brest,Angers,4,0,H
30/01/2023,Ajaccio,Lyon,0,2,A
30/01/2023,PSG,Reims,1,1,D
15/01/2023,Lens,Auxerre,1,0,H
15/01/2023,Marseille,Lorient,3,1,H
15/01/2023,Lyon,Strasbourg,1,2,A
15/01/2023,Lille,Troyes,5,1,H
15/01/2023,Angers,Clermont,1,2,A
15/01/2023,Montpellier,Nantes,0,3,A
15/01/2023,Reims,Nice,0,0,D
15/01/2023,Toulouse,Brest,1,1,D
16/01/2023,Monaco,Ajaccio,7,1,H
16/01/2023,Rennes,PSG,1,0,H
12/01/2023,Ajaccio,Reims,0,1,A
12/01/2023,Auxerre,Toulouse,0,5,A
12/01/2023,Clermont,Rennes,2,1,H
12/01/2023,Nantes,Lyon,0,0,D
12/01/2023,Brest,Lille,0,0,D
12/01/2023,Lorient,Monaco,2,2,D
12/01/2023,Nice,Montpellier,6,1,H
12/01/2023,PSG,Angers,2,0,H
12/01/2023,Strasbourg,Lens,2,2,D
12/01/2023,Troyes,Marseille,0,2,A
01/01/2023,Monaco,Brest,1,0,H
01/01/2023,Angers,Lorient,1,2,A
01/01/2023,Nantes,Auxerre,1,0,H
01/01/2023,Toulouse,Ajaccio,2,0,H
02/01/2023,Lyon,Clermont,0,1,A
02/01/2023,Lens,PSG,3,1,H
02/01/2023,Strasbourg,Troyes,2,3,A
03/01/2023,Lille,Reims,1,1,D
03/01/2023,Montpellier,Marseille,1,2,A
03/01/2023,Rennes,Nice,2,1,H
28/12/2022,Ajaccio,Angers,1,0,H
28/12/2022,Troyes,Nantes,0,0,D
29/12/2022,Auxerre,Monaco,2,3,A
29/12/2022,Clermont,Lille,0,2,A
29/12/2022,PSG,Strasbourg,2,1,H
29/12/2022,Brest,Lyon,2,4,A
30/12/2022,Lorient,Montpellier,0,2,A
30/12/2022,Reims,Rennes,3,1,H
30/12/2022,Nice,Lens,0,0,D
30/12/2022,Marseille,Toulouse,6,1,H
12/11/2022,Lyon,Nice,1,1,D
13/11/2022,Lens,Clermont,2,1,H
13/11/2022,Rennes,Toulouse,2,1,H
13/11/2022,PSG,Auxerre,5,0,H
13/11/2022,Nantes,Ajaccio,2,2,D
13/11/2022,Lille,Angers,1,0,H
13/11/2022,Montpellier,Reims,1,1,D
13/11/2022,Brest,Troyes,2,1,H
14/11/2022,Strasbourg,Lorient,1,1,D
14/11/2022,Monaco,Marseille,2,3,A
05/11/2022,Troyes,Auxerre,1,1,D
06/11/2022,Ajaccio,Strasbourg,4,2,H
06/11/2022,Angers,Lens,1,2,A
06/11/2022,Lorient,PSG,1,2,A
06/11/2022,Clermont,Montpellier,1,1,D
06/11/2022,Nice,Brest,1,0,H
06/11/2022,Reims,Nantes,1,0,H
06/11/2022,Toulouse,Monaco,0,2,A
07/11/2022,Lille,Rennes,1,1,D
07/11/2022,Marseille,Lyon,1,0,H
29/10/2022,Lens,Toulouse,3,0,H
29/10/2022,PSG,Troyes,4,3,H
30/10/2022,Strasbourg,Marseille,2,2,D
30/10/2022,Auxerre,Ajaccio,1,0,H
30/10/2022,Monaco,Angers,2,0,H
30/10/2022,Nantes,Clermont,1,1,D
30/10/2022,Brest,Reims,0,0,D
30/10/2022,Rennes,Montpellier,3,0,H
31/10/2022,Lorient,Nice,1,2,A
31/10/2022,Lyon,Lille,1,0,H
22/10/2022,Ajaccio,PSG,0,3,A
22/10/2022,Montpellier,Lyon,1,2,A
23/10/2022,Marseille,Lens,0,1,A
23/10/2022,Angers,Rennes,1,2,A
23/10/2022,Clermont,Brest,1,3,A
23/10/2022,Reims,Auxerre,2,1,H
23/10/2022,Toulouse,Strasbourg,2,2,D
23/10/2022,Troyes,Lorient,2,2,D
23/10/2022,Nice,Nantes,1,1,D
24/10/2022,Lille,Monaco,4,3,H
15/10/2022,Strasbourg,Lille,0,3,A
15/10/2022,Lorient,Reims,0,0,D
16/10/2022,Lens,Montpellier,1,0,H
16/10/2022,Toulouse,Angers,3,2,H
16/10/2022,Auxerre,Nice,1,1,D
16/10/2022,Nantes,Brest,4,1,H
16/10/2022,Rennes,Lyon,3,2,H
16/10/2022,Troyes,Ajaccio,1,1,D
16/10/2022,Monaco,Clermont,1,1,D
17/10/2022,PSG,Marseille,1,0,H
