Date,Home,Away,HG,AG,Res
10/4/2023,Lorient,Marseille,0,0,D
9/4/2023,Nantes,Monaco,2,2,D
9/4/2023,Troyes,Clermont,0,2,A
9/4/2023,Reims,Brest,1,1,D
9/4/2023,Montpellier,Toulouse,1,2,A
9/4/2023,Ajaccio,Auxerre,0,3,A
9/4/2023,Lyon,Rennes,3,1,H
9/4/2023,Nice,PSG,0,2,A
8/4/2023,Angers,Lille,1,0,H
8/4/2023,Lens,Strasbourg,2,1,H
3/4/2023,PSG,Lyon,0,1,A
2/4/2023,Monaco,Strasbourg,4,3,H
2/4/2023,Brest,Toulouse,3,1,H
2/4/2023,Nantes,Reims,0,3,A
2/4/2023,Clermont,Ajaccio,2,1,H
2/4/2023,Angers,Nice,1,1,D
2/4/2023,Lille,Lorient,3,1,H
2/4/2023,Rennes,Lens,0,1,A
1/4/2023,Auxerre,Troyes,1,0,H
1/4/2023,Marseille,Montpellier,1,1,D
20/3/2023,Reims,Marseille,1,2,A
20/3/2023,PSG,Rennes,0,2,A
19/3/2023,Troyes,Brest,2,2,D
19/3/2023,Strasbourg,Auxerre,2,0,H
19/3/2023,Nice,Lorient,1,1,D
19/3/2023,Montpellier,Clermont,2,1,H
19/3/2023,Ajaccio,Monaco,0,2,A
19/3/2023,Lens,Angers,3,0,H
19/3/2023,Toulouse,Lille,0,2,A
18/3/2023,Lyon,Nantes,1,1,D
13/3/2023,Marseille,Strasbourg,2,2,D
13/3/2023,Monaco,Reims,0,1,A
12/3/2023,Nantes,Nice,2,2,D
12/3/2023,Lorient,Troyes,2,0,H
12/3/2023,Angers,Toulouse,0,2,A
12/3/2023,Ajaccio,Montpellier,0,1,A
12/3/2023,Clermont,Lens,0,4,A
12/3/2023,Brest,PSG,1,2,A
12/3/2023,Auxerre,Rennes,0,0,D
11/3/2023,Lille,Lyon,3,3,D
6/3/2023,Rennes,Marseille,0,1,A
6/3/2023,Lyon,Lorient,0,0,D
5/3/2023,Toulouse,Clermont,0,1,A
5/3/2023,Reims,Ajaccio,1,0,H
5/3/2023,Strasbourg,Brest,0,1,A
5/3/2023,Montpellier,Angers,5,0,H
5/3/2023,Troyes,Monaco,2,2,D
5/3/2023,PSG,Nantes,4,2,H
5/3/2023,Lens,Lille,1,1,D
4/3/2023,Nice,Auxerre,1,1,D
27/2/2023,Marseille,PSG,0,3,A
27/2/2023,Monaco,Nice,0,3,A
26/2/2023,Reims,Toulouse,3,0,H
26/2/2023,Nantes,Rennes,0,1,A
26/2/2023,Clermont,Strasbourg,1,1,D
26/2/2023,Ajaccio,Troyes,2,1,H
26/2/2023,Lorient,Auxerre,0,1,A
26/2/2023,Montpellier,Lens,1,1,D
26/2/2023,Angers,Lyon,1,3,A
25/2/2023,Lille,Brest,2,1,H
20/2/2023,Toulouse,Marseille,2,3,A
20/2/2023,Lens,Nantes,3,1,H
19/2/2023,Troyes,Montpellier,0,1,A
19/2/2023,Rennes,Clermont,2,0,H
19/2/2023,Brest,Monaco,1,2,A
19/2/2023,Lorient,Ajaccio,3,0,H
19/2/2023,PSG,Lille,4,3,H
19/2/2023,Strasbourg,Angers,2,1,H
19/2/2023,Nice,Reims,0,0,D
18/2/2023,Auxerre,Lyon,2,1,H
13/2/2023,Lyon,Lens,2,1,H
13/2/2023,Nantes,Lorient,1,0,H
12/2/2023,Reims,Troyes,4,0,H
12/2/2023,Montpellier,Brest,3,0,H
12/2/2023,Lille,Strasbourg,2,0,H
12/2/2023,Angers,Auxerre,1,1,D
12/2/2023,Toulouse,Rennes,3,1,H
12/2/2023,Clermont,Marseille,0,2,A
12/2/2023,Monaco,PSG,3,1,H
11/2/2023,Nice,Ajaccio,3,0,H
6/2/2023,Marseille,Nice,1,3,A
