Date,Home,Away,HG,AG,Res
05/05/2023,Udinese,Napoli,1,1,D
05/05/2023,Empoli,Bologna,3,1,H
04/05/2023,AC Milan,Cremonese,1,1,D
04/05/2023,Monza,Roma,1,1,D
04/05/2023,Lazio,Sassuolo,2,0,H
04/05/2023,Verona,Inter Milan,0,6,A
04/05/2023,Salernitana,Fiorentina,3,3,D
04/05/2023,Sampdoria,Torino,0,2,A
04/05/2023,Juventus,Lecce,2,1,H
04/05/2023,Atalanta,Spezia,3,2,H
01/05/2023,Bologna,Juventus,1,1,D
01/05/2023,Fiorentina,Sampdoria,5,0,H
30/04/2023,Sassuolo,Empoli,2,1,H
30/04/2023,Napoli,Salernitana,1,1,D
30/04/2023,Cremonese,Verona,1,1,D
30/04/2023,Inter Milan,Lazio,3,1,H
30/04/2023,Torino,Atalanta,1,2,A
30/04/2023,Roma,AC Milan,1,1,D
29/04/2023,Spezia,Monza,0,2,A
29/04/2023,Lecce,Udinese,1,0,H
25/4/2023,Atalanta,Roma,3,1,H
24/4/2023,Juventus,Napoli,0,1,A
24/4/2023,AC Milan,Lecce,2,0,H
23/4/2023,Monza,Fiorentina,3,2,H
23/4/2023,Udinese,Cremonese,3,0,H
23/4/2023,Empoli,Inter Milan,0,3,A
23/4/2023,Sampdoria,Spezia,1,1,D
23/4/2023,Lazio,Torino,0,1,A
22/4/2023,Salernitana,Sassuolo,3,0,H
22/4/2023,Verona,Bologna,2,1,H
9/4/2023,Lazio,Juventus,2,1,H
9/4/2023,Torino,Roma,0,1,A
9/4/2023,Verona,Sassuolo,2,1,H
8/4/2023,Sampdoria,Cremonese,2,3,A
8/4/2023,Atalanta,Bologna,0,2,A
8/4/2023,Fiorentina,Spezia,1,1,D
8/4/2023,Udinese,Monza,2,2,D
8/4/2023,AC Milan,Empoli,0,0,D
8/4/2023,Lecce,Napoli,1,2,A
7/4/2023,Salernitana,Inter Milan,1,1,D
20/3/2023,Inter Milan,Juventus,0,1,A
20/3/2023,Lazio,Roma,1,0,H
19/3/2023,Torino,Napoli,0,4,A
19/3/2023,Fiorentina,Lecce,1,0,H
19/3/2023,Sampdoria,Verona,3,1,H
19/3/2023,Udinese,AC Milan,3,1,H
19/3/2023,Salernitana,Bologna,2,2,D
18/3/2023,Monza,Cremonese,1,1,D
18/3/2023,Atalanta,Empoli,2,1,H
18/3/2023,Sassuolo,Spezia,1,0,H
7/3/2023,Torino,Bologna,1,0,H
7/3/2023,Sassuolo,Cremonese,3,2,H
6/3/2023,Roma,Juventus,1,0,H
6/3/2023,Inter Milan,Lecce,2,0,H
5/3/2023,Sampdoria,Salernitana,0,0,D
5/3/2023,Spezia,Verona,0,0,D
5/3/2023,Fiorentina,AC Milan,2,1,H
5/3/2023,Atalanta,Udinese,0,0,D
4/3/2023,Monza,Empoli,2,1,H
4/3/2023,Napoli,Lazio,0,1,A
21/2/2023,Torino,Cremonese,2,2,D
20/2/2023,Roma,Verona,1,0,H
20/2/2023,Spezia,Juventus,0,2,A
19/2/2023,Salernitana,Lazio,0,2,A
19/2/2023,Fiorentina,Empoli,1,1,D
19/2/2023,Atalanta,Lecce,1,2,A
19/2/2023,Inter Milan,Udinese,3,1,H
19/2/2023,Monza,AC Milan,0,1,A
18/2/2023,Sampdoria,Bologna,1,2,A
18/2/2023,Sassuolo,Napoli,0,2,A
8/2/2023,Salernitana,Juventus,0,3,A
7/2/2023,Monza,Sampdoria,2,2,D
7/2/2023,Verona,Lazio,1,1,D
6/2/2023,Inter Milan,AC Milan,1,0,H
6/2/2023,Fiorentina,Bologna,1,2,A
5/2/2023,Torino,Udinese,1,0,H
5/2/2023,Spezia,Napoli,0,3,A
5/2/2023,Sassuolo,Atalanta,1,0,H
5/2/2023,Roma,Empoli,2,0,H
4/2/2023,Cremonese,Lecce,0,2,A
25/1/2023,Lazio,AC Milan,4,0,H
24/1/2023,Inter Milan,Empoli,0,1,A
24/1/2023,Bologna,Cremonese,1,1,D
23/1/2023,Juventus,Atalanta,3,3,D
23/1/2023,Spezia,Roma,0,2,A
22/1/2023,Monza,Sassuolo,1,1,D
22/1/2023,Sampdoria,Udinese,0,1,A
22/1/2023,Fiorentina,Torino,0,1,A
22/1/2023,Salernitana,Napoli,0,2,A
