Date,Home,Away,HG,AG,Res
2023-04-16,Júbilo Iwata,Roasso Kumamoto,1,1,D
2023-04-16,Iwaki,ThespaKusatsu Gunma,2,1,H
2023-04-16,Mito Hollyhock,Fujieda MYFC,1,4,A
2023-04-16,Vegalta Sendai,Fagiano Okayama,1,1,D
2023-04-16,Blaublitz Akita,Omiya Ardija,2,1,H
2023-04-16,Montedio Yamagata,Zweigen Kanazawa,0,1,A
2023-04-16,Ventforet Kofu,Tochigi,1,0,H
2023-04-16,JEF United,Tokyo Verdy,1,0,H
2023-04-16,Machida Zelvia,Oita Trinita,3,1,H
2023-04-16,Renofa Yamaguchi,Shimizu S-Pulse,0,6,A
2023-04-16,Tokushima Vortis,V-Varen Nagasaki,0,4,A
2023-04-12,Omiya Ardija,ThespaKusatsu Gunma,0,1,A
2023-04-12,Tokyo Verdy,Blaublitz Akita,2,1,H
2023-04-12,Zweigen Kanazawa,Iwaki,3,0,H
2023-04-12,Shimizu S-Pulse,Vegalta Sendai,1,1,D
2023-04-12,Júbilo Iwata,Machida Zelvia,1,1,D
2023-04-12,Fujieda MYFC,JEF United,3,1,H
2023-04-12,Fagiano Okayama,Roasso Kumamoto,0,0,D
2023-04-12,Tokushima Vortis,Mito Hollyhock,0,2,A
2023-04-12,V-Varen Nagasaki,Ventforet Kofu,2,1,H
2023-04-12,Oita Trinita,Renofa Yamaguchi,3,1,H
2023-04-12,Tochigi,Montedio Yamagata,2,1,H
2023-04-09,Roasso Kumamoto,Zweigen Kanazawa,3,1,H
2023-04-08,Fujieda MYFC,Fagiano Okayama,2,2,D
2023-04-08,Ventforet Kofu,Vegalta Sendai,0,3,A
2023-04-08,Iwaki,Oita Trinita,1,3,A
2023-04-08,ThespaKusatsu Gunma,V-Varen Nagasaki,1,0,H
2023-04-08,Omiya Ardija,Montedio Yamagata,2,1,H
2023-04-08,JEF United,Tokushima Vortis,2,2,D
2023-04-08,Machida Zelvia,Blaublitz Akita,0,1,A
2023-04-08,Shimizu S-Pulse,Tokyo Verdy,2,1,H
2023-04-08,Renofa Yamaguchi,Tochigi,1,1,D
2023-04-08,Mito Hollyhock,Júbilo Iwata,1,5,A
2023-04-02,Machida Zelvia,Fujieda MYFC,1,0,H
2023-04-02,Fagiano Okayama,Iwaki,1,1,D
2023-04-02,Zweigen Kanazawa,JEF United,2,0,H
2023-04-02,Tochigi,ThespaKusatsu Gunma,1,2,A
