Date,Home,Away,HG,AG,Res
29/4/2023,Kashima Antlers,Gamba Osaka,4,0,H
29/4/2023,Avispa Fukuoka,Kawasaki Frontale,1,3,A
29/4/2023,Yokohama F. Marinos,Nagoya Grampus,1,1,D
29/4/2023,Tokyo,Albirex Niigata,2,1,H
29/4/2023,Kashiwa Reysol,Kyoto Sanga,1,1,D
29/4/2023,Vissel Kobe,Shonan Bellmare,2,0,H
29/4/2023,Cerezo Osaka,Sanfrecce Hiroshima,0,1,A
29/4/2023,Yokohama,Consadole Sapporo,1,4,A
15/4/2023,Kyoto Sanga,Gamba Osaka,2,1,H
15/4/2023,Tokyo,Cerezo Osaka,1,2,A
15/4/2023,Kashima Antlers,Vissel Kobe,1,5,A
15/4/2023,Sagan Tosu,Kashiwa Reysol,1,1,D
15/4/2023,Shonan Bellmare,Yokohama F. Marinos,1,1,D
15/4/2023,Kawasaki Frontale,Nagoya Grampus,1,2,A
15/4/2023,Urawa Reds,Consadole Sapporo,4,1,H
15/4/2023,Albirex Niigata,Avispa Fukuoka,3,2,H
15/4/2023,Yokohama,Sanfrecce Hiroshima,0,3,A
1/4/2023,Consadole Sapporo,Kawasaki Frontale,3,4,A
1/4/2023,Cerezo Osaka,Yokohama F. Marinos,2,1,H
1/4/2023,Sagan Tosu,Tokyo,1,0,H
1/4/2023,Shonan Bellmare,Gamba Osaka,4,1,H
1/4/2023,Kashima Antlers,Sanfrecce Hiroshima,1,2,A
1/4/2023,Kyoto Sanga,Vissel Kobe,0,3,A
1/4/2023,Albirex Niigata,Nagoya Grampus,1,3,A
1/4/2023,Yokohama,Avispa Fukuoka,1,1,D
31/3/2023,Kashiwa Reysol,Urawa Reds,0,3,A
12/3/2023,Gamba Osaka,Sanfrecce Hiroshima,1,2,A
12/3/2023,Shonan Bellmare,Kyoto Sanga,0,2,A
12/3/2023,Tokyo,Yokohama,3,1,H
12/3/2023,Kashiwa Reysol,Nagoya Grampus,0,3,A
12/3/2023,Kashima Antlers,Avispa Fukuoka,0,0,D
12/3/2023,Consadole Sapporo,Yokohama F. Marinos,2,0,H
12/3/2023,Cerezo Osaka,Sagan Tosu,2,1,H
11/3/2023,Vissel Kobe,Urawa Reds,0,1,A
11/3/2023,Albirex Niigata,Kawasaki Frontale,1,0,H
26/2/2023,Kashiwa Reysol,Tokyo,1,1,D
26/2/2023,Sanfrecce Hiroshima,Albirex Niigata,1,2,A
25/2/2023,Nagoya Grampus,Kyoto Sanga,1,0,H
25/2/2023,Kashima Antlers,Kawasaki Frontale,1,2,A
25/2/2023,Avispa Fukuoka,Cerezo Osaka,2,1,H
25/2/2023,Gamba Osaka,Sagan Tosu,1,1,D
25/2/2023,Consadole Sapporo,Vissel Kobe,1,3,A
25/2/2023,Yokohama F. Marinos,Urawa Reds,2,0,H
24/2/2023,Shonan Bellmare,Yokohama,2,2,D
18/2/2023,Sagan Tosu,Shonan Bellmare,1,5,A
18/2/2023,Kashiwa Reysol,Gamba Osaka,2,2,D
18/2/2023,Sanfrecce Hiroshima,Consadole Sapporo,0,0,D
18/2/2023,Vissel Kobe,Avispa Fukuoka,1,0,H
18/2/2023,Cerezo Osaka,Albirex Niigata,2,2,D
18/2/2023,Kyoto Sanga,Kashima Antlers,0,2,A
18/2/2023,Yokohama,Nagoya Grampus,0,1,A
18/2/2023,Tokyo,Urawa Reds,2,0,H
17/2/2023,Kawasaki Frontale,Yokohama F. Marinos,1,2,A
