Date,Home,Away,HG,AG,Res
25/2/2023,Ulsan,Jeonbuk Motors,2,1,H
25/2/2023,Seoul,Incheon United,2,1,H
25/2/2023,Suwon Bluewings,Gwangju,0,1,A
26/2/2023,Jeju United,Suwon,0,0,D
26/2/2023,Pohang Steelers,Daegu,3,2,H
26/2/2023,Daejeon Hana Citizen,Gangwon,2,0,H
11/3/2023,Suwon,Suwon Bluewings,2,1,H
11/3/2023,Daejeon Hana Citizen,Pohang Steelers,0,0,D
11/3/2023,Gangwon,Daegu,1,1,D
12/3/2023,Seoul,Ulsan,1,2,A
12/3/2023,Jeonbuk Motors,Gwangju,2,0,H
12/3/2023,Incheon United,Jeju United,1,0,H
1/4/2023,Jeonbuk Motors,Pohang Steelers,1,2,A
1/4/2023,Incheon United,Daegu,0,0,D
1/4/2023,Gwangju,Suwon,2,0,H
1/4/2023,Daejeon Hana Citizen,Seoul,3,2,H
2/4/2023,Jeju United,Ulsan,1,3,A
2/4/2023,Suwon Bluewings,Gangwon,1,1,D
15/4/2023,Suwon Bluewings,Jeju United,2,3,A
15/4/2023,Pohang Steelers,Seoul,1,1,D
15/4/2023,Suwon,Jeonbuk Motors,1,0,H
16/4/2023,Gangwon,Incheon United,0,2,A
16/4/2023,Daejeon Hana Citizen,Ulsan,2,1,H
16/4/2023,Daegu,Gwangju,3,4,A
25/4/2023,Pohang Steelers,Suwon Bluewings,1,0,H
25/4/2023,Incheon United,Ulsan,0,1,A
26/4/2023,Gwangju,Jeju United,0,1,A
26/4/2023,Gangwon,Seoul,3,2,H
26/4/2023,Jeonbuk Motors,Daejeon Hana Citizen,1,2,A
26/4/2023,Suwon,Daegu,1,1,D
5/5/2023,Seoul,Jeonbuk Motors,1,1,D
5/5/2023,Daegu,Ulsan,0,3,A
5/5/2023,Incheon United,Suwon Bluewings,0,1,A
6/5/2023,Jeju United,Pohang Steelers,2,1,H
6/5/2023,Suwon,Gangwon,2,0,H
6/5/2023,Gwangju,Daejeon Hana Citizen,0,0,D
