Date,Home,Away,HG,AG,Res
23/4/2023,Jeju United,Jeonbuk Motors,0,2,A
23/4/2023,Gwangju,Gangwon,0,0,D
22/4/2023,Incheon United,Suwon,2,2,D
22/4/2023,Ulsan,Pohang Steelers,2,2,D
22/4/2023,Daegu,Daejeon Hana Citizen,1,0,H
22/4/2023,Seoul,Suwon Bluewings,3,1,H
9/4/2023,Gangwon,Jeju United,0,1,A
9/4/2023,Jeonbuk Motors,Incheon United,2,0,H
9/4/2023,Suwon,Daejeon Hana Citizen,5,3,H
8/4/2023,Pohang Steelers,Gwangju,2,0,H
8/4/2023,Seoul,Daegu,3,0,H
8/4/2023,Ulsan,Suwon Bluewings,2,1,H
19/3/2023,Ulsan,Suwon,3,0,H
19/3/2023,Suwon Bluewings,Daejeon Hana Citizen,1,3,A
19/3/2023,Daegu,Jeonbuk Motors,2,0,H
18/3/2023,Jeju United,Seoul,1,2,A
18/3/2023,Gwangju,Incheon United,5,0,H
18/3/2023,Pohang Steelers,Gangwon,1,1,D
5/3/2023,Gwangju,Seoul,0,2,A
5/3/2023,Gangwon,Ulsan,0,1,A
5/3/2023,Jeonbuk Motors,Suwon Bluewings,1,1,D
4/3/2023,Daegu,Jeju United,1,1,D
4/3/2023,Suwon,Pohang Steelers,1,2,A
4/3/2023,Incheon United,Daejeon Hana Citizen,3,3,D
