Date,Home,Away,HG,AG,Res
13/8/2022,Excelsior,Vitesse,3,1,H
14/8/2022,Go Ahead Eagles,PSV,2,5,A
14/8/2022,Emmen,RKC Waalwijk,1,1,D
14/8/2022,Utrecht,Cambuur,0,0,D
14/8/2022,Feyenoord,Heerenveen,0,0,D
14/8/2022,Volendam,NEC,1,4,A
14/8/2022,Ajax,Groningen,6,1,H
14/8/2022,Twente,Fortuna Sittard,3,0,H
14/8/2022,Sparta Rotterdam,AZ,2,3,A
27/8/2022,NEC,Groningen,1,1,D
27/8/2022,Go Ahead Eagles,Sparta Rotterdam,0,1,A
28/8/2022,Vitesse,RKC Waalwijk,2,2,D
28/8/2022,Feyenoord,Emmen,4,0,H
28/8/2022,Heerenveen,Fortuna Sittard,2,1,H
28/8/2022,Utrecht,Ajax,0,2,A
28/8/2022,Excelsior,PSV,1,6,A
28/8/2022,Volendam,Twente,1,0,H
28/8/2022,Cambuur,AZ,0,1,A
10/9/2022,Volendam,Go Ahead Eagles,2,3,A
10/9/2022,NEC,Fortuna Sittard,1,1,D
11/9/2022,Ajax,Heerenveen,5,0,H
11/9/2022,Excelsior,Emmen,2,1,H
11/9/2022,Utrecht,Vitesse,1,0,H
11/9/2022,PSV,RKC Waalwijk,1,0,H
11/9/2022,Cambuur,Groningen,0,1,A
11/9/2022,AZ,Twente,1,1,D
12/9/2022,Feyenoord,Sparta Rotterdam,3,0,H
1/10/2022,Cambuur,PSV,3,0,H
2/10/2022,Groningen,AZ,1,4,A
2/10/2022,Ajax,Go Ahead Eagles,1,1,D
2/10/2022,Twente,Vitesse,3,0,H
2/10/2022,Fortuna Sittard,Volendam,2,0,H
2/10/2022,Excelsior,Utrecht,0,1,A
2/10/2022,NEC,Feyenoord,1,1,D
2/10/2022,RKC Waalwijk,Sparta Rotterdam,2,2,D
3/10/2022,Emmen,Heerenveen,0,0,D
15/10/2022,Emmen,Volendam,1,1,D
16/10/2022,Fortuna Sittard,RKC Waalwijk,0,0,D
16/10/2022,Go Ahead Eagles,Heerenveen,1,1,D
16/10/2022,Cambuur,Vitesse,0,3,A
16/10/2022,Sparta Rotterdam,NEC,2,0,H
16/10/2022,Twente,Groningen,3,0,H
16/10/2022,PSV,Utrecht,6,1,H
16/10/2022,AZ,Feyenoord,1,3,A
17/10/2022,Ajax,Excelsior,7,1,H
29/10/2022,Heerenveen,Utrecht,1,2,A
30/10/2022,Sparta Rotterdam,Fortuna Sittard,3,1,H
30/10/2022,Go Ahead Eagles,Excelsior,3,1,H
30/10/2022,Emmen,Groningen,0,0,D
30/10/2022,Twente,RKC Waalwijk,3,0,H
30/10/2022,PSV,NEC,3,0,H
30/10/2022,AZ,Volendam,2,1,H
10/11/2022,Ajax,Vitesse,2,2,D
11/11/2022,Feyenoord,Cambuur,1,0,H
12/11/2022,Sparta Rotterdam,Twente,1,1,D
12/11/2022,Volendam,Utrecht,0,4,A
13/11/2022,Emmen,Ajax,3,3,D
13/11/2022,PSV,AZ,0,1,A
13/11/2022,NEC,RKC Waalwijk,6,1,H
13/11/2022,Groningen,Fortuna Sittard,2,3,A
13/11/2022,Heerenveen,Cambuur,2,1,H
13/11/2022,Feyenoord,Excelsior,5,1,H
14/11/2022,Go Ahead Eagles,Vitesse,2,2,D
15/1/2023,Heerenveen,AZ,0,2,A
15/1/2023,Volendam,RKC Waalwijk,2,1,H
15/1/2023,Sparta Rotterdam,Excelsior,1,0,H
15/1/2023,Ajax,Twente,0,0,D
15/1/2023,Vitesse,NEC,0,0,D
15/1/2023,Fortuna Sittard,PSV,2,2,D
15/1/2023,Go Ahead Eagles,Utrecht,2,2,D
15/1/2023,Groningen,Feyenoord,0,3,A
15/1/2023,Emmen,Cambuur,0,0,D
25/1/2023,Emmen,PSV,1,0,H
25/1/2023,Sparta Rotterdam,RKC Waalwijk,0,0,D
26/1/2023,Go Ahead Eagles,AZ,1,4,A
26/1/2023,Vitesse,Twente,2,2,D
26/1/2023,Fortuna Sittard,Heerenveen,2,0,H
26/1/2023,Utrecht,Excelsior,1,0,H
26/1/2023,Feyenoord,NEC,2,0,H
27/1/2023,Groningen,Cambuur,0,1,A
27/1/2023,Ajax,Volendam,1,1,D
4/2/2023,Fortuna Sittard,Sparta Rotterdam,0,0,D
5/2/2023,Volendam,AZ,1,1,D
5/2/2023,Emmen,Vitesse,2,2,D
5/2/2023,Utrecht,Heerenveen,1,0,H
5/2/2023,Excelsior,RKC Waalwijk,0,0,D
5/2/2023,Cambuur,Ajax,0,5,A
5/2/2023,Feyenoord,PSV,2,2,D
5/2/2023,Go Ahead Eagles,NEC,1,0,H
5/2/2023,Groningen,Twente,1,1,D
18/2/2023,RKC Waalwijk,Fortuna Sittard,3,1,H
18/2/2023,Volendam,Vitesse,2,0,H
19/2/2023,Groningen,Emmen,1,1,D
19/2/2023,Feyenoord,AZ,2,1,H
19/2/2023,Cambuur,Heerenveen,1,2,A
19/2/2023,Utrecht,PSV,2,2,D
19/2/2023,Go Ahead Eagles,Twente,2,0,H
19/2/2023,Ajax,Sparta Rotterdam,4,0,H
20/2/2023,Excelsior,NEC,0,3,A
4/3/2023,Utrecht,Fortuna Sittard,1,2,A
4/3/2023,Vitesse,AZ,0,1,A
5/3/2023,Volendam,Emmen,3,1,H
5/3/2023,Feyenoord,Groningen,1,0,H
5/3/2023,Twente,Heerenveen,3,3,D
5/3/2023,Excelsior,Sparta Rotterdam,1,4,A
5/3/2023,RKC Waalwijk,PSV,0,1,A
5/3/2023,Ajax,NEC,1,0,H
6/3/2023,Cambuur,Go Ahead Eagles,4,1,H
18/3/2023,Volendam,Fortuna Sittard,2,1,H
18/3/2023,Utrecht,Go Ahead Eagles,1,2,A
19/3/2023,Emmen,Sparta Rotterdam,0,2,A
19/3/2023,RKC Waalwijk,NEC,1,3,A
19/3/2023,Groningen,Heerenveen,0,2,A
19/3/2023,Ajax,Feyenoord,2,3,A
19/3/2023,Excelsior,Cambuur,4,1,H
19/3/2023,Vitesse,PSV,1,1,D
20/3/2023,Twente,AZ,2,1,H
8/4/2023,Groningen,Utrecht,1,2,A
9/4/2023,Vitesse,Go Ahead Eagles,2,0,H
9/4/2023,AZ,Sparta Rotterdam,0,1,A
9/4/2023,PSV,Excelsior,4,0,H
9/4/2023,Heerenveen,Volendam,2,1,H
9/4/2023,Twente,Cambuur,4,0,H
9/4/2023,Emmen,NEC,0,0,D
9/4/2023,Ajax,Fortuna Sittard,4,0,H
10/4/2023,Feyenoord,RKC Waalwijk,5,1,H
22/4/2023,Volendam,Cambuur,2,0,H
23/4/2023,Heerenveen,Emmen,2,3,A
23/4/2023,Vitesse,Excelsior,0,0,D
23/4/2023,Twente,Sparta Rotterdam,3,3,D
23/4/2023,Go Ahead Eagles,Fortuna Sittard,2,0,H
23/4/2023,PSV,Ajax,3,0,H
23/4/2023,Feyenoord,Utrecht,3,1,H
24/4/2023,AZ,RKC Waalwijk,3,0,H
25/4/2023,Groningen,NEC,0,1,A
