Date,Home,Away,HG,AG,Res
30/04/2023,Willem II,De Graafschap,3,2,H
30/04/2023,NAC Breda,Roda JC,4,2,H
29/04/2023,VVV,Ajax II,0,1,A
29/04/2023,TOP Oss,Almere City,0,5,A
29/04/2023,PEC Zwolle,Dordrecht,4,0,H
29/04/2023,MVV,AZ II,1,3,A
29/04/2023,Heracles,PSV II,3,0,H
29/04/2023,Eindhoven,Utrecht II,2,0,H
29/04/2023,Den Bosch,Telstar,0,1,A
29/04/2023,ADO Den Haag,Helmond Sport,2,2,D
25/4/2023,Utrecht II,Ajax II,1,0,H
25/4/2023,PSV II,MVV,0,1,A
22/4/2023,Willem II,TOP Oss,4,0,H
22/4/2023,Telstar,VVV,1,0,H
22/4/2023,Roda JC,Den Bosch,0,1,A
22/4/2023,Helmond Sport,Heracles,0,1,A
22/4/2023,De Graafschap,ADO Den Haag,0,1,A
22/4/2023,Eindhoven,NAC Breda,1,2,A
22/4/2023,Dordrecht,AZ II,1,0,H
22/4/2023,Almere City,PEC Zwolle,1,1,D
11/4/2023,Utrecht II,TOP Oss,4,2,H
9/4/2023,Willem II,VVV,2,1,H
8/4/2023,Telstar,Ajax II,2,3,A
8/4/2023,Roda JC,ADO Den Haag,1,1,D
8/4/2023,NAC Breda,Den Bosch,2,0,H
8/4/2023,Helmond Sport,MVV,1,2,A
8/4/2023,De Graafschap,Heracles,5,3,H
8/4/2023,Eindhoven,PEC Zwolle,4,2,H
8/4/2023,Dordrecht,PSV II,1,0,H
8/4/2023,Almere City,AZ II,2,1,H
4/4/2023,Almere City,Utrecht II,1,0,H
26/3/2023,Willem II,MVV,2,0,H
26/3/2023,Telstar,TOP Oss,1,0,H
26/3/2023,Heracles,Den Bosch,3,2,H
26/3/2023,Dordrecht,Helmond Sport,0,0,D
14/3/2023,Utrecht II,PSV II,0,1,A
14/3/2023,Roda JC,AZ II,2,0,H
14/3/2023,NAC Breda,Ajax II,2,6,A
14/3/2023,De Graafschap,PEC Zwolle,0,1,A
14/3/2023,Eindhoven,ADO Den Haag,1,1,D
14/3/2023,Almere City,VVV,1,3,A
11/3/2023,Heracles,AZ II,2,0,H
11/3/2023,Willem II,PEC Zwolle,2,3,A
11/3/2023,VVV,Den Bosch,4,0,H
11/3/2023,Roda JC,Telstar,1,2,A
11/3/2023,TOP Oss,ADO Den Haag,2,3,A
11/3/2023,NAC Breda,MVV,4,1,H
11/3/2023,Helmond Sport,PSV II,3,0,H
11/3/2023,Eindhoven,Ajax II,5,1,H
11/3/2023,Dordrecht,De Graafschap,0,4,A
28/2/2023,MVV,PEC Zwolle,3,2,H
28/2/2023,PSV II,AZ II,3,3,D
26/2/2023,Den Bosch,ADO Den Haag,0,0,D
25/2/2023,Willem II,Ajax II,2,1,H
25/2/2023,VVV,TOP Oss,0,1,A
25/2/2023,Roda JC,Almere City,0,2,A
25/2/2023,NAC Breda,Dordrecht,3,2,H
