Date,Home,Away,HG,AG,Res
14/5/2023,Haugesund,Valerenga,1,1,D
13/5/2023,Stabæk,Aalesund,1,0,H
13/5/2023,Sarpsborg 08,Brann,2,1,H
13/5/2023,Sandefjord,Viking,1,2,A
13/5/2023,Molde,Strømsgodset,3,2,H
13/5/2023,HamKam,Tromsø,1,2,A
13/5/2023,Bodø / Glimt,Rosenborg,3,2,H
13/5/2023,Odd,Lillestrøm,0,1,A
9/5/2023,Brann,Sandefjord,0,0,D
8/5/2023,Lillestrøm,Bodø / Glimt,1,2,A
7/5/2023,Viking,Strømsgodset,1,1,D
7/5/2023,Tromsø,Odd,0,1,A
7/5/2023,Stabæk,Sarpsborg 08,1,1,D
7/5/2023,HamKam,Molde,0,4,A
7/5/2023,Aalesund,Haugesund,0,0,D
7/5/2023,Rosenborg,Valerenga,1,3,A
2/5/2023,Valerenga,Lillestrøm,3,4,A
1/5/2023,Odd,Rosenborg,0,0,D
30/4/2023,Viking,HamKam,7,3,H
30/4/2023,Strømsgodset,Tromsø,0,1,A
30/4/2023,Sandefjord,Aalesund,4,0,H
30/4/2023,Molde,Stabæk,2,3,A
30/4/2023,Haugesund,Sarpsborg 08,0,0,D
30/4/2023,Bodø / Glimt,Brann,2,2,D
24/4/2023,Lillestrøm,Molde,2,1,H
23/4/2023,Tromsø,Viking,1,1,D
23/4/2023,Stabæk,Haugesund,3,0,H
23/4/2023,Sarpsborg 08,Odd,0,0,D
23/4/2023,Rosenborg,Sandefjord,1,1,D
23/4/2023,HamKam,Strømsgodset,2,0,H
23/4/2023,Aalesund,Bodø / Glimt,0,3,A
23/4/2023,Brann,Valerenga,3,1,H
20/4/2023,Lillestrøm,Strømsgodset,4,3,H
17/4/2023,Valerenga,Sarpsborg 08,0,2,A
16/4/2023,Strømsgodset,Aalesund,1,0,H
16/4/2023,Sandefjord,Tromsø,0,0,D
16/4/2023,Odd,Brann,2,0,H
16/4/2023,Molde,Rosenborg,1,1,D
16/4/2023,Haugesund,HamKam,3,2,H
16/4/2023,Bodø / Glimt,Stabæk,4,0,H
16/4/2023,Viking,Lillestrøm,2,0,H
11/4/2023,Brann,Haugesund,3,0,H
10/4/2023,Tromsø,Molde,1,0,H
10/4/2023,Stabæk,Odd,0,0,D
10/4/2023,Sarpsborg 08,Bodø / Glimt,0,2,A
10/4/2023,HamKam,Sandefjord,2,0,H
10/4/2023,Aalesund,Valerenga,0,1,A
10/4/2023,Rosenborg,Viking,1,0,H
