Date,Home,Away,HG,AG,Res
25/4/2023,Vitoria Guimaraes,Sporting Lisbon,0,2,A
24/4/2023,Arouca,Vizela,1,0,H
24/4/2023,Santa Clara,Chaves,1,1,D
24/4/2023,Benfica,Estoril,1,0,H
23/4/2023,Boavista,Rio Ave,3,2,H
23/4/2023,Portimonense,Gil Vicente,1,0,H
23/4/2023,Paços Ferreira,Porto,0,2,A
22/4/2023,Famalicão,Marítimo,3,2,H
22/4/2023,Casa Pia,Sporting Braga,0,1,A
11/4/2023,Gil Vicente,Chaves,0,0,D
10/4/2023,Casa Pia,Sporting Lisbon,3,4,A
9/4/2023,Sporting Braga,Estoril,4,1,H
9/4/2023,Portimonense,Rio Ave,2,2,D
9/4/2023,Paços Ferreira,Famalicão,1,3,A
8/4/2023,Boavista,Vitoria Guimaraes,2,1,H
8/4/2023,Arouca,Marítimo,1,0,H
8/4/2023,Benfica,Porto,1,2,A
7/4/2023,Santa Clara,Vizela,0,1,A
6/4/2023,Gil Vicente,Sporting Lisbon,0,0,D
20/3/2023,Boavista,Famalicão,1,2,A
20/3/2023,Sporting Braga,Porto,0,0,D
19/3/2023,Benfica,Vitoria Guimaraes,5,1,H
19/3/2023,Casa Pia,Marítimo,2,0,H
19/3/2023,Arouca,Paços Ferreira,1,1,D
19/3/2023,Estoril,Chaves,0,2,A
18/3/2023,Portimonense,Vizela,0,1,A
18/3/2023,Santa Clara,Rio Ave,0,2,A
7/3/2023,Casa Pia,Paços Ferreira,2,1,H
6/3/2023,Sporting Braga,Rio Ave,2,0,H
6/3/2023,Santa Clara,Vitoria Guimaraes,1,3,A
5/3/2023,Gil Vicente,Marítimo,2,0,H
5/3/2023,Chaves,Porto,1,3,A
5/3/2023,Portimonense,Sporting Lisbon,0,1,A
4/3/2023,Benfica,Famalicão,2,0,H
4/3/2023,Estoril,Vizela,0,3,A
4/3/2023,Boavista,Arouca,0,0,D
21/2/2023,Benfica,Boavista,3,1,H
21/2/2023,Chaves,Sporting Lisbon,2,3,A
20/2/2023,Sporting Braga,Arouca,2,0,H
20/2/2023,Casa Pia,Vitoria Guimaraes,0,0,D
19/2/2023,Portimonense,Marítimo,2,1,H
19/2/2023,Santa Clara,Famalicão,1,3,A
19/2/2023,Porto,Rio Ave,1,0,H
19/2/2023,Estoril,Paços Ferreira,1,3,A
18/2/2023,Gil Vicente,Vizela,1,1,D
7/2/2023,Portimonense,Paços Ferreira,1,0,H
7/2/2023,Rio Ave,Sporting Lisbon,0,1,A
6/2/2023,Porto,Vizela,2,0,H
6/2/2023,Gil Vicente,Arouca,1,1,D
5/2/2023,Sporting Braga,Famalicão,4,1,H
5/2/2023,Benfica,Casa Pia,3,0,H
5/2/2023,Chaves,Marítimo,2,1,H
5/2/2023,Estoril,Vitoria Guimaraes,0,1,A
4/2/2023,Santa Clara,Boavista,2,2,D
24/1/2023,Boavista,Chaves,1,1,D
23/1/2023,Casa Pia,Gil Vicente,1,3,A
23/1/2023,Famalicão,Rio Ave,0,0,D
22/1/2023,Marítimo,Estoril,1,0,H
22/1/2023,Vitoria Guimaraes,Porto,0,1,A
22/1/2023,Santa Clara,Benfica,0,3,A
21/1/2023,Arouca,Portimonense,4,0,H
21/1/2023,Sporting Lisbon,Vizela,2,1,H
