Date,Home,Away,HG,AG,Res
23/04/2023,Winterthur,Grasshopper,1,2,A
23/04/2023,Young Boys,Servette,6,1,H
23/04/2023,Basel,Luzern,0,2,A
23/04/2023,Lugano,Sion,2,0,H
23/04/2023,Zürich,St. Gallen,1,0,H
16/04/2023,Servette,Lugano,0,0,D
16/04/2023,Luzern,Zürich,4,1,H
16/04/2023,St. Gallen,Winterthur,2,3,A
16/04/2023,Basel,Young Boys,1,1,D
16/04/2023,Grasshopper,Sion,1,3,A
09/04/2023,Zürich,Basel,1,1,D
09/04/2023,Sion,Servette,2,2,D
10/04/2023,Lugano,St. Gallen,1,1,D
10/04/2023,Winterthur,Luzern,1,2,A
10/04/2023,Young Boys,Grasshopper,2,0,H
02/04/2023,Servette,Young Boys,2,1,H
02/04/2023,Basel,Winterthur,2,0,H
02/04/2023,Grasshopper,Lugano,2,1,H
02/04/2023,Luzern,Sion,1,2,A
02/04/2023,St. Gallen,Zürich,2,2,D
19/03/2023,Zürich,Luzern,2,1,H
19/03/2023,Sion,Grasshopper,1,2,A
19/03/2023,Winterthur,St. Gallen,1,0,H
19/03/2023,Lugano,Servette,1,1,D
19/03/2023,Young Boys,Basel,3,0,H
12/03/2023,Young Boys,Sion,4,0,H
12/03/2023,Lugano,Zürich,2,0,H
12/03/2023,Servette,Luzern,0,3,A
12/03/2023,Basel,St. Gallen,1,1,D
12/03/2023,Grasshopper,Winterthur,2,1,H
05/03/2023,Winterthur,Young Boys,1,1,D
05/03/2023,Luzern,Basel,0,1,A
05/03/2023,St. Gallen,Grasshopper,1,1,D
05/03/2023,Sion,Lugano,1,1,D
05/03/2023,Zürich,Servette,1,1,D
26/02/2023,Sion,St. Gallen,0,4,A
26/02/2023,Zürich,Young Boys,2,2,D
26/02/2023,Luzern,Grasshopper,1,0,H
26/02/2023,Lugano,Basel,2,2,D
26/02/2023,Servette,Winterthur,1,1,D
19/02/2023,Winterthur,Sion,1,1,D
19/02/2023,Young Boys,Lugano,1,1,D
19/02/2023,St. Gallen,Luzern,2,2,D
19/02/2023,Basel,Servette,2,2,D
19/02/2023,Grasshopper,Zürich,1,2,A
12/02/2023,Servette,Grasshopper,2,1,H
12/02/2023,Basel,Sion,3,1,H
12/02/2023,Lugano,Luzern,1,1,D
12/02/2023,Young Boys,St. Gallen,5,1,H
12/02/2023,Zürich,Winterthur,1,1,D
05/02/2023,Grasshopper,Basel,1,0,H
05/02/2023,St. Gallen,Servette,3,0,H
05/02/2023,Sion,Zürich,0,1,A
05/02/2023,Luzern,Young Boys,1,1,D
05/02/2023,Winterthur,Lugano,1,0,H
29/01/2023,Lugano,Grasshopper,1,1,D
29/01/2023,Basel,Luzern,2,3,A
29/01/2023,Young Boys,Winterthur,5,1,H
29/01/2023,Servette,Sion,2,2,D
29/01/2023,Zürich,St. Gallen,1,0,H
