Date,Home,Away,HG,AG,Res
5/5/2023,Rayo Vallecano,Real Valladolid,2,1,H
5/5/2023,Athletic Bilbao,Real Betis,0,1,A
5/5/2023,Sevilla,Espanyol,3,2,H
5/5/2023,Girona,Mallorca,2,1,H
4/5/2023,Getafe,Celta Vigo,1,0,H
4/5/2023,Atletico Madrid,Cadiz,5,1,H
4/5/2023,Valencia,Villarreal,1,1,D
3/5/2023,Real Sociedad,Real Madrid,2,0,H
3/5/2023,Almeria,Elche,2,1,H
3/5/2023,Barcelona,Osasuna,1,0,H
2/5/2023,Sevilla,Girona,0,2,A
2/5/2023,Mallorca,Athletic Bilbao,1,1,D
1/5/2023,Real Valladolid,Atletico Madrid,2,5,A
1/5/2023,Espanyol,Getafe,1,0,H
30/4/2023,Villarreal,Celta Vigo,3,1,H
30/4/2023,Cadiz,Valencia,2,1,H
30/4/2023,Barcelona,Real Betis,4,0,H
30/4/2023,Real Madrid,Almeria,4,2,H
29/4/2023,Elche,Rayo Vallecano,4,0,H
29/4/2023,Osasuna,Real Sociedad,0,2,A
28/4/2023,Athletic Bilbao,Sevilla,0,1,A
28/4/2023,Villarreal,Espanyol,4,2,H
28/4/2023,Valencia,Real Valladolid,2,1,H
27/4/2023,Rayo Vallecano,Barcelona,2,1,H
27/4/2023,Celta Vigo,Elche,1,0,H
27/4/2023,Getafe,Almeria,1,2,A
27/4/2023,Atletico Madrid,Mallorca,3,1,H
26/4/2023,Real Betis,Real Sociedad,0,0,D
26/4/2023,Girona,Real Madrid,4,2,H
26/4/2023,Cadiz,Osasuna,0,1,A
24/4/2023,Sevilla,Villarreal,2,1,H
24/4/2023,Mallorca,Getafe,3,1,H
23/4/2023,Barcelona,Atletico Madrid,1,0,H
23/4/2023,Elche,Valencia,0,2,A
23/4/2023,Real Madrid,Celta Vigo,2,0,H
23/4/2023,Real Valladolid,Girona,1,0,H
23/4/2023,Real Sociedad,Rayo Vallecano,2,1,H
22/4/2023,Almeria,Athletic Bilbao,1,2,A
22/4/2023,Osasuna,Real Betis,3,2,H
22/4/2023,Espanyol,Cadiz,0,0,D
18/4/2023,Celta Vigo,Mallorca,0,1,A
17/4/2023,Valencia,Sevilla,0,2,A
17/4/2023,Atletico Madrid,Almeria,2,1,H
16/4/2023,Getafe,Barcelona,0,0,D
16/4/2023,Girona,Elche,2,0,H
16/4/2023,Cadiz,Real Madrid,0,2,A
16/4/2023,Real Betis,Espanyol,3,1,H
15/4/2023,Athletic Bilbao,Real Sociedad,2,0,H
15/4/2023,Villarreal,Real Valladolid,1,2,A
15/4/2023,Rayo Vallecano,Osasuna,2,1,H
11/4/2023,Barcelona,Girona,0,0,D
10/4/2023,Rayo Vallecano,Atletico Madrid,1,2,A
10/4/2023,Almeria,Valencia,2,1,H
9/4/2023,Real Betis,Cadiz,0,2,A
9/4/2023,Real Valladolid,Mallorca,3,3,D
9/4/2023,Real Madrid,Villarreal,2,3,A
9/4/2023,Real Sociedad,Getafe,2,0,H
8/4/2023,Espanyol,Athletic Bilbao,1,2,A
8/4/2023,Osasuna,Elche,2,1,H
8/4/2023,Sevilla,Celta Vigo,2,2,D
4/4/2023,Valencia,Rayo Vallecano,1,1,D
3/4/2023,Atletico Madrid,Real Betis,1,0,H
3/4/2023,Villarreal,Real Sociedad,2,0,H
2/4/2023,Real Madrid,Real Valladolid,6,0,H
2/4/2023,Celta Vigo,Almeria,2,2,D
2/4/2023,Elche,Barcelona,0,4,A
2/4/2023,Cadiz,Sevilla,0,2,A
1/4/2023,Athletic Bilbao,Getafe,0,0,D
1/4/2023,Girona,Espanyol,2,1,H
1/4/2023,Mallorca,Osasuna,0,0,D
20/3/2023,Barcelona,Real Madrid,2,1,H
20/3/2023,Getafe,Sevilla,2,0,H
19/3/2023,Real Sociedad,Elche,2,0,H
19/3/2023,Osasuna,Villarreal,0,3,A
19/3/2023,Real Betis,Mallorca,1,0,H
19/3/2023,Atletico Madrid,Valencia,3,0,H
19/3/2023,Espanyol,Celta Vigo,1,3,A
18/3/2023,Rayo Vallecano,Girona,2,2,D
18/3/2023,Almeria,Cadiz,1,1,D
18/3/2023,Real Valladolid,Athletic Bilbao,1,3,A
14/3/2023,Girona,Atletico Madrid,0,1,A
13/3/2023,Athletic Bilbao,Barcelona,0,1,A
13/3/2023,Villarreal,Real Betis,1,1,D
12/3/2023,Sevilla,Almeria,2,1,H
12/3/2023,Mallorca,Real Sociedad,1,1,D
12/3/2023,Valencia,Osasuna,1,0,H
12/3/2023,Celta Vigo,Rayo Vallecano,3,0,H
11/3/2023,Elche,Real Valladolid,1,1,D
11/3/2023,Real Madrid,Espanyol,3,1,H
11/3/2023,Cadiz,Getafe,2,2,D
7/3/2023,Osasuna,Celta Vigo,0,0,D
6/3/2023,Real Betis,Real Madrid,0,0,D
6/3/2023,Rayo Vallecano,Athletic Bilbao,0,0,D
5/3/2023,Barcelona,Valencia,1,0,H
5/3/2023,Real Valladolid,Espanyol,2,1,H
5/3/2023,Atletico Madrid,Sevilla,6,1,H
5/3/2023,Mallorca,Elche,0,1,A
4/3/2023,Almeria,Villarreal,0,2,A
4/3/2023,Getafe,Girona,3,2,H
4/3/2023,Real Sociedad,Cadiz,0,0,D
28/2/2023,Villarreal,Getafe,2,1,H
27/2/2023,Sevilla,Osasuna,2,3,A
27/2/2023,Almeria,Barcelona,1,0,H
26/2/2023,Celta Vigo,Real Valladolid,3,0,H
26/2/2023,Athletic Bilbao,Girona,2,3,A
26/2/2023,Valencia,Real Sociedad,1,0,H
26/2/2023,Real Madrid,Atletico Madrid,1,1,D
25/2/2023,Cadiz,Rayo Vallecano,1,0,H
25/2/2023,Espanyol,Mallorca,2,1,H
25/2/2023,Elche,Real Betis,2,3,A
21/2/2023,Getafe,Valencia,1,0,H
20/2/2023,Barcelona,Cadiz,2,0,H
20/2/2023,Atletico Madrid,Athletic Bilbao,1,0,H
19/2/2023,Rayo Vallecano,Sevilla,1,1,D
19/2/2023,Elche,Espanyol,0,1,A
19/2/2023,Osasuna,Real Madrid,0,2,A
19/2/2023,Mallorca,Villarreal,4,2,H
18/2/2023,Real Betis,Real Valladolid,2,1,H
18/2/2023,Real Sociedad,Celta Vigo,1,1,D
18/2/2023,Girona,Almeria,6,2,H
16/2/2023,Real Madrid,Elche,4,0,H
14/2/2023,Espanyol,Real Sociedad,2,3,A
13/2/2023,Villarreal,Barcelona,0,1,A
13/2/2023,Real Valladolid,Osasuna,0,0,D
12/2/2023,Celta Vigo,Atletico Madrid,0,1,A
12/2/2023,Getafe,Rayo Vallecano,1,1,D
12/2/2023,Valencia,Athletic Bilbao,1,2,A
12/2/2023,Sevilla,Mallorca,2,0,H
11/2/2023,Almeria,Real Betis,2,3,A
11/2/2023,Cadiz,Girona,2,0,H
7/2/2023,Rayo Vallecano,Almeria,2,0,H
6/2/2023,Barcelona,Sevilla,3,0,H
6/2/2023,Real Sociedad,Real Valladolid,0,1,A
5/2/2023,Girona,Valencia,1,0,H
5/2/2023,Mallorca,Real Madrid,1,0,H
5/2/2023,Real Betis,Celta Vigo,3,4,A
5/2/2023,Atletico Madrid,Getafe,1,1,D
4/2/2023,Elche,Villarreal,3,1,H
4/2/2023,Espanyol,Osasuna,1,1,D
4/2/2023,Athletic Bilbao,Cadiz,4,1,H
3/2/2023,Real Madrid,Valencia,2,0,H
2/2/2023,Real Betis,Barcelona,1,2,A
31/1/2023,Villarreal,Rayo Vallecano,0,1,A
30/1/2023,Real Madrid,Real Sociedad,0,0,D
30/1/2023,Celta Vigo,Athletic Bilbao,1,0,H
29/1/2023,Osasuna,Atletico Madrid,0,1,A
29/1/2023,Real Valladolid,Valencia,1,0,H
29/1/2023,Getafe,Real Betis,0,1,A
29/1/2023,Sevilla,Elche,3,0,H
28/1/2023,Girona,Barcelona,0,1,A
28/1/2023,Cadiz,Mallorca,2,0,H
28/1/2023,Almeria,Espanyol,3,1,H
24/1/2023,Valencia,Almeria,2,2,D
23/1/2023,Athletic Bilbao,Real Madrid,0,2,A
23/1/2023,Barcelona,Getafe,1,0,H
22/1/2023,Elche,Osasuna,1,1,D
22/1/2023,Villarreal,Girona,1,0,H
22/1/2023,Sevilla,Cadiz,1,0,H
22/1/2023,Atletico Madrid,Real Valladolid,3,0,H
21/1/2023,Espanyol,Real Betis,1,0,H
21/1/2023,Rayo Vallecano,Real Sociedad,0,2,A
21/1/2023,Mallorca,Celta Vigo,1,0,H
17/1/2023,Cadiz,Elche,1,1,D
15/1/2023,Almeria,Atletico Madrid,1,1,D
15/1/2023,Getafe,Espanyol,1,2,A
15/1/2023,Real Sociedad,Athletic Bilbao,3,1,H
15/1/2023,Osasuna,Mallorca,1,0,H
14/1/2023,Girona,Sevilla,2,1,H
14/1/2023,Real Valladolid,Rayo Vallecano,0,1,A
14/1/2023,Celta Vigo,Villarreal,1,1,D
10/1/2023,Athletic Bilbao,Osasuna,0,0,D
9/1/2023,Atletico Madrid,Barcelona,0,1,A
9/1/2023,Sevilla,Getafe,2,1,H
8/1/2023,Rayo Vallecano,Real Betis,1,2,A
8/1/2023,Almeria,Real Sociedad,0,2,A
8/1/2023,Espanyol,Girona,2,2,D
8/1/2023,Mallorca,Real Valladolid,1,0,H
7/1/2023,Villarreal,Real Madrid,2,1,H
7/1/2023,Valencia,Cadiz,0,1,A
7/1/2023,Elche,Celta Vigo,0,1,A
31/12/2022,Villarreal,Valencia,2,1,H
31/12/2022,Real Sociedad,Osasuna,2,0,H
31/12/2022,Barcelona,Espanyol,1,1,D
31/12/2022,Real Valladolid,Real Madrid,0,2,A
31/12/2022,Cadiz,Almeria,1,1,D
31/12/2022,Celta Vigo,Sevilla,1,1,D
31/12/2022,Getafe,Mallorca,2,0,H
30/12/2022,Atletico Madrid,Elche,2,0,H
30/12/2022,Real Betis,Athletic Bilbao,0,0,D
30/12/2022,Girona,Rayo Vallecano,2,2,D
11/11/2022,Real Madrid,Cadiz,2,1,H
11/11/2022,Valencia,Real Betis,3,0,H
11/11/2022,Rayo Vallecano,Celta Vigo,0,0,D
10/11/2022,Mallorca,Atletico Madrid,1,0,H
10/11/2022,Espanyol,Villarreal,0,1,A
10/11/2022,Sevilla,Real Sociedad,1,2,A
10/11/2022,Almeria,Getafe,1,0,H
9/11/2022,Osasuna,Barcelona,1,2,A
9/11/2022,Athletic Bilbao,Real Valladolid,3,0,H
9/11/2022,Elche,Girona,1,2,A
8/11/2022,Rayo Vallecano,Real Madrid,3,2,H
7/11/2022,Real Betis,Sevilla,1,1,D
7/11/2022,Villarreal,Mallorca,0,2,A
6/11/2022,Real Sociedad,Valencia,1,1,D
6/11/2022,Atletico Madrid,Espanyol,1,1,D
6/11/2022,Barcelona,Almeria,2,0,H
6/11/2022,Celta Vigo,Osasuna,1,2,A
5/11/2022,Real Valladolid,Elche,2,1,H
5/11/2022,Getafe,Cadiz,0,0,D
5/11/2022,Girona,Athletic Bilbao,2,1,H
1/11/2022,Elche,Getafe,0,1,A
31/10/2022,Real Sociedad,Real Betis,0,2,A
31/10/2022,Athletic Bilbao,Villarreal,1,0,H
30/10/2022,Real Madrid,Girona,1,1,D
30/10/2022,Osasuna,Real Valladolid,2,0,H
30/10/2022,Valencia,Barcelona,0,1,A
30/10/2022,Sevilla,Rayo Vallecano,0,1,A
29/10/2022,Cadiz,Atletico Madrid,3,2,H
29/10/2022,Almeria,Celta Vigo,3,1,H
29/10/2022,Mallorca,Espanyol,1,1,D
25/10/2022,Celta Vigo,Getafe,1,1,D
24/10/2022,Barcelona,Athletic Bilbao,4,0,H
24/10/2022,Villarreal,Almeria,2,1,H
24/10/2022,Girona,Osasuna,1,1,D
23/10/2022,Real Betis,Atletico Madrid,1,2,A
23/10/2022,Espanyol,Elche,2,2,D
23/10/2022,Real Madrid,Sevilla,3,1,H
23/10/2022,Valencia,Mallorca,1,2,A
22/10/2022,Real Valladolid,Real Sociedad,1,0,H
22/10/2022,Rayo Vallecano,Cadiz,5,1,H
21/10/2022,Barcelona,Villarreal,3,0,H
21/10/2022,Osasuna,Espanyol,1,0,H
21/10/2022,Almeria,Girona,3,2,H
20/10/2022,Elche,Real Madrid,0,3,A
20/10/2022,Real Sociedad,Mallorca,1,0,H
20/10/2022,Real Valladolid,Celta Vigo,4,1,H
20/10/2022,Cadiz,Real Betis,0,0,D
19/10/2022,Atletico Madrid,Rayo Vallecano,1,1,D
19/10/2022,Getafe,Athletic Bilbao,2,2,D
19/10/2022,Sevilla,Valencia,1,1,D
18/10/2022,Villarreal,Osasuna,2,0,H
17/10/2022,Real Betis,Almeria,3,1,H
17/10/2022,Espanyol,Real Valladolid,1,0,H
16/10/2022,Real Madrid,Barcelona,3,1,H
16/10/2022,Celta Vigo,Real Sociedad,1,2,A
16/10/2022,Athletic Bilbao,Atletico Madrid,0,1,A
16/10/2022,Mallorca,Sevilla,0,1,A
15/10/2022,Valencia,Elche,2,2,D
15/10/2022,Girona,Cadiz,1,1,D
15/10/2022,Rayo Vallecano,Getafe,0,0,D
11/10/2022,Elche,Mallorca,1,1,D
10/10/2022,Barcelona,Celta Vigo,1,0,H
10/10/2022,Real Sociedad,Villarreal,1,0,H
9/10/2022,Cadiz,Espanyol,2,2,D
9/10/2022,Real Valladolid,Real Betis,0,0,D
9/10/2022,Getafe,Real Madrid,0,1,A
9/10/2022,Sevilla,Athletic Bilbao,1,1,D
8/10/2022,Atletico Madrid,Girona,2,1,H
8/10/2022,Almeria,Rayo Vallecano,3,1,H
8/10/2022,Osasuna,Valencia,1,2,A
4/10/2022,Rayo Vallecano,Elche,2,1,H
3/10/2022,Real Madrid,Osasuna,1,1,D
3/10/2022,Girona,Real Sociedad,3,5,A
2/10/2022,Celta Vigo,Real Betis,1,0,H
2/10/2022,Espanyol,Valencia,2,2,D
2/10/2022,Mallorca,Barcelona,0,1,A
2/10/2022,Sevilla,Atletico Madrid,0,2,A
1/10/2022,Getafe,Real Valladolid,2,3,A
1/10/2022,Cadiz,Villarreal,0,0,D
1/10/2022,Athletic Bilbao,Almeria,4,0,H
19/9/2022,Atletico Madrid,Real Madrid,1,2,A
19/9/2022,Real Sociedad,Espanyol,2,1,H
19/9/2022,Real Betis,Girona,2,1,H
18/9/2022,Villarreal,Sevilla,1,1,D
18/9/2022,Osasuna,Getafe,0,2,A
18/9/2022,Athletic Bilbao,Rayo Vallecano,3,2,H
18/9/2022,Valencia,Celta Vigo,3,0,H
