Date,Home,Away,HG,AG,Res
15/04/2023,Elfsborg,Brommapojkarna,5,0,H
15/04/2023,Häcken,Kalmar,1,3,A
16/04/2023,AIK,Hammarby,2,0,H
16/04/2023,Norrköping,Värnamo,2,1,H
16/04/2023,Halmstad,Djurgården,2,0,H
16/04/2023,Mjällby,Degerfors,2,0,H
18/04/2023,Varberg,Sirius,1,1,D
18/04/2023,IFK Göteborg,Malmö,0,1,A
08/04/2023,Brommapojkarna,Malmö,1,2,A
08/04/2023,Degerfors,Halmstad,3,1,H
09/04/2023,Häcken,Hammarby,3,1,H
09/04/2023,Sirius,Djurgården,0,0,D
09/04/2023,Kalmar,IFK Göteborg,2,0,H
10/04/2023,Värnamo,Mjällby,0,1,A
10/04/2023,AIK,Norrköping,0,3,A
10/04/2023,Varberg,Elfsborg,0,0,D
01/04/2023,Malmö,Kalmar,1,0,H
01/04/2023,Djurgården,Brommapojkarna,3,1,H
02/04/2023,Hammarby,Degerfors,3,1,H
02/04/2023,Norrköping,Sirius,1,1,D
02/04/2023,IFK Göteborg,Värnamo,0,1,A
02/04/2023,Halmstad,AIK,2,1,H
04/04/2023,Mjällby,Varberg,2,2,D
04/04/2023,Elfsborg,Häcken,0,2,A
