Date,Home,Away,HG,AG,Res
05/05/2023,Varberg,Malmö,0,6,A
05/05/2023,Värnamo,Brommapojkarna,0,1,A
05/05/2023,Norrköping,Hammarby,2,0,H
05/05/2023,IFK Göteborg,Degerfors,6,0,H
04/05/2023,Mjällby,AIK,0,0,D
04/05/2023,Kalmar,Sirius,2,2,D
04/05/2023,Häcken,Djurgården,4,1,H
04/05/2023,Elfsborg,Halmstad,6,1,H
1/5/2023,IFK Göteborg,Norrköping,1,1,D
30/4/2023,Degerfors,Djurgården,2,1,H
30/4/2023,Varberg,Kalmar,0,0,D
30/4/2023,Malmö,Hammarby,4,2,H
29/4/2023,Halmstad,Brommapojkarna,0,2,A
29/4/2023,Häcken,Värnamo,3,1,H
29/4/2023,Mjällby,Elfsborg,0,1,A
29/4/2023,AIK,Sirius,0,0,D
18/4/2023,IFK Göteborg,Malmö,0,1,A
18/4/2023,Varberg,Sirius,1,1,D
16/4/2023,Mjällby,Degerfors,2,0,H
16/4/2023,Halmstad,Djurgården,2,0,H
16/4/2023,Norrköping,Värnamo,2,1,H
16/4/2023,AIK,Hammarby,2,0,H
15/4/2023,Häcken,Kalmar,1,3,A
15/4/2023,Elfsborg,Brommapojkarna,5,0,H
4/4/2023,Elfsborg,Häcken,0,2,A
4/4/2023,Mjällby,Varberg,2,2,D
2/4/2023,Halmstad,AIK,2,1,H
2/4/2023,IFK Göteborg,Värnamo,0,1,A
2/4/2023,Norrköping,Sirius,1,1,D
2/4/2023,Hammarby,Degerfors,3,1,H
1/4/2023,Djurgården,Brommapojkarna,3,1,H
1/4/2023,Malmö,Kalmar,1,0,H
