Date,Home,Away,HG,AG,Res
23/4/2023,West Brom,Sunderland,1,2,A
22/4/2023,Preston,Blackburn,1,1,D
22/4/2023,Wigan,Millwall,2,1,H
22/4/2023,Norwich,Swansea,0,3,A
22/4/2023,Hull,Watford,1,0,H
22/4/2023,Coventry,Reading,2,1,H
22/4/2023,Cardiff,Stoke,1,1,D
22/4/2023,Burnley,QPR,1,2,A
22/4/2023,Bristol City,Rotherham,2,1,H
22/4/2023,Birmingham,Blackpool,0,1,A
19/4/2023,Reading,Luton,1,1,D
19/4/2023,Middlesbrough,Hull,3,1,H
19/4/2023,Watford,Cardiff,1,3,A
19/4/2023,Swansea,Preston,4,2,H
19/4/2023,QPR,Norwich,1,1,D
19/4/2023,Blackburn,Coventry,1,1,D
18/4/2023,Millwall,Birmingham,0,1,A
18/4/2023,Sunderland,Huddersfield,1,1,D
18/4/2023,Stoke,Wigan,0,1,A
18/4/2023,Sheffield United,Bristol City,1,0,H
18/4/2023,Rotherham,Burnley,2,2,D
18/4/2023,Blackpool,West Brom,0,2,A
15/4/2023,Blackburn,Hull,0,0,D
15/4/2023,Watford,Bristol City,2,0,H
15/4/2023,Swansea,Huddersfield,1,0,H
15/4/2023,Sunderland,Birmingham,2,1,H
15/4/2023,Stoke,West Brom,1,2,A
15/4/2023,Rotherham,Luton,0,2,A
15/4/2023,Reading,Burnley,0,0,D
15/4/2023,QPR,Coventry,0,3,A
15/4/2023,Millwall,Preston,2,0,H
15/4/2023,Blackpool,Wigan,1,0,H
15/4/2023,Sheffield United,Cardiff,4,1,H
14/4/2023,Middlesbrough,Norwich,5,1,H
10/4/2023,Burnley,Sheffield United,2,0,H
10/4/2023,Bristol City,Middlesbrough,2,2,D
10/4/2023,Wigan,Swansea,0,2,A
10/4/2023,West Brom,QPR,2,2,D
10/4/2023,Preston,Reading,2,1,H
10/4/2023,Norwich,Rotherham,0,0,D
10/4/2023,Luton,Blackpool,3,1,H
10/4/2023,Hull,Millwall,1,0,H
10/4/2023,Coventry,Watford,2,2,D
10/4/2023,Cardiff,Sunderland,0,1,A
10/4/2023,Birmingham,Stoke,0,0,D
10/4/2023,Huddersfield,Blackburn,2,2,D
7/4/2023,Middlesbrough,Burnley,1,2,A
7/4/2023,Sunderland,Hull,4,4,D
7/4/2023,Watford,Huddersfield,2,3,A
7/4/2023,Swansea,Coventry,0,0,D
7/4/2023,Stoke,Bristol City,1,2,A
7/4/2023,Sheffield United,Wigan,1,0,H
7/4/2023,Reading,Birmingham,1,1,D
7/4/2023,QPR,Preston,0,2,A
7/4/2023,Blackpool,Cardiff,1,3,A
7/4/2023,Blackburn,Norwich,0,2,A
7/4/2023,Rotherham,West Brom,3,1,H
7/4/2023,Millwall,Luton,0,0,D
1/4/2023,Wigan,QPR,1,0,H
1/4/2023,West Brom,Millwall,0,0,D
1/4/2023,Norwich,Sheffield United,0,1,A
1/4/2023,Hull,Rotherham,0,0,D
1/4/2023,Huddersfield,Middlesbrough,4,2,H
1/4/2023,Coventry,Stoke,0,4,A
1/4/2023,Cardiff,Swansea,2,3,A
1/4/2023,Bristol City,Reading,1,1,D
1/4/2023,Birmingham,Blackburn,1,0,H
1/4/2023,Preston,Blackpool,3,1,H
1/4/2023,Luton,Watford,2,0,H
31/3/2023,Burnley,Sunderland,0,0,D
19/3/2023,Swansea,Bristol City,2,0,H
18/3/2023,Watford,Wigan,1,1,D
18/3/2023,Sunderland,Luton,1,1,D
18/3/2023,Stoke,Norwich,0,0,D
18/3/2023,Reading,Hull,1,1,D
18/3/2023,QPR,Birmingham,0,1,A
18/3/2023,Millwall,Huddersfield,0,1,A
18/3/2023,Middlesbrough,Preston,4,0,H
18/3/2023,Blackpool,Coventry,1,4,A
15/3/2023,Sunderland,Sheffield United,1,2,A
15/3/2023,Luton,Bristol City,1,0,H
15/3/2023,Hull,Burnley,1,3,A
15/3/2023,Huddersfield,Norwich,1,1,D
15/3/2023,Cardiff,West Brom,1,1,D
15/3/2023,Blackburn,Reading,2,1,H
14/3/2023,Middlesbrough,Stoke,1,1,D
14/3/2023,Wigan,Coventry,1,1,D
14/3/2023,Watford,Birmingham,3,0,H
14/3/2023,Rotherham,Preston,1,2,A
14/3/2023,Millwall,Swansea,2,1,H
14/3/2023,Blackpool,QPR,6,1,H
12/3/2023,Norwich,Sunderland,0,1,A
11/3/2023,West Brom,Huddersfield,1,0,H
11/3/2023,Swansea,Middlesbrough,1,3,A
11/3/2023,Sheffield United,Luton,0,1,A
11/3/2023,Reading,Millwall,0,1,A
11/3/2023,QPR,Watford,1,0,H
11/3/2023,Preston,Cardiff,2,0,H
11/3/2023,Coventry,Hull,1,1,D
11/3/2023,Burnley,Wigan,3,0,H
11/3/2023,Birmingham,Rotherham,2,0,H
11/3/2023,Bristol City,Blackpool,2,0,H
10/3/2023,Stoke,Blackburn,3,2,H
7/3/2023,West Brom,Wigan,1,0,H
7/3/2023,Reading,Sheffield United,0,1,A
7/3/2023,Huddersfield,Bristol City,0,0,D
4/3/2023,Wigan,Birmingham,1,1,D
4/3/2023,Watford,Preston,0,0,D
4/3/2023,Sunderland,Stoke,1,5,A
4/3/2023,Rotherham,QPR,3,1,H
4/3/2023,Millwall,Norwich,2,3,A
4/3/2023,Middlesbrough,Reading,5,0,H
4/3/2023,Luton,Swansea,1,0,H
4/3/2023,Huddersfield,Coventry,0,4,A
4/3/2023,Blackpool,Burnley,0,0,D
4/3/2023,Cardiff,Bristol City,2,0,H
