Date,Home,Away
19/04/2023,Blackpool,West Bromwich Albion
19/04/2023,Rotherham United,Burnley
19/04/2023,Sheffield United,Bristol City
19/04/2023,Stoke City,Wigan Athletic
19/04/2023,Sunderland,Huddersfield Town
19/04/2023,Millwall,Birmingham City
20/04/2023,Blackburn Rovers,Coventry City
20/04/2023,Queens Park Rangers,Norwich City
20/04/2023,Swansea City,Preston North End
20/04/2023,Watford,Cardiff City
20/04/2023,Middlesbrough,Hull City
20/04/2023,Reading,Luton Town
22/04/2023,Birmingham City,Blackpool
22/04/2023,Bristol City,Rotherham United
22/04/2023,Burnley,Queens Park Rangers
22/04/2023,Cardiff City,Stoke City
22/04/2023,Coventry City,Reading
22/04/2023,Hull City,Watford
22/04/2023,Norwich City,Swansea City
22/04/2023,Wigan Athletic,Millwall
23/04/2023,Preston North End,Blackburn Rovers
23/04/2023,West Bromwich Albion,Sunderland
25/04/2023,Luton Town,Middlesbrough
05/05/2023,Huddersfield Town,Sheffield United
29/04/2023,Blackpool,Millwall
29/04/2023,Bristol City,Burnley
29/04/2023,Coventry City,Birmingham City
29/04/2023,Hull City,Swansea City
29/04/2023,Reading,Wigan Athletic
29/04/2023,Sheffield United,Preston North End
29/04/2023,Stoke City,Queens Park Rangers
29/04/2023,Sunderland,Watford
30/04/2023,West Bromwich Albion,Norwich City
30/04/2023,Cardiff City,Huddersfield Town
01/05/2023,Rotherham United,Middlesbrough
02/05/2023,Blackburn Rovers,Luton Town
08/05/2023,Birmingham City,Sheffield United
08/05/2023,Burnley,Cardiff City
08/05/2023,Huddersfield Town,Reading
08/05/2023,Luton Town,Hull City
08/05/2023,Middlesbrough,Coventry City
08/05/2023,Millwall,Blackburn Rovers
08/05/2023,Norwich City,Blackpool
08/05/2023,Preston North End,Sunderland
08/05/2023,Queens Park Rangers,Bristol City
08/05/2023,Swansea City,West Bromwich Albion
08/05/2023,Watford,Stoke City
08/05/2023,Wigan Athletic,Rotherham United
