Date,Home,Away,HG,AG,Res
13/05/2023,Huracán,Godoy Cruz,0,0,D
13/05/2023,Atlético Tucumán,Argentinos Juniors,1,2,A
14/05/2023,Independiente,Tigre,2,1,H
14/05/2023,Banfield,San Lorenzo,1,2,A
14/05/2023,Instituto,Colón,1,0,H
14/05/2023,Newell's Old Boys,Arsenal,2,0,H
15/05/2023,Defensa y Justicia,Estudiantes,1,1,D
15/05/2023,Platense,Racing Club,3,0,H
15/05/2023,Boca Juniors,Belgrano,2,0,H
15/05/2023,Talleres de Córdoba,River Plate,2,1,H
16/05/2023,Barracas Central,Central Córdoba SdE,,,D
16/05/2023,Unión,Sarmiento,,,D
16/05/2023,Gimnasia La Plata,Lanús,,,D
16/05/2023,Vélez Sarsfield,Rosario Central,,,D
