Date,Home,Away,HG,AG,Res
08/05/2023,Birmingham City,Sheffield United,,,D
08/05/2023,Burnley,Cardiff City,,,D
08/05/2023,Huddersfield Town,Reading,,,D
08/05/2023,Luton Town,Hull City,,,D
08/05/2023,Middlesbrough,Coventry City,,,D
08/05/2023,Millwall,Blackburn Rovers,,,D
08/05/2023,Norwich City,Blackpool,,,D
08/05/2023,Preston North End,Sunderland,,,D
08/05/2023,Queens Park Rangers,Bristol City,,,D
08/05/2023,Swansea City,West Bromwich Albion,,,D
08/05/2023,Watford,Stoke City,,,D
08/05/2023,Wigan Athletic,Rotherham United,,,D
