Date,Home,Away,HG,AG,Res
17/05/2023,Montedio Yamagata,Oita Trinita,,,D
17/05/2023,Blaublitz Akita,Ventforet Kofu,,,D
17/05/2023,Iwaki,Omiya Ardija,,,D
17/05/2023,Tochigi,Tokyo Verdy,,,D
17/05/2023,ThespaKusatsu Gunma,Mito Hollyhock,,,D
17/05/2023,JEF United,Shimizu S-Pulse,,,D
17/05/2023,Machida Zelvia,Renofa Yamaguchi,,,D
17/05/2023,Fujieda MYFC,Júbilo Iwata,,,D
17/05/2023,Tokushima Vortis,Zweigen Kanazawa,,,D
17/05/2023,V-Varen Nagasaki,Fagiano Okayama,,,D
17/05/2023,Roasso Kumamoto,Vegalta Sendai,,,D
