Date,Home,Away,PredictResult
16/04/2023,Defensa y Justicia,Instituto,Draw,H,30.07%,D,48.83%,A,21.10%
16/04/2023,Boca Juniors,Estudiantes,Estudiantes,H,30.53%,D,32.51%,A,36.97%
16/04/2023,Gimnasia La Plata,Belgrano,Belgrano,H,14.56%,D,26.57%,A,58.87%
16/04/2023,Huracán,Argentinos Juniors,Argentinos Juniors,H,5.66%,D,13.98%,A,80.36%
17/04/2023,Vélez Sarsfield,Barracas Central,Vélez Sarsfield,H,47.74%,D,31.21%,A,21.05%
17/04/2023,Unión,Tigre,Tigre,H,14.78%,D,22.48%,A,62.73%
17/04/2023,Independiente,Racing Club,Independiente,H,35.04%,D,30.68%,A,34.28%
17/04/2023,Newell's Old Boys,River Plate,Draw,H,2.68%,D,51.73%,A,45.59%
17/04/2023,Talleres de Córdoba,San Lorenzo,San Lorenzo,H,25.90%,D,35.24%,A,38.86%
18/04/2023,Platense,Colón,Colón,H,17.50%,D,32.73%,A,49.76%
18/04/2023,Banfield,Central Córdoba SdE,Central Córdoba SdE,H,12.92%,D,21.65%,A,65.43%
18/04/2023,Sarmiento,Arsenal,Sarmiento,H,50.31%,D,31.65%,A,18.04%
18/04/2023,Atlético Tucumán,Rosario Central,Draw,H,16.13%,D,44.55%,A,39.32%
