Date,Home,Away,PredictResult
12/04/2023,Barracas Central,Platense,Platense,H,20.60%,D,17.18%,A,62.22%
12/04/2023,Argentinos Jrs,Union de Santa Fe,Draw,H,39.78%,D,49.74%,A,10.48%
12/04/2023,Central Cordoba,Lanus,Lanus,H,4.52%,D,24.49%,A,70.99%
12/04/2023,Instituto,Velez Sarsfield,Draw,H,30.39%,D,49.27%,A,20.33%
12/04/2023,Banfield,Defensa y Justicia,Defensa y Justicia,H,6.79%,D,21.12%,A,72.09%
13/04/2023,San Lorenzo,Boca Juniors,Draw,H,33.97%,D,40.05%,A,25.97%
13/04/2023,Belgrano,Huracan,Belgrano,H,35.23%,D,33.82%,A,30.95%
13/04/2023,Racing Club,Newells Old Boys,Racing Club,H,38.46%,D,32.94%,A,28.60%
13/04/2023,Rosario Central,Independiente,Independiente,H,13.26%,D,42.91%,A,43.83%
13/04/2023,Estudiantes L.P.,Atl. Tucuman,Draw,H,35.31%,D,37.35%,A,27.34%
14/04/2023,Arsenal Sarandi,Godoy Cruz,Godoy Cruz,H,12.70%,D,43.48%,A,43.81%
14/04/2023,Colon Santa Fe,Talleres Cordoba,Talleres Cordoba,H,11.55%,D,24.54%,A,63.91%
14/04/2023,River Plate,Gimnasia L.P.,River Plate,H,75.33%,D,15.32%,A,9.36%
14/04/2023,Tigre,Sarmiento Junin,Sarmiento Junin,H,32.86%,D,23.82%,A,43.32%
