Date,Home,Away,PredictResult
15/04/2023,Middlesbrough,Norwich City,Middlesbrough,H,35.66%,D,34.69%,A,29.65%
15/04/2023,Sheffield United,Cardiff City,Sheffield United,H,49.21%,D,32.88%,A,17.92%
15/04/2023,Blackpool,Wigan Athletic,Blackpool,H,66.78%,D,24.64%,A,8.59%
15/04/2023,Millwall,Preston North End,Draw,H,25.89%,D,40.02%,A,34.09%
15/04/2023,Queens Park Rangers,Coventry City,Coventry City,H,11.87%,D,19.38%,A,68.75%
15/04/2023,Reading,Burnley,Burnley,H,3.45%,D,14.13%,A,82.42%
15/04/2023,Rotherham United,Luton Town,Draw,H,22.89%,D,40.43%,A,36.68%
15/04/2023,Stoke City,West Bromwich Albion,Stoke City,H,80.12%,D,15.80%,A,4.08%
15/04/2023,Sunderland,Birmingham City,Sunderland,H,48.08%,D,39.43%,A,12.48%
15/04/2023,Swansea City,Huddersfield Town,Swansea City,H,58.98%,D,21.82%,A,19.21%
15/04/2023,Watford,Bristol City,Bristol City,H,32.57%,D,26.41%,A,41.02%
16/04/2023,Blackburn Rovers,Hull City,Blackburn Rovers,H,37.74%,D,24.82%,A,37.44%
