Date,Home,Away,PredictResult
15/04/2023,Den Bosch,Helmond Sport,Helmond Sport,H,8.39%,D,14.31%,A,77.30%
15/04/2023,Heracles,Roda JC,Heracles,H,49.35%,D,23.87%,A,26.78%
15/04/2023,MVV,Dordrecht,Dordrecht,H,35.90%,D,23.33%,A,40.77%
15/04/2023,NAC Breda,Willem II,Willem II,H,9.42%,D,17.61%,A,72.96%
15/04/2023,PEC Zwolle,Telstar,Telstar,H,21.59%,D,38.30%,A,40.11%
15/04/2023,TOP Oss,De Graafschap,TOP Oss,H,56.48%,D,39.38%,A,4.14%
15/04/2023,VVV,Eindhoven,VVV,H,86.20%,D,9.45%,A,4.35%
16/04/2023,ADO Den Haag,Almere City,Draw,H,36.65%,D,43.33%,A,20.03%
18/04/2023,Ajax II,PSV II,Ajax II,H,42.95%,D,32.72%,A,24.33%
18/04/2023,AZ II,Utrecht II,AZ II,H,64.38%,D,17.92%,A,17.70%
