Home,Away,Predicted Result,Actual Result
Urawa Reds,Kashiwa Reysol,5-1 (H),4-1 (H)
Vissel Kobe,Nagoya Grampus,0-1 (A),0-0 (D)
Yokohama F. Marinos,Avispa Fukuoka,6-0 (H),1-0 (H)
Hokkaido Consadole Sapporo,Iwata,3-1 (H),4-0 (H)
Kyoto,Yokohama F. Marinos,0-2 (A),1-2 (A)
Vissel Kobe,FC Tokyo,0-2 (A),2-1 (H)
Nagoya Grampus,Kawasaki Frontale,0-3 (A),1-1 (D)
Urawa Reds,Cerezo Osaka,5-2 (H),0-1 (A)
Sagan Tosu,Kashima Antlers,0-1 (A),1-1 (D)
Iwata,Cerezo Osaka,1-3 (A),2-2 (D)
Avispa Fukuoka,Shimizu S-Pulse,0-3 (A),3-2 (H)
Kashiwa Reysol,Kawasaki Frontale,2-4 (A),1-1 (D)
Nagoya Grampus,Sanfrecce Hiroshima,0-3 (A),0-0 (D)
Shonan Bellmare,Urawa Reds,1-2 (A),0-0 (D)
Yokohama F. Marinos,Hokkaido Consadole Sapporo,6-1 (H),0-0 (D)
FC Tokyo,Kyoto,1-1 (D),2-0 (H)
Vissel Kobe,Gamba Osaka,0-0 (D),2-1 (H)
Avispa Fukuoka,Vissel Kobe,1-2 (A),0-1 (A)
Cerezo Osaka,Shonan Bellmare,0-2 (A),1-1 (D)
Kashima Antlers,FC Tokyo,2-2 (D),0-1 (A)
Sagan Tosu,Kyoto,0-1 (A),0-1 (A)
Sanfrecce Hiroshima,Urawa Reds,2-2 (D),4-1 (H)
Gamba Osaka,Kashiwa Reysol,0-2 (A),0-0 (D)
Hokkaido Consadole Sapporo,Kawasaki Frontale,2-2 (D),4-3 (H)
Nagoya Grampus,Yokohama F. Marinos,0-3 (A),0-4 (A)
Hokkaido Consadole Sapporo,Avispa Fukuoka,3-1 (H),1-2 (A)
Iwata,Kashima Antlers,0-2 (A),3-3 (D)
Kawasaki Frontale,Shimizu S-Pulse,3-2 (H),3-2 (H)
Kyoto,Nagoya Grampus,0-1 (A),1-1 (D)
Vissel Kobe,Sanfrecce Hiroshima,0-2 (A),4-0 (H)
Yokohama F. Marinos,Gamba Osaka,6-0 (H),0-2 (A)
FC Tokyo,Shonan Bellmare,0-1 (A),0-2 (A)
Urawa Reds,Sagan Tosu,6-2 (H),2-1 (H)
Kashiwa Reysol,Cerezo Osaka,3-4 (A),0-0 (D)
FC Tokyo,Cerezo Osaka,1-2 (A),4-0 (H)
Yokohama F. Marinos,Iwata,6-0 (H),0-1 (A)
Kawasaki Frontale,Kyoto,4-1 (H),3-1 (H)
Vissel Kobe,Shonan Bellmare,0-1 (A),1-0 (H)
Urawa Reds,Hokkaido Consadole Sapporo,5-2 (H),1-1 (D)
Shimizu S-Pulse,Iwata,2-1 (H),1-1 (D)
Avispa Fukuoka,Kashiwa Reysol,2-3 (A),2-1 (H)
Gamba Osaka,Iwata,0-1 (A),2-0 (H)
Kawasaki Frontale,Vissel Kobe,4-0 (H),2-1 (H)
Kyoto,Cerezo Osaka,0-2 (A),0-0 (D)
Nagoya Grampus,FC Tokyo,0-2 (A),2-1 (H)
Sanfrecce Hiroshima,Hokkaido Consadole Sapporo,3-2 (H),1-2 (A)
Shimizu S-Pulse,Kashima Antlers,1-1 (D),0-1 (A)
Shonan Bellmare,Sagan Tosu,2-2 (D),3-0 (H)
Yokohama F. Marinos,Urawa Reds,4-0 (H),4-1 (H)
Kumamoto,Oita Trinita,2-1 (H),2-2 (D)
Okayama,Montedio Yamagata,2-1 (H),0-3 (A)
Cerezo Osaka,Nagoya Grampus,0-1 (A),0-1 (A)
FC Tokyo,Kawasaki Frontale,1-2 (A),2-3 (A)
Hokkaido Consadole Sapporo,Shimizu S-Pulse,0-2 (A),4-3 (H)
Iwata,Kyoto,1-2 (A),0-0 (D)
Kashima Antlers,Gamba Osaka,2-1 (H),0-0 (D)
Kashiwa Reysol,Shonan Bellmare,2-3 (A),1-2 (A)
Sagan Tosu,Sanfrecce Hiroshima,0-2 (A),2-2 (D)
Urawa Reds,Avispa Fukuoka,6-1 (H),1-1 (D)
Vissel Kobe,Yokohama F. Marinos,0-3 (A),1-3 (A)
Kumamoto,Montedio Yamagata,2-1 (H),2-2 (D)
Kyoto,Kumamoto,0-1 (A),1-1 (D)
