Date,Home,Away
16/04/2023,Ventforet Kofu,Tochigi
16/04/2023,Vegalta Sendai,Fagiano Okayama
16/04/2023,Blaublitz Akita,Omiya Ardija
16/04/2023,Montedio Yamagata,Zweigen Kanazawa
16/04/2023,Iwaki,ThespaKusatsu Gunma
16/04/2023,JEF United,Tokyo Verdy
16/04/2023,Machida Zelvia,Oita Trinita
16/04/2023,Renofa Yamaguchi,Shimizu S-Pulse
16/04/2023,Tokushima Vortis,V-Varen Nagasaki
16/04/2023,Mito Hollyhock,Fujieda MYFC
16/04/2023,Júbilo Iwata,Roasso Kumamoto
21/04/2023,Roasso Kumamoto,JEF United
22/04/2023,Omiya Ardija,Shimizu S-Pulse
22/04/2023,Ventforet Kofu,Machida Zelvia
22/04/2023,Fagiano Okayama,Renofa Yamaguchi
22/04/2023,V-Varen Nagasaki,Blaublitz Akita
22/04/2023,Tokyo Verdy,Montedio Yamagata
23/04/2023,Tochigi,Iwaki
23/04/2023,ThespaKusatsu Gunma,Tokushima Vortis
23/04/2023,Zweigen Kanazawa,Júbilo Iwata
23/04/2023,Fujieda MYFC,Vegalta Sendai
23/04/2023,Oita Trinita,Mito Hollyhock
29/04/2023,Vegalta Sendai,Oita Trinita
29/04/2023,Blaublitz Akita,Fagiano Okayama
29/04/2023,Montedio Yamagata,Renofa Yamaguchi
29/04/2023,Iwaki,V-Varen Nagasaki
29/04/2023,ThespaKusatsu Gunma,Ventforet Kofu
29/04/2023,Machida Zelvia,Roasso Kumamoto
29/04/2023,Shimizu S-Pulse,Tochigi
29/04/2023,Júbilo Iwata,Tokushima Vortis
29/04/2023,JEF United,Omiya Ardija
29/04/2023,Mito Hollyhock,Tokyo Verdy
30/04/2023,Zweigen Kanazawa,Fujieda MYFC
03/05/2023,Roasso Kumamoto,ThespaKusatsu Gunma
03/05/2023,Vegalta Sendai,Blaublitz Akita
03/05/2023,Omiya Ardija,Machida Zelvia
03/05/2023,Ventforet Kofu,Iwaki
03/05/2023,Fujieda MYFC,Oita Trinita
03/05/2023,Fagiano Okayama,Montedio Yamagata
03/05/2023,Renofa Yamaguchi,JEF United
03/05/2023,Tokushima Vortis,Shimizu S-Pulse
03/05/2023,V-Varen Nagasaki,Mito Hollyhock
03/05/2023,Tochigi,Zweigen Kanazawa
03/05/2023,Tokyo Verdy,Júbilo Iwata
07/05/2023,Roasso Kumamoto,Ventforet Kofu
07/05/2023,Blaublitz Akita,Tochigi
07/05/2023,Montedio Yamagata,Fujieda MYFC
07/05/2023,ThespaKusatsu Gunma,Renofa Yamaguchi
07/05/2023,Omiya Ardija,Tokushima Vortis
07/05/2023,Machida Zelvia,Fagiano Okayama
07/05/2023,Shimizu S-Pulse,Iwaki
07/05/2023,V-Varen Nagasaki,Tokyo Verdy
07/05/2023,Oita Trinita,Zweigen Kanazawa
07/05/2023,Mito Hollyhock,Vegalta Sendai
07/05/2023,JEF United,Júbilo Iwata
